WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT1G01010	117	165	462	429	280.348268681991	1.44776642068166	0.230350084682643	6.28507006053968	3.27705870963212e-10	3.58876756414547e-09	4.29512126136854e-09	2110
gene:AT1G01020	147	164	185	152	161.199664935957	-0.107861689508681	0.282049025581752	-0.382421776803542	0.70214854013393	0.823706468846765	0.960807416002169	20210
gene:AT1G01030	59	100	87	81	80.73085151456	-0.122690402445791	0.393352465586108	-0.311909580286928	0.755109241463309	0.857916670394959	0.99563965255401	20974
gene:AT1G01040	710	771	1322	1180	974.916991169915	0.53186591619292	0.147902421302661	3.59605956081363	0.000323073858436825	0.00149066845984419	0.00178406700380798	5008
gene:AT1G01050	673	856	993	1133	899.371098585132	0.26152876776906	0.155955629634942	1.6769434253912	0.0935535453518181	0.20068156075422	0.240180402590469	10772
gene:AT1G01060	48	58	58	37	50.2393269237307	-0.37972211715244	0.490007456028179	-0.774931304577135	0.43838025298052	0.613286462772953	0.733995634569006	16517
gene:AT1G01070	66	70	125	119	92.8672368145833	0.618644759040844	0.359102235890891	1.72275384893123	0.0849330478474575	0.185900155026163	0.222489669245187	10557
gene:AT1G01080	811	1162	820	851	910.322222297708	-0.447981044032881	0.158429325423432	-2.82763966100069	0.00468925561546497	0.0163129183691401	0.0195236836239481	6642
gene:AT1G01090	2495	2855	2374	2640	2593.64869975213	-0.313564593867853	0.123776883740391	-2.53330496286788	0.0112992600862604	0.0346920014367817	0.0415202016589864	7526
gene:AT1G01100	1430	1908	1958	2108	1828.58074875697	0.0729321408180055	0.132784857571508	0.549250435266912	0.582833596756545	0.731149702367318	0.874819687520355	18424
gene:AT1G01110	74	93	128	119	101.585828489895	0.34781320631474	0.342657802313883	1.01504534251386	0.310084214002643	0.486940214587486	0.582781478963817	14714
gene:AT1G01120	663	782	512	614	647.5274772389	-0.577547863010906	0.173260715179765	-3.33340343430811	0.000857904461133141	0.00360167121791488	0.00431056465709248	5504
gene:AT1G01130	35	47	31	46	39.6761967680001	-0.300435865089662	0.546415005531771	-0.549830919810259	0.582435348992726	0.730756019393762	0.874348581934309	18422
gene:AT1G01140	845	963	1332	1230	1075.92808521484	0.281068495669421	0.140407113662047	2.00181093634571	0.0453050692943259	0.111653608808019	0.133629659911965	9376
gene:AT1G01150	20	7	0	0	7.5872236387268	-6.47771109974852	1.90586624634316	-3.39882775728753	0.00067675321530308	0.00290664248067068	0.00347873794966667	5380
gene:AT1G01160	382	398	445	385	401.462348958551	-0.137332300259666	0.197506095137023	-0.695331960081484	0.48684728961586	0.656718057276923	0.785975586358822	17130
gene:AT1G01170	621	726	545	793	670.691146620975	-0.226033919248382	0.197862756114593	-1.14237729063813	0.253297226596011	0.423359060756168	0.506686061592237	13825
gene:AT1G01180	260	319	166	147	227.167554697927	-1.10556900246674	0.243399352444716	-4.54220190547898	5.5669684008317e-06	3.53784210225572e-05	4.23417247318483e-05	3636
gene:AT1G01190	43	97	75	142	86.8295693056849	0.450200255594741	0.447974089487254	1.00496940818616	0.3149115807112	0.491952112776202	0.588779836362395	14791
gene:AT1G01200	22	18	28	60	31.2794628765435	0.907628219047794	0.654071115559198	1.38765983920849	0.165240650687356	0.31052502565328	0.371643639781947	12296
gene:AT1G01210	157	190	151	200	174.051289679887	-0.199058122141176	0.282757922506723	-0.70398777999383	0.481440383732436	0.651287567876904	0.779476249172796	17081
gene:AT1G01220	471	586	620	643	574.121661442881	0.0407118317707743	0.169666745413464	0.239951745827167	0.810367665059285	0.891929391089116	1	21849
gene:AT1G01225	24	48	44	53	41.2945744726037	0.237040787769391	0.54561447015781	0.434447399646184	0.6639635838244	0.794110068914617	0.925826295097251	19833
gene:AT1G01230	309	296	368	421	345.747932606161	0.154281838523112	0.216589983037017	0.712322132167783	0.476265321973235	0.646899999696422	0.774225104583224	17012
gene:AT1G01240	293	327	286	242	288.279782944003	-0.455260314442352	0.221562291716375	-2.05477344955945	0.0399008917929425	0.100752912977764	0.120583451265853	9151
gene:AT1G01250	20	34	28	18	24.8428240591729	-0.436175509450136	0.68549015051352	-0.636297267179382	0.5245826858319	0.689271700302383	0.824936550476583	17586
gene:AT1G01260	300	344	408	331	343.063165910991	-0.0240001671056887	0.209847657673138	-0.114369478181509	0.908944908089051	0.951394726907669	1	22931
gene:AT1G01280	0	0	0	0	0	NA	NA	NA	1	1	1	25820
gene:AT1G01290	184	195	275	293	233.106413278006	0.359720961008385	0.240732901872563	1.49427418608035	0.135103969300145	0.266391963360223	0.318824154876314	11719
gene:AT1G01300	766	857	1416	1421	1090.27738065783	0.583710230295267	0.140161329582572	4.16455974007717	3.11953939751327e-05	0.000175743699232301	0.000210334184544479	4101
gene:AT1G01305	0	0	0	0	0	NA	NA	NA	1	1	1	25820
gene:AT1G01310	20	49	0	0	17.9870044839568	-7.73290047803792	1.65082039477283	-4.68427728572013	2.80949461413105e-06	1.88061970013691e-05	2.25076980167422e-05	3452
gene:AT1G01320	8744	11099	8208	8183	9085.20156679809	-0.490679407475813	0.104686443424879	-4.68713418302262	2.77057324658607e-06	1.85510391216645e-05	2.22023190768872e-05	3451
gene:AT1G01335	0	0	0	0	0	NA	NA	NA	1	1	1	25820
gene:AT1G01340	84	90	390	207	183.883512936279	1.54918152100925	0.324280741256153	4.77728500005351	1.77677862139435e-06	1.22372648597792e-05	1.46458458344742e-05	3355
gene:AT1G01350	327	427	400	477	403.811598832853	0.00557078240361261	0.202064179536472	0.0275693713571192	0.978005610491877	0.986269811527547	1	23789
gene:AT1G01355	0	0	0	0	0	NA	NA	NA	1	1	1	25820
gene:AT1G01360	212	267	181	207	217.670393192589	-0.518762728065833	0.24906786047941	-2.08281681573572	0.0372679242069478	0.0952891259766698	0.114044262729251	9037
gene:AT1G01370	17	48	63	46	41.9289069661033	0.562988310114466	0.574661452461964	0.979686922974409	0.327240683125423	0.506094000734833	0.605705179829567	14941
gene:AT1G01380	6	16	6	8	8.95096074245917	-0.830748059154348	1.12908405972449	-0.735771665536629	0.46186966752254	0.634885330603411	0.759845666587499	16810
gene:AT1G01390	62	86	0	6	40.8438292991016	-4.81870177670293	1.68573728695128	-2.85851289759256	0.00425631805572745	0.0150153803532357	0.0179707596688767	6550
gene:AT1G01400	2	0	0	0	0.585392683118847	-2.7772998591863	4.8843440740589	-0.568612656495012	0.56961903376574	0.720150298912566	0.861657060430563	18217
gene:AT1G01410	0	0	0	0	0	NA	NA	NA	1	1	1	25820
gene:AT1G01420	73	56	89	74	72.7526824643772	0.0955243008378524	0.419311062742337	0.227812498466207	0.819792009793851	0.897769382478982	1	21955
gene:AT1G01430	1133	1320	635	798	989.259596448785	-0.993453518003379	0.161762323909724	-6.14143945259961	8.17769968462964e-10	8.56194411475927e-09	1.0247135694537e-08	2207
gene:AT1G01440	523	539	374	267	433.937668861312	-0.95789207267167	0.210218805317805	-4.55664311869505	5.19776271301629e-06	3.32147961863019e-05	3.9752247740173e-05	3616
gene:AT1G01450	154	145	122	110	134.410849075522	-0.597696349809483	0.309476222632837	-1.93131590118505	0.053443998131714	0.127892550210182	0.153064806165343	9656
gene:AT1G01453	6	20	2	0	7.16305654960598	-3.87751025164531	1.61434993781616	-2.40190194258048	0.0163100798065744	0.0475075020913291	0.0568580936658029	7933
gene:AT1G01460	0	0	0	0	0	NA	NA	NA	1	1	1	25820
gene:AT1G01470	939	1253	2222	1915	1537.59385720571	0.702373380780584	0.138789662742082	5.06070385145205	4.17711590746385e-07	3.13276914228391e-06	3.74937164624839e-06	3081
gene:AT1G01480	53	61	410	274	187.829323322341	2.3611324484474	0.303338937160876	7.78380932743616	7.03727945072911e-15	1.15572435158491e-13	1.38319803276413e-13	1407
gene:AT1G01490	945	1098	1854	1719	1371.52882614596	0.585699091399689	0.132102749299414	4.43366314861615	9.26453397847881e-06	5.69804595796406e-05	6.81955515503943e-05	3757
gene:AT1G01500	336	372	328	370	351.461479168267	-0.242043988894331	0.206271379192899	-1.17342497946833	0.240625424927138	0.40778376925496	0.488045187118445	13635
gene:AT1G01510	553	650	808	772	686.842761445034	0.173448195605941	0.158358576177601	1.09528766797838	0.273390628455997	0.447693584205357	0.535810190470383	14110
gene:AT1G01520	1	2	4	0	1.69712781542165	0.203486933621886	2.63751031677323	0.0771511422449467	0.938503308577204	0.965894746617782	1	23305.5
gene:AT1G01530	0	0	0	0	0	NA	NA	NA	1	1	1	25820
gene:AT1G01540	1197	1594	1211	1044	1264.24023860876	-0.521514189386102	0.143648102117261	-3.63049829200239	0.000282874576785449	0.00131994807063436	0.0015797448346126	4952
