WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT1G01010	117	165	151	200	156.046983290922	0.292469238520673	0.294013729100865	0.994746875988019	0.319859389536118	0.999600152373635	1	6502
gene:AT1G01020	147	164	141	188	158.614725802657	0.0459160855556131	0.286581912929856	0.160219760857175	0.872707963564477	0.999600152373635	1	20406
gene:AT1G01030	59	100	119	76	88.2619560931784	0.314477227958253	0.431268757351748	0.729190841203833	0.465884932868198	0.999600152373635	1	9720
gene:AT1G01040	710	771	731	969	788.464978075312	0.161663754951226	0.176794727527904	0.914415023636439	0.360498810518976	0.999600152373635	1	7388
gene:AT1G01050	673	856	688	899	770.528692135693	0.0258830020055471	0.17522250248484	0.147715057361348	0.882567647946558	0.999600152373635	1	20630
gene:AT1G01060	48	58	44	54	50.586095416586	-0.140614353593367	0.465611632013983	-0.30199922838084	0.762652651168834	0.999600152373635	1	17408
gene:AT1G01070	66	70	55	75	66.0137992206304	-0.103581892088555	0.417131851198659	-0.24831930669141	0.803887362151673	0.999600152373635	1	18703
gene:AT1G01080	811	1162	755	953	909.13906086522	-0.22751862910949	0.179213244450824	-1.26954137684797	0.204248042817389	0.999600152373635	1	4256
gene:AT1G01090	2495	2855	2915	2856	2770.56209944048	0.0900192146620389	0.151100413039177	0.595757568436951	0.551337193674626	0.999600152373635	1	11631
gene:AT1G01100	1430	1908	1780	1858	1730.38311064014	0.110381481966023	0.156076320941712	0.707227600573992	0.479425049057801	0.999600152373635	1	10039
gene:AT1G01110	74	93	91	96	87.8897053718166	0.144335222321382	0.364201050221557	0.396306441822662	0.691878975584664	0.999600152373635	1	15524
gene:AT1G01120	663	782	642	1241	816.816584075032	0.330381037263103	0.24005908023674	1.3762488673092	0.168744597542151	0.999600152373635	1	3566
gene:AT1G01130	35	47	45	39	41.3190162382855	0.0276670458590011	0.522579307510249	0.0529432479652067	0.957777125802079	0.999600152373635	1	22433
gene:AT1G01140	845	963	865	628	827.231919395821	-0.280899365267763	0.230422496768917	-1.21906224091247	0.222820569912016	0.999600152373635	1	4598
gene:AT1G01150	20	7	2	0	7.61810426147307	-3.79437272797155	1.60301842773845	-2.36701753536587	0.0179320831670913	0.404923137413875	0.541388384264093	916
gene:AT1G01160	382	398	403	463	409.54139414719	0.118570977940403	0.204579005429969	0.579585269227404	0.562194329226405	0.999600152373635	1	11879
gene:AT1G01170	621	726	821	892	759.9990990228	0.323289023700634	0.169568937316227	1.90653446803017	0.0565808981482423	0.727774801730801	0.95967351055462	1630
gene:AT1G01180	260	319	257	244	268.973893343572	-0.223681526848557	0.240980679212005	-0.928213529731864	0.353296817599361	0.999600152373635	1	7236
gene:AT1G01190	43	97	33	75	60.1181675668565	-0.396655049524639	0.527711155666673	-0.751651817978971	0.452260472742883	0.999600152373635	1	9424
gene:AT1G01200	22	18	6	28	18.1831307165236	-0.332104340915308	0.876326043449045	-0.378973492112835	0.704707548421011	0.999600152373635	1	15854
gene:AT1G01210	157	190	156	156	164.011538236578	-0.171646998498595	0.282715822964325	-0.6071361577815	0.543760556161335	0.999600152373635	1	11468
gene:AT1G01220	471	586	507	549	524.646305807521	-0.0214369421773536	0.187457387589244	-0.114356347610723	0.908955316480685	0.999600152373635	1	21262
gene:AT1G01225	24	48	28	34	32.8804910001427	-0.218170722112151	0.597087361596977	-0.365391626325214	0.71481909101336	0.999600152373635	1	16089
gene:AT1G01230	309	296	382	485	365.471098167568	0.477654455395637	0.222802330818952	2.14384855687967	0.0320450232321869	0.549867761746573	0.729987740927618	1214
gene:AT1G01240	293	327	296	436	334.188033069124	0.199196505496932	0.230984063714515	0.862382028844765	0.388477326528181	0.999600152373635	1	8025
gene:AT1G01250	20	34	40	22	28.990841976286	0.223874108617011	0.665749963374301	0.336273557541518	0.736664588082182	0.999600152373635	1	16654
gene:AT1G01260	300	344	415	396	362.480150273128	0.314262743624874	0.219812876865833	1.42968304726156	0.152808008010964	0.999600152373635	1	3263
