ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT1G01010	462	429	151	200	299.743854130177	-1.15444236832323	0.23955631121035	-4.8190855940737	1.44217675965825e-06	1.36220037663768e-05	1.71320439382942e-05	2328
gene:AT1G01020	185	152	141	188	165.194744448051	0.155260906918857	0.29934694331038	0.518665416128448	0.603994082632673	0.763848874179182	0.919739374586478	18160
gene:AT1G01030	87	81	119	76	91.9915580633027	0.438068212567933	0.433587341283341	1.01033441444884	0.312335098403438	0.507495490932772	0.632468854532261	13657
gene:AT1G01040	1322	1180	731	969	1030.50467937346	-0.368508226889531	0.178950511027914	-2.05927451546673	0.039467948369024	0.110781301593882	0.139326795014725	7834
gene:AT1G01050	993	1133	688	899	914.446133086084	-0.234587397870024	0.19013911485213	-1.23376717122335	0.217289675690086	0.395320674417917	0.496855796176375	12094
gene:AT1G01060	58	37	44	54	47.9975406214625	0.240764941418098	0.51598243665422	0.466614606069323	0.64077563509314	0.791234021430555	0.941931428144269	18591
gene:AT1G01070	125	119	55	75	91.020858693266	-0.720155790323303	0.374756972460385	-1.92166081819713	0.0546484504908254	0.142766398698201	0.179553629360078	8417
gene:AT1G01080	820	851	755	953	840.968929023969	0.221546257340745	0.178293627946844	1.24259212116541	0.214018174727375	0.391127463769967	0.491584104824382	12040
gene:AT1G01090	2374	2640	2915	2856	2709.66049638734	0.40507202915534	0.172882681279771	2.34304573573696	0.0191270382715934	0.0617972693768087	0.0777208369919344	6805
gene:AT1G01100	1958	2108	1780	1858	1916.10486929816	0.0386739789915791	0.163737337653653	0.236195235282161	0.813281176630603	0.902191493942606	1	21435
gene:AT1G01110	128	119	91	96	107.242770264586	-0.202149996035165	0.344409836324236	-0.586946058778811	0.557239934811148	0.72892022168723	0.890915143000482	17265
gene:AT1G01120	512	614	642	1241	753.409768501689	0.908718522028563	0.2759242947541	3.29336176373452	0.000989970085614365	0.00499620202262435	0.00628359483995072	4357
gene:AT1G01130	31	46	45	39	40.5144342517466	0.329780111787767	0.565447433686132	0.583219751547801	0.559745376366642	0.731023405649825	0.892925610487973	17336
gene:AT1G01140	1332	1230	865	628	998.682636465074	-0.559981045426148	0.247469849097295	-2.26282534001137	0.0236464581934353	0.0736594374862516	0.092639580866901	7059
gene:AT1G01150	0	0	2	0	0.574372295092917	2.73939057360368	4.88549524536847	0.560719115672187	0.574989033747885	1	0.899955952702346	17607.5
gene:AT1G01160	445	385	403	463	422.930624186873	0.257574827974163	0.211293623990256	1.21903739029078	0.222830001365236	0.402580634296292	0.505982731567091	12179
gene:AT1G01170	545	793	821	892	768.207998437143	0.550559269767037	0.239937590360063	2.29459364387564	0.0217564228758251	0.0686964363320674	0.0863977419056494	6964
gene:AT1G01180	166	147	257	244	206.837890453578	0.883803770018218	0.279465802377025	3.16247556051915	0.00156433865800903	0.0074438958560832	0.00936199644822324	4621
