WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G03987.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G03993.1	52	87	141	144	102.596442035702	0.869925759925363	0.361373403188625	2.40727666244793	0.0160719892049496	0.0789659469610534	0.316463178304566	197
transcript:AT1G03997.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04003.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04007.1	81	68	94	75	79.237155896111	-0.0197685096134696	0.403906908235101	-0.0489432322409375	0.960964535779592	0.989985736020906	1	1642
transcript:AT1G04013.1	146	196	139	196	168.11454289987	-0.202330820379677	0.301852705917971	-0.670296526792312	0.502668780767016	0.775420869342759	1	816
transcript:AT1G04017.1	17	35	19	21	22.759263794518	-0.532868100283843	0.717750708773501	-0.742413896315635	0.457836602608057	0.753598378745425	1	757
transcript:AT1G04023.1	10	13	11	9	10.7049266692352	-0.380914636965068	1.00547396811737	-0.378840874098696	0.704806032632097	0.892353145369806	1	1177
transcript:AT1G01448.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G01448.2	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G01448.3	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04033.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04037.1	4	4	2	2	3.06056411474082	-1.1907754091719	1.8570623118974	-0.641214568592081	0.521383285562962	1	1	832
transcript:AT1G04043.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04047.1	4	33	14	35	20.683293876368	0.306258230106109	0.904696397681604	0.338520448286224	0.734971020225384	0.908475123687956	1	1229
transcript:AT1G04053.1	67	106	22	32	57.7789871638911	-1.84390788023871	0.484569535404798	-3.80524928934782	0.000141661441205436	0.00134134781926061	0.00540299915982546	101
transcript:AT1G04063.1	0	0	0	1	0.236339381237444	1.270462188258	4.99487740031651	0.25435302739913	0.799222836507759	1	1	1372
transcript:AT1G04067.1	32	16	13	9	18.2410760485517	-1.35420059990503	0.836022339746563	-1.61981389195359	0.105272261205128	0.307203598607691	1	364
transcript:AT1G04073.1	12	33	16	10	17.5413175064074	-0.936875103649936	0.842236005777534	-1.11236648305606	0.265980609431061	0.561709050180069	1	530
transcript:AT1G04077.1	101	59	80	125	91.4164549017221	0.143398403529593	0.433722956937737	0.330622120032671	0.740929935660336	0.908475123687956	1	1237
transcript:AT1G04083.1	45	36	55	37	43.1217170096742	-0.0214726447900242	0.536469047167461	-0.0400258782932567	0.968072494926076	0.990663396952863	1	1650
transcript:AT1G04087.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04093.1	0	0	1	0	0.229463886399942	1.24899346167593	4.99640431099891	0.249978461295944	0.802604005339268	1	1	1421.5
transcript:AT1G04097.1	62	81	129	122	96.0651334188311	0.633629969105232	0.3585765668463	1.76707020951771	0.0772164708643043	0.24723800550499	0.91951246179026	325
