WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G03987.1	0	0	1	0	0.259233491508457	1.47571636636091	4.98789247946921	0.295859698747547	0.767337229639043	1	1	1091
transcript:AT1G03993.1	52	87	84	123	84.3754071506821	0.559727660639554	0.40650379292215	1.37693096690674	0.16853359198942	0.999461769492062	1	122
transcript:AT1G03997.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04003.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04007.1	81	68	88	86	80.3233583177865	0.189367700404238	0.406728654140344	0.465587311040287	0.641510927316132	0.999461769492062	1	853
transcript:AT1G04013.1	146	196	199	225	188.348876460794	0.293999634079149	0.287222977911258	1.02359371181642	0.306027216548043	0.999461769492062	1	251
transcript:AT1G04017.1	17	35	13	13	19.030521027984	-0.991630412373873	0.776281087771805	-1.27741153042926	0.201456996108449	0.999461769492062	1	148
transcript:AT1G04023.1	10	13	10	26	14.3179231530952	0.601951645533971	0.894568926506623	0.672895768786257	0.501013604247118	0.999461769492062	1	503
transcript:AT1G01448.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G01448.2	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G01448.3	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04033.1	0	0	0	1	0.231929806976145	1.39464166302386	4.99342831208762	0.279295421073302	0.780018119987966	1	1	1191
transcript:AT1G04037.1	4	4	8	6	5.46796597318976	0.791143416299675	1.37253285835682	0.576411276045385	0.56433722448723	1	1	594
transcript:AT1G04043.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04047.1	4	33	17	7	14.6944447022642	-0.539266807905788	1.01532946429753	-0.531124946993326	0.595332197802679	0.999461769492062	1	651
transcript:AT1G04053.1	67	106	60	78	76.145229382421	-0.338579296797005	0.413393426312214	-0.819024385117567	0.412772501039174	0.999461769492062	1	391
transcript:AT1G04063.1	0	0	0	1	0.231929806976145	1.39464166302386	4.99342831208762	0.279295421073302	0.780018119987966	1	1	1191
transcript:AT1G04067.1	32	16	22	28	24.542043624145	-0.00832885190613307	0.707412711384919	-0.0117736814338938	0.990606178388512	0.999461769492062	1	1620
transcript:AT1G04073.1	12	33	20	26	22.0462092186193	0.042933354561371	0.738040819983155	0.0581720595919762	0.953611576237961	0.999461769492062	1	1525
transcript:AT1G04077.1	101	59	57	84	75.1744089648759	-0.249708212559462	0.457776113259677	-0.545481088520259	0.585422683756186	0.999461769492062	1	632
transcript:AT1G04083.1	45	36	42	46	42.0175729805883	0.0792118948750112	0.531376142101343	0.149069347678587	0.881498912615612	0.999461769492062	1	1399
transcript:AT1G04087.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04093.1	0	0	3	0	0.777700474525372	3.07647927372403	4.20801196649727	0.731100409936543	0.464717823949322	1	1	452
transcript:AT1G04097.1	62	81	70	102	77.2066289427327	0.240241388568083	0.40806336888392	0.588735492786718	0.556038724616246	0.999461769492062	1	580
transcript:AT1G04103.1	0	1	0	0	0.229705086155938	-1.43360219696878	4.99148991296172	-0.287209274578728	0.773952085268391	1	1	1141
transcript:AT1G04103.2	4	0	2	0	1.60216583765839	-1.06701689150075	2.88342136842211	-0.370052363205124	0.711343475128745	1	1	968.5
transcript:AT1G04117.1	133	129	126	129	128.247308060934	-0.0682170841094348	0.33244385593386	-0.205198811443839	0.837416798017692	0.999461769492062	1	1330
transcript:AT1G04123.1	1	0	2	1	1.02132150365343	1.52512643574091	3.25835497020725	0.468066386162923	0.639737116297188	1	1	852
transcript:AT1G04127.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04133.1	27	47	50	31	38.2626049098424	0.146607930497092	0.578287665210679	0.25352076365606	0.799865818061725	0.999461769492062	1	1249
transcript:AT1G04137.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
