ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G03987.1	0	0	1	0	0.271581093240755	1.62997653852506	4.98803475781244	0.32677730161606	0.743836328458524	1	1	1236.5
transcript:AT1G03993.1	141	144	84	123	119.695959649097	-0.34218434144648	0.359094654059843	-0.952908481309373	0.340636442477546	0.723092453166446	1	569
transcript:AT1G03997.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04003.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04007.1	94	75	88	86	84.5282933692685	0.174696797951114	0.409909099834427	0.426184239436692	0.669973600860775	0.904686140224781	1	1115
transcript:AT1G04013.1	139	196	199	225	187.499451695257	0.467553600376674	0.313686819749137	1.49051082461988	0.136089972420247	0.433761090342479	1	356
transcript:AT1G04017.1	19	21	13	13	16.090595660872	-0.489935690952114	0.857689258292303	-0.571227500187653	0.567845439174871	0.865472470016581	1	870
transcript:AT1G04023.1	11	9	10	26	13.7419241768079	0.949150060697482	0.963190032202217	0.985423466776712	0.324416107454338	0.716028858688479	1	546
transcript:AT1G01448.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G01448.2	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G01448.3	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04033.1	0	0	0	1	0.243391683170151	1.55014855972058	4.99349014633468	0.310433887780557	0.756231027417047	1	1	1279.5
transcript:AT1G04037.1	2	2	8	6	4.57259078158072	1.94905803338212	1.63389525548641	1.19289044192854	0.232912283020826	0.598277457472815	1	448
transcript:AT1G04043.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04047.1	14	35	17	7	17.830938703568	-0.872022910664488	0.903410894162329	-0.965256137931628	0.334416535211362	0.718552840423598	1	563
transcript:AT1G04053.1	22	32	60	78	47.9640590322351	1.47643625502928	0.537687545880682	2.74590004239546	0.00603451464917235	0.0482304011733093	0.177332441849542	132
transcript:AT1G04063.1	0	1	0	1	0.478304767924802	0.107425931967146	4.99347588411188	0.0215132573902983	0.982836228042767	1	1	1669.5
transcript:AT1G04067.1	13	9	22	28	17.9574464291618	1.30806993238682	0.832453651062294	1.57134265759732	0.116103077713896	0.404253290389968	1	318
transcript:AT1G04073.1	16	10	20	26	17.8670626117813	0.946098983018169	0.831190616311153	1.13824550524521	0.255017982082844	0.624085224537829	1	471
transcript:AT1G04077.1	80	125	57	84	84.0797899803261	-0.420999145703659	0.433451130556162	-0.971272459627627	0.331412619317012	0.717947255399277	1	559
transcript:AT1G04083.1	55	37	42	46	44.2127660737838	0.0646370695840758	0.546157139261272	0.11834885042701	0.905791252297904	0.982983165670809	1	1566
transcript:AT1G04087.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04093.1	1	0	3	0	1.0496261632845	1.78569017506578	3.68532975248285	0.484540134804148	0.628002588031982	1	1	1005
transcript:AT1G04097.1	129	122	70	102	102.795916529804	-0.425863501324501	0.380603270778211	-1.11891708248788	0.263175514581628	0.633904492884973	1	479
transcript:AT1G04103.1	14	6	0	0	4.69783887839923	-5.6342617218708	2.14411331399946	-2.62778169655646	0.00859436501590735	0.0621031170670018	0.228339328059621	146
transcript:AT1G04103.2	9	0	2	0	2.65710813854164	-1.98258856276944	2.53745915593156	-0.781328266165369	0.434609449441599	1	1	701
transcript:AT1G04117.1	134	103	126	129	121.287099004353	0.236717311633504	0.357549710539903	0.662054267296311	0.507936443500717	0.831272876142413	1	793
transcript:AT1G04123.1	10	5	2	1	4.30994812904729	-2.17497028963268	1.73812559488705	-1.25133091419324	0.210813771147982	0.567502050955829	1	424
transcript:AT1G04127.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04133.1	0	0	50	31	21.1241968403124	7.93152920998332	1.63508190687884	4.85084519412459	1.229364727379e-06	2.49419189881701e-05	9.17058803365988e-05	52
transcript:AT1G04137.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04143.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04147.1	3	6	23	24	14.2018926998356	2.51513182313335	0.994452183954975	2.52916315506551	0.0114334863914757	0.0773226163013263	0.28429803661881	156
transcript:AT1G04153.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G02952.1	91	80	54	132	86.9604703979963	0.22348503882134	0.458304392304465	0.487634512289098	0.62580874536261	0.881734281979591	1	1001
transcript:AT1G02952.2	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04157.1	21	6	117	71	55.3978164775839	2.94978439940631	0.619598698480897	4.76079824996155	1.92828738556591e-06	3.76730220698525e-05	0.000138515310529818	54
transcript:AT1G04163.1	40	49	75	36	50.0367390826494	0.474912720254235	0.564243497271151	0.841680449222817	0.399966844572082	0.77709948623121	1	643
transcript:AT1G04167.1	0	0	1	0	0.271581093240755	1.62997653852506	4.98803475781244	0.32677730161606	0.743836328458524	1	1	1236.5
transcript:AT1G04173.1	5	3	3	2	3.1806803181377	-0.534423316648974	1.86230133467154	-0.286969303355642	0.774135824499024	1	1	1324
transcript:AT1G04177.1	0	1	0	0	0.234913084754652	-1.31244266658462	4.99747509315462	-0.262621152105864	0.792842595154887	1	1	1364
transcript:AT1G04183.1	379	415	426	569	440.692956487645	0.447153545313092	0.237841490509362	1.88004853297659	0.0601014638039526	0.270970274842607	0.971389908731384	240
transcript:AT1G03545.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G03545.2	6	7	9	3	6.22809378333323	0.0484021699055263	1.38424947977975	0.0349663630816229	0.97210656283464	0.997679860272822	1	1651
transcript:AT1G04203.1	0	1	4	2	1.80802082405797	2.74001636537778	2.78351453782305	0.984372931466964	0.324932182166858	1	1	548
transcript:AT1G04207.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04233.1	279	275	193	199	230.983518767719	-0.368201873278031	0.277083751728925	-1.32884685940822	0.183898498820645	0.530089935125082	1	399
transcript:AT1G04237.1	57	52	70	134	77.2289668419424	1.01391073481499	0.452908885499016	2.23866381799479	0.0251777984382382	0.141290305065645	0.516744339375269	189
transcript:AT1G04243.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04247.1	236	250	62	179	174.565770777735	-0.914537730067511	0.398347488500221	-2.29582903487291	0.021685658608924	0.127812121968798	0.467325943022313	180
transcript:AT1G04253.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04295.1	213	196	191	119	176.9086179169	-0.25157283117666	0.347495854529046	-0.723959229722643	0.469090765413352	0.813752856713365	1	736
transcript:AT1G04257.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04283.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04287.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04293.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
transcript:AT1G04297.1	32	27	11	23	22.4443063009289	-0.685871843031964	0.755986911726918	-0.907253594463973	0.364272707992838	0.737513333540487	1	598
transcript:AT1G04303.1	32	35	26	32	30.5878525261088	-0.0831532722862829	0.632715081290414	-0.131422933868895	0.895440747402138	0.982096107229714	1	1555
transcript:AT1G04307.1	0	0	0	0	0	NA	NA	NA	1	1	1	2790.5
