WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:at1g01046	7	7	4	11	7.32172255477407	-0.176105221677691	1.26114247081682	-0.1396394346815	0.888944881485999	0.978039095741903	1	135
transcript:at1g01183	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g04027	2	2	5	3	2.88991620299824	0.687989928997339	1.922498957477	0.357862315774789	0.720446353225621	0.971142371999155	1	96
transcript:at1g04393	0	1	1	0	0.484609849389603	-0.305297824811198	4.97251499057483	-0.0613970647428667	0.951042989947488	0.978039095741903	1	148
transcript:at1g04423	0	2	1	4	1.69247700466458	1.08551267215815	2.69451595517969	0.402859990519431	0.687051225882518	0.971142371999155	1	93
transcript:at1g07051	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g11735	2	2	1	0	1.32346509161872	-2.31437991329532	3.05425061019937	-0.757757043762772	0.448596442575649	0.971142371999155	1	51
transcript:at1g12294	2	0	2	0	1.00098737092298	-0.385711498387533	3.60867352690261	-0.106884564511602	0.91488055877085	0.978039095741903	1	139
transcript:at1g04993	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g14071	9	6	2	6	6.01781064166582	-1.19029281469874	1.40432187763597	-0.847592588034359	0.396664903600862	0.971142371999155	1	45
transcript:at1g18075	6	6	9	7	6.90684567020452	0.109593225937373	1.25824412056712	0.0871001295742016	0.930591922393305	0.978039095741903	1	142
transcript:at1g18879	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g19371	2	2	0	0	1.10788443225757	-3.74270872070424	3.45043817031141	-1.08470534348582	0.278052180467294	0.971142371999155	1	33
transcript:at1g19464	0	2	0	0	0.538058380056898	-2.70468673447335	4.89511410676054	-0.552527821718795	0.580586778266822	0.971142371999155	1	71.5
transcript:at1g20375	1	0	0	0	0.284913026100336	-1.7719651886198	4.99245858563522	-0.354928370105717	0.722643254104617	0.971142371999155	1	99.5
transcript:at1g05627	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g21202	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g05637	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g26973	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g26975	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g26985	0	1	0	0	0.269029190028449	-1.73021386495925	4.99538716874552	-0.346362315174413	0.729070442503459	0.971142371999155	1	107
transcript:at1g29265	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g31173	30	28	32	49	34.4795542776336	0.192658953271507	0.603749868551781	0.319103925825507	0.749647706792895	0.971142371999155	1	114
transcript:at1g31358	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g06523	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g32582	2	1	0	0	0.838855242229121	-3.3400132865119	3.87809881749323	-0.861250175329687	0.389100270750171	0.971142371999155	1	42.5
transcript:at1g06597	7	2	0	0	2.53244956275925	-4.93330078530053	2.57771935400542	-1.91382385271494	0.0556426666528588	0.751347349725689	1	11
transcript:at1g32713	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g06623	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g32992	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g06643	453	495	606	685	553.652931008862	0.151674608653747	0.205814376466353	0.736948561406951	0.461153631020967	0.971142371999155	1	52
transcript:at1g06647	483	547	652	719	594.08667270856	0.118706305267796	0.200912677763344	0.590835315069666	0.554630770273505	0.971142371999155	1	63
transcript:at1g06653	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g06903	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g35501	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g07137	0	0	1	6	1.62383760723095	3.9913122116251	3.03073876491628	1.31694366331681	0.187857509169764	0.971142371999155	1	23.5
transcript:at1g07243	1	0	1	0	0.50049368546149	-0.346666634824632	4.91012511570001	-0.0706024035347233	0.943714197444746	0.978039095741903	1	146
transcript:at1g07283	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g07357	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g48267	6	2	0	0	2.24753653665891	-4.76129678361057	2.67499551896658	-1.7799270129058	0.0750879062161591	0.780914224648054	1	15
transcript:at1g48742	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g07613	15	3	12	15	11.1883932435987	0.269565797257452	1.08982131596674	0.247348618813104	0.804638435073751	0.971142371999155	1	123
transcript:at1g07633	0	2	0	0	0.538058380056898	-2.70468673447335	4.89511410676054	-0.552527821718795	0.580586778266822	0.971142371999155	1	71.5
transcript:at1g07727	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g52185	0	0	0	2	0.469418982623265	2.19895499332972	4.88830017440327	0.449840417911356	0.652825511998417	0.971142371999155	1	83.5
transcript:at1g07867	51	43	137	212	105.391781992885	1.60310369395102	0.401624652034193	3.9915470473026	6.56436619032839e-05	0.00512020562845615	0.0106670950592836	2
transcript:at1g53683	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g53687	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g08053	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g55591	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g08157	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g08163	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g08287	0	6	4	4	3.41533574286184	0.150303450994601	1.95716488919712	0.0767965192019461	0.93878541983701	0.978039095741903	1	145
transcript:at1g60025	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g60072	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g60073	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g08303	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g08337	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g08343	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g61224	0	2	1	1	0.988348530729684	-0.26517783777411	3.35563904528644	-0.0790245417326983	0.937013102622797	0.978039095741903	1	144
transcript:at1g61226	0	2	0	0	0.538058380056898	-2.70468673447335	4.89511410676054	-0.552527821718795	0.580586778266822	0.971142371999155	1	71.5
transcript:at1g61732	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g62035	2	1	0	0	0.838855242229121	-3.3400132865119	3.87809881749323	-0.861250175329687	0.389100270750171	0.971142371999155	1	42.5
transcript:at1g62355	4	8	7	6	6.20920718802681	-0.176357241340055	1.33484357439759	-0.132118283162613	0.894890734805399	0.978039095741903	1	136
transcript:at1g63005	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g08597	55	68	175	143	105.254274003218	1.06930977332622	0.361863788554003	2.95500629559854	0.00312662670676807	0.16258458875194	0.338717893233208	3
transcript:at1g08783	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g08793	0	1	1	3	1.1887383233245	1.73822288893579	3.19464173709775	0.544105734533764	0.586368714514881	0.971142371999155	1	76
transcript:at1g08813	2	1	0	0	0.838855242229121	-3.3400132865119	3.87809881749323	-0.861250175329687	0.389100270750171	0.971142371999155	1	42.5
transcript:at1g66725	33	36	61	57	45.6160419281287	0.474751297711743	0.513681725731254	0.924212939512123	0.355375459981569	0.971142371999155	1	39
transcript:at1g66783	0	0	1	1	0.450290150672786	2.14409108523357	4.89226974947883	0.438261010742913	0.661197086004722	0.971142371999155	1	87.5
transcript:at1g66795	0	0	0	1	0.234709491311632	1.18720349768055	4.99009804348832	0.237911858110634	0.811949458110768	0.971142371999155	1	125.5
transcript:at1g67195	125	166	116	120	133.445469250554	-0.595452643370268	0.328032241734863	-1.81522596748752	0.0694891906557168	0.774308124449415	1	14
transcript:at1g67481	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g69792	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g69795	0	1	0	0	0.269029190028449	-1.73021386495925	4.99538716874552	-0.346362315174413	0.729070442503459	0.971142371999155	1	107
transcript:at1g69797	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g70645	0	0	1	1	0.450290150672786	2.14409108523357	4.89226974947883	0.438261010742913	0.661197086004722	0.971142371999155	1	87.5
transcript:at1g09213	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g71002	0	0	0	0	0	NA	NA	NA	1	1	1	241
transcript:at1g73687	2	0	0	0	0.569826052200672	-2.77991760075469	4.88956672196527	-0.568540682401682	0.569667889666865	0.971142371999155	1	65
transcript:at1g09473	32	40	44	39	38.5176036093931	-0.0933131802639759	0.555312205844741	-0.168037329779251	0.866553911688367	0.978039095741903	1	133
transcript:at1g76062	20	18	28	22	21.740653213487	0.0889475545888143	0.728509481205305	0.122095260094148	0.902823575692364	0.978039095741903	1	137
transcript:at1g76135	2	2	0	0	1.10788443225757	-3.74270872070424	3.45043817031141	-1.08470534348582	0.278052180467294	0.971142371999155	1	33
transcript:at1g09687	39	27	20	39	31.840679497058	-0.450824103272485	0.652982338758113	-0.690407805102192	0.489937769765463	0.971142371999155	1	55
transcript:at1g77235	2	0	0	0	0.569826052200672	-2.77991760075469	4.88956672196527	-0.568540682401682	0.569667889666865	0.971142371999155	1	65
transcript:at1g78206	4	3	3	3	3.29761012650505	-0.526393646571421	1.79168423247153	-0.293798224615334	0.768912091801266	0.971142371999155	1	117
transcript:at1g78478	5	6	6	1	4.56693371815093	-0.982483131248015	1.60737404217149	-0.611234912018812	0.541044073831722	0.971142371999155	1	58
