WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:at1g01046	7	7	5	13	7.9121781158469	0.293729997717571	1.13944116983279	0.25778425906857	0.796573413461336	0.950670363942787	1	122
transcript:at1g01183	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g04027	2	2	9	7	4.96746798347254	1.95613497951819	1.48036796851382	1.32138429169202	0.1863732610192	0.950670363942787	1	9
transcript:at1g04393	0	1	0	2	0.725496656093916	0.908462052363745	3.93847955354679	0.230663137896865	0.817576512990797	0.950670363942787	1	129
transcript:at1g04423	0	2	1	0	0.758630708240352	-1.00742288982304	3.87043611549717	-0.260286660149056	0.794642661735323	0.950670363942787	1	120.5
transcript:at1g07051	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g11735	2	2	0	4	1.964338360228	-0.0927215336525551	2.33970740308761	-0.0396295423650814	0.96838847453181	0.99873305114663	1	143
transcript:at1g12294	2	0	1	2	1.24165829928836	0.510694195177724	2.86595430912936	0.178193418349669	0.858571078402224	0.974466952256151	1	132
transcript:at1g04993	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g14071	9	6	6	4	6.29732597624784	-0.628995027900033	1.25856692182189	-0.499770824255816	0.617236456362943	0.950670363942787	1	69
transcript:at1g18075	6	6	10	12	8.44056140918035	0.820923125064918	1.08818345107358	0.754397729771585	0.450610434374852	0.950670363942787	1	36
transcript:at1g18879	0	0	1	0	0.254754632849634	1.43041503375873	4.99110434712189	0.286592892930315	0.774424056884161	0.950670363942787	1	103.5
transcript:at1g19371	2	2	5	2	2.76455290607761	0.776237053199508	1.87569025558402	0.413840745234247	0.67899074176649	0.950670363942787	1	78
transcript:at1g19464	0	2	0	1	0.740655384589996	-1.05286732747829	3.90566248061315	-0.26957458118936	0.78748755785501	0.950670363942787	1	115.5
transcript:at1g20375	1	0	0	0	0.256672524020085	-1.50244803351832	4.99583519685547	-0.300740111375974	0.763612679420479	0.950670363942787	1	90
transcript:at1g05627	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g21202	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g05637	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g26973	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g26975	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g26985	0	1	0	0	0.251938037695359	-1.4889087282958	4.99680329447386	-0.297972251567804	0.765724342199757	0.950670363942787	1	97
transcript:at1g29265	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g31173	30	28	34	39	32.650491351732	0.278928860643229	0.566530120953187	0.492346038325255	0.622474739428262	0.950670363942787	1	72
transcript:at1g31358	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g06523	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g32582	2	1	0	0	0.765283085735529	-3.08182167645165	3.77612604920691	-0.816133157710378	0.414423981489857	0.950670363942787	1	29.5
transcript:at1g06597	7	2	1	1	2.79211768558023	-2.22637973778743	2.01504035606005	-1.1048809673175	0.269211170470356	0.950670363942787	1	17
transcript:at1g32713	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g06623	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g32992	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g06643	453	495	556	637	533.453977864638	0.279473001949297	0.195855887794652	1.42693183797627	0.153599542722831	0.950670363942787	1	7
transcript:at1g06647	483	547	541	646	552.564625835448	0.15174181155678	0.197489487496518	0.768353867744255	0.442276979739094	0.950670363942787	1	35
transcript:at1g06653	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g06903	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g35501	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g07137	0	0	0	1	0.236779309199278	1.37714715697552	4.9948116307562	0.275715534194634	0.7827665633774	0.950670363942787	1	110.5
transcript:at1g07243	1	0	0	0	0.256672524020085	-1.50244803351832	4.99583519685547	-0.300740111375974	0.763612679420479	0.950670363942787	1	90
transcript:at1g07283	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g07357	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g48267	6	2	0	0	2.04391121951123	-4.49889298424266	2.61834071226323	-1.71822290474715	0.0857559652403551	0.950670363942787	1	4
transcript:at1g48742	0	0	1	0	0.254754632849634	1.43041503375873	4.99110434712189	0.286592892930315	0.774424056884161	0.950670363942787	1	103.5
transcript:at1g07613	15	3	5	12	8.72102684802687	-0.157340299661921	1.16262541281726	-0.135331894458298	0.89234946890191	0.974466952256151	1	135
transcript:at1g07633	0	2	0	2	0.977434693789275	-0.0823278167817472	3.42461072351947	-0.0240400510972934	0.980820661773175	0.99873305114663	1	144
transcript:at1g07727	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g52185	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g07867	51	43	51	66	52.5435550284085	0.259677063945922	0.460638019023482	0.56373345929287	0.572935542707805	0.950670363942787	1	54
transcript:at1g53683	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g53687	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g08053	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g55591	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g08157	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g08163	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g08287	0	6	0	9	3.64264200896566	0.496267427407892	4.41649714426305	0.112366749303242	0.910532618535144	0.981422723125384	1	139
transcript:at1g60025	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g60072	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g60073	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g08303	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g08337	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g08343	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g61224	0	2	0	0	0.503876075390718	-2.48060859400872	4.89318198290591	-0.506952041161479	0.612188469457418	0.950670363942787	1	65
transcript:at1g61226	0	2	0	0	0.503876075390718	-2.48060859400872	4.89318198290591	-0.506952041161479	0.612188469457418	0.950670363942787	1	65
transcript:at1g61732	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g62035	2	1	7	1	2.78534482488225	1.39587386329656	1.97929082550539	0.705239394488749	0.480661269204946	0.950670363942787	1	42
transcript:at1g62355	4	8	2	7	5.20915882773743	-0.483829721673416	1.41064169553584	-0.342985552748483	0.73160932889564	0.950670363942787	1	85
transcript:at1g63005	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g08597	55	68	91	115	81.6610675316228	0.690304937241343	0.382701067765037	1.80377060684127	0.0712672755017809	0.950670363942787	1	3
transcript:at1g08783	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g08793	0	1	1	1	0.743471979744271	0.953938014285227	3.62015120444482	0.263507781971643	0.792159226298244	0.950670363942787	1	118
transcript:at1g08813	2	1	0	1	1.00206239493481	-1.65174363212404	3.22060360269364	-0.512867721672597	0.608043853783232	0.950670363942787	1	59
transcript:at1g66725	33	36	17	13	24.9489224277301	-1.24596736655131	0.660802082593227	-1.88553789307335	0.0593572534930502	0.950670363942787	1	2
transcript:at1g66783	0	0	0	1	0.236779309199278	1.37714715697552	4.9948116307562	0.275715534194634	0.7827665633774	0.950670363942787	1	110.5
transcript:at1g66795	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g67195	125	166	138	109	134.870863795911	-0.279211633742462	0.325708375776764	-0.857244254393476	0.39130990959812	0.950670363942787	1	27
transcript:at1g67481	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g69792	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g69795	0	1	0	0	0.251938037695359	-1.4889087282958	4.99680329447386	-0.297972251567804	0.765724342199757	0.950670363942787	1	97
transcript:at1g69797	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g70645	0	0	0	1	0.236779309199278	1.37714715697552	4.9948116307562	0.275715534194634	0.7827665633774	0.950670363942787	1	110.5
transcript:at1g09213	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g71002	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at1g73687	2	0	0	0	0.51334504804017	-2.50502274498022	4.88527479469962	-0.512770079525127	0.608112161741131	0.950670363942787	1	60
transcript:at1g09473	32	40	19	30	30.2347595765785	-0.612831663330581	0.600535245212632	-1.02047576427191	0.307502877672836	0.950670363942787	1	20
transcript:at1g76062	20	18	15	18	17.7516822172497	-0.257523983277233	0.755783175636694	-0.340737914760126	0.733300893024285	0.950670363942787	1	86
transcript:at1g76135	2	2	2	0	1.52673038913016	-1.01205519840393	2.61844474248892	-0.386510046204733	0.699118963798232	0.950670363942787	1	81
transcript:at1g09687	39	27	51	28	36.4348623874691	0.220724303251859	0.579696387286285	0.380758459243	0.703382486150949	0.950670363942787	1	83
transcript:at1g77235	2	0	1	0	0.768099680889804	-1.03040019255846	3.85276544940266	-0.267444308793368	0.789127087941032	0.950670363942787	1	117
transcript:at1g78206	4	3	2	2	2.76557209326424	-0.858707963859958	1.8554244912299	-0.462809436826368	0.643500966430237	0.950670363942787	1	77
