ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:at1g01046	4	11	5	13	8.02974102791877	0.478903770053884	1.21788347811945	0.393226263971794	0.694152373101647	0.930806914237344	1	86
transcript:at1g01183	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g04027	5	3	9	7	6.21024455222619	1.24714657088214	1.35503343940534	0.920380659704939	0.357373871728793	0.930806914237344	1	34
transcript:at1g04393	1	0	0	2	0.728972334795044	1.0953226886343	4.14274344442274	0.26439549137635	0.791475185319658	0.930806914237344	1	111
transcript:at1g04423	1	4	1	0	1.40792914512563	-1.9963154371138	2.98323886732845	-0.669177201657182	0.50338244751201	0.930806914237344	1	49
transcript:at1g07051	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g11735	1	0	0	4	1.22139615566363	2.09798782147718	3.39716905130454	0.61756944967797	0.536859188031138	0.930806914237344	1	52
transcript:at1g12294	2	0	1	2	1.25951880461901	0.750318835172898	2.9989908546598	0.250190437895821	0.802440079615681	0.930806914237344	1	112.5
transcript:at1g04993	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g14071	2	6	6	4	4.53800641792765	0.607962221068908	1.56862442271176	0.387576664156417	0.698329340924515	0.930806914237344	1	87
transcript:at1g18075	9	7	10	12	9.55887879130266	0.687767501478516	1.08194686396372	0.635675858386315	0.524987714694815	0.930806914237344	1	51
transcript:at1g18879	0	0	1	0	0.293997955897512	1.77576746210912	4.98250639573158	0.356400438066751	0.721540701354903	0.930806914237344	1	95
transcript:at1g19371	0	0	5	2	1.96241360035615	4.54337233045971	2.78260527012611	1.63277644128583	0.102516023614928	0.930806914237344	1	14
transcript:at1g19464	0	0	0	1	0.246211910434294	1.64642287773349	4.9910476562531	0.329875206795662	0.74149425797412	0.930806914237344	1	106.5
transcript:at1g20375	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g05627	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g21202	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g05637	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g26973	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g26975	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g26985	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g29265	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g31173	32	49	34	39	37.9156852255448	0.0955893706628938	0.578126000309018	0.165343490193833	0.868673629639861	0.930806914237344	1	133
transcript:at1g31358	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g06523	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g32582	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g06597	0	0	1	1	0.540209866331806	2.68729895668106	4.61955044813637	0.581723045749001	0.560753245849021	0.930806914237344	1	56
transcript:at1g32713	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g06623	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at1g32992	0	0	0	0	0	NA	NA	NA	1	1	1	236
