WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G04057.1	1	4	3	4	2.85275195568944	0.290792798553454	1.99424816023398	0.145815753702055	0.884066839175576	1	1	218
transcript:AT1G04425.1	59	41	109	66	66.911839667525	0.523344068579591	0.48502224665854	1.07901044165512	0.280583072915156	0.602227083330092	1	90
transcript:AT1G10682.1	630	728	924	967	790.885999891733	0.223330788355432	0.167613154421549	1.33241802605632	0.182722861921471	0.442358602981206	0.886811706923497	75
transcript:AT1G11175.1	225	268	163	151	203.009481597238	-0.903505711765279	0.268322595199236	-3.36723678113803	0.000759254679677748	0.00607403743742198	0.0130108642835687	22
transcript:AT1G11185.1	70	72	79	62	70.1198357974484	-0.271691441995532	0.433059296807239	-0.627376998943555	0.53041214128394	0.826128644831623	1	133
transcript:AT1G11592.2	0	2	3	0	1.16315212044146	0.436536777981646	3.47617404115034	0.12557966684464	0.900064659024968	1	1	221
transcript:AT1G11592.1	1	0	0	0	0.296454380108168	-1.80140831829548	4.98137185686678	-0.361628958860449	0.717629321228214	1	1	175.5
transcript:AT1G04867.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G14518.1	1	3	0	0	1.03069954661503	-3.64213528908816	3.66506644097773	-0.993743318911443	0.320347847313279	1	1	95.5
transcript:AT1G15405.1	45	19	20	57	35.3586957651397	-0.0428697275104846	0.714258078986434	-0.0600199406513102	0.952139752976324	0.995480276045138	1	234
transcript:AT1G16635.1	6	8	1	12	6.67221120466311	-0.349682533389343	1.44424985584232	-0.242120525042669	0.808686774598441	0.965367727970931	1	198
transcript:AT1G05257.1	9	9	12	6	8.92091930777783	-0.263677451306933	1.15662394542628	-0.227971634470832	0.819668292328458	0.968198788253749	1	204
transcript:AT1G05353.1	16	10	4	0	8.08896109378053	-2.99506971844359	1.45116824717083	-2.06390246222843	0.0390269652552853	0.180756470656058	0.377260664134425	39
transcript:AT1G18745.1	77	86	130	104	96.561945842418	0.265085842683317	0.373992976928845	0.70879898563911	0.478449227342533	0.80968330781044	1	123
transcript:AT1G05463.1	26	42	50	31	36.2181125104602	0.0162122252328558	0.601909782402825	0.0269346432087157	0.978511862248914	0.995480276045138	1	242
transcript:AT1G19968.1	4	3	0	0	1.92006268693954	-4.53136318489424	2.86730802822596	-1.58035451381129	0.114025702144392	1	0.704273106865029	60
transcript:AT1G05547.1	2	0	0	0	0.592908760216337	-2.8273732634097	4.88370604781482	-0.578940099123039	0.562629592039599	1	1	139.5
transcript:AT1G21529.1	2	4	36	14	12.8185367999414	2.8239265339009	1.12345368541271	2.51361188322018	0.0119501865930005	0.0637343284960028	0.13652182865337	33
transcript:AT1G05697.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G22403.2	3	8	9	12	7.57926231172585	0.720779956086499	1.26304054232768	0.570670482800308	0.568223030975159	0.8375439598366	1	142
transcript:AT1G22403.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G23052.1	245	282	48	64	166.887233101967	-2.4886072558253	0.315833936718539	-7.8794802157156	3.2874574162429e-15	1.92864168419584e-13	4.13123815307858e-13	3
transcript:AT1G05813.1	0	0	4	0	0.898207123693618	3.18038340097385	4.25112288449581	0.748127844662634	0.454383048174039	1	1	119.5
transcript:AT1G24068.1	0	0	0	2	0.451824338734288	2.18842559959912	4.89197852413442	0.447349796979401	0.654622517564707	1	1	162.5
transcript:AT1G25175.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G25175.3	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G25175.4	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G25175.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G25175.5	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G26235.1	5	2	5	2	3.5463519215634	-0.31200084334273	1.81796972030318	-0.171620484025827	0.863735902466455	1	1	213
transcript:AT1G26558.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G26558.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G31258.1	33	33	51	61	43.0924745336345	0.501257982619717	0.541588368930185	0.925533138035933	0.354688654597035	0.677822825034439	1	103
transcript:AT1G31935.1	62	75	28	4	43.927399272702	-2.3521010875316	0.687990988732222	-3.41879635933295	0.000628987808095317	0.00527151686784646	0.0112918287453302	21
transcript:AT1G32172.1	4	5	10	2	5.10690161257912	0.162789322633786	1.55498153504893	0.104688910424048	0.916622661805012	0.995480276045138	1	223
transcript:AT1G06677.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G33615.6	9	1	5	6	5.39106973062902	-0.214943871565891	1.57218736340208	-0.136716447778063	0.8912549281658	0.986546335579753	1	220
transcript:AT1G33615.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G33615.5	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G33615.4	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G33615.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G33615.3	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G34392.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G34418.1	339	392	396	379	370.982620716049	-0.170081936431526	0.21159256519786	-0.803818112760638	0.421502027558836	0.749336937882375	1	113
transcript:AT1G06797.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G43765.1	14	25	12	10	15.2228141071572	-1.05539699994462	0.897406199885152	-1.17605271735329	0.239573810606226	0.533734059072099	1	87
transcript:AT1G07257.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G46554.1	146	185	144	126	149.361181223613	-0.542970914219741	0.305678202599076	-1.77628273656102	0.0756863271815697	0.277617203498911	0.583232732918877	48
transcript:AT1G07507.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G07543.1	0	4	2	5	2.55765796402501	0.660756143652876	2.27236963580434	0.290778460177317	0.771220760159456	1	1	191
transcript:AT1G49832.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G49832.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G49952.1	6	2	6	2	4.06735808259497	-0.320629916186407	1.72819080534021	-0.185529233922344	0.852813952914421	0.980159736305238	1	210
transcript:AT1G50055.1	109	74	101	140	104.73234179029	0.112245294848214	0.40204924510443	0.279182951379648	0.780104426511011	0.955743576697009	1	193
transcript:AT1G07647.1	29	22	14	14	20.2881368815882	-1.14425624739037	0.787798374935833	-1.45247348026526	0.146369997858002	0.396324917277051	0.799731727427054	69
transcript:AT1G50659.1	191	212	283	183	213.399526029323	-0.048113555511955	0.291260014432246	-0.165191077140276	0.868793588194094	0.983792493241733	1	214
transcript:AT1G07757.1	10	9	7	6	8.09461478326897	-0.816561451815248	1.20294926465811	-0.678799576844434	0.497264861949965	0.812953933472263	1	126
transcript:AT1G52347.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G52347.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G52615.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G52615.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G07847.1	17	29	21	24	22.2749072022748	-0.263757791178945	0.739935895022229	-0.356460327108501	0.721495857754726	0.930240589789958	1	178
transcript:AT1G07963.1	26	21	59	61	39.8767274542371	1.07985786957479	0.5734973178058	1.88293447248599	0.0597092487993803	0.250210185445022	0.523497367380613	43
transcript:AT1G07977.1	0	0	1	0	0.224551780923405	1.18321089284256	4.99726510796943	0.236771687568792	0.812833917117249	1	1	202
transcript:AT1G55525.1	2	0	41	81	28.0984174968146	5.65339566464543	1.22133347765076	4.62887144919646	3.67663903115874e-06	5.88262244985398e-05	0.000126008446795168	11
transcript:AT1G57835.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G58590.2	7	6	22	12	11.1947562064915	1.11675079284041	1.05975254395531	1.05378448885093	0.291981596597867	0.611770964300292	1	92
transcript:AT1G58590.1	1	1	2	0	0.990306330790599	-0.266028753782909	3.44049284203943	-0.0773228621586709	0.938366703978805	1	1	229
transcript:AT1G58808.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G08253.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G08427.1	27	22	30	32	27.354475664755	0.0657869027716952	0.673295762023846	0.0977087729973938	0.922163549050116	0.995480276045138	1	227
transcript:AT1G08493.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
