WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G04057.1	1	4	4	3	2.92582270143746	0.511731241993622	1.90002559138656	0.26932860500062	0.787676821559041	0.977839680860975	1	185
transcript:AT1G04425.1	59	41	27	60	46.5556909598411	-0.301980392196363	0.544155606583124	-0.554952275678212	0.578927304101296	0.977839680860975	1	111
transcript:AT1G10682.1	630	728	660	612	654.150028445955	-0.132605243200386	0.163830536998718	-0.809404923096989	0.418282271350025	0.977839680860975	1	66
transcript:AT1G11175.1	225	268	329	277	273.158729051637	0.265228938675468	0.232316493100176	1.1416707231419	0.253590914593604	0.977839680860975	1	32
transcript:AT1G11185.1	70	72	72	54	67.0902543700565	-0.209619025235778	0.428094489229591	-0.489655976681722	0.624377358761089	0.977839680860975	1	127
transcript:AT1G11592.2	0	2	1	2	1.17784197444857	0.617990945733662	3.04841821649051	0.202725119011106	0.839349888692113	0.977839680860975	1	201
transcript:AT1G11592.1	1	0	0	0	0.27741241815735	-1.58910229693005	4.98160849620146	-0.318993814576509	0.749731203213618	0.977839680860975	1	158.5
transcript:AT1G04867.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G14518.1	1	3	0	0	0.966556939332236	-3.43249972067585	3.59760128755363	-0.954107875308759	0.340029040124499	0.977839680860975	1	51
transcript:AT1G15405.1	45	19	38	31	33.8509236672747	0.0208650015105341	0.643674090119046	0.0324154752083855	0.974140721541739	0.99678481497999	1	227
transcript:AT1G16635.1	6	8	2	0	4.02373921704963	-2.79181442935044	1.88367144642684	-1.48211326059344	0.138310160966534	0.977839680860975	1	14
transcript:AT1G05257.1	9	9	3	10	7.63466081029488	-0.559839605461098	1.21465097422494	-0.460905739460115	0.644866233807373	0.977839680860975	1	138
transcript:AT1G05353.1	16	10	10	10	11.6316735251917	-0.454259636464776	0.979242275119473	-0.463888914936147	0.642727335170494	0.977839680860975	1	137
transcript:AT1G18745.1	77	86	75	126	89.5054828825458	0.238681512945377	0.374443752877617	0.637429550128956	0.523845085370381	0.977839680860975	1	100
transcript:AT1G05463.1	26	42	41	39	36.4764052334675	0.21302744165374	0.557462018691672	0.382138037231131	0.702358979275943	0.977839680860975	1	150
transcript:AT1G19968.1	4	3	0	6	3.17171209734148	-0.367936813897187	1.98963113856719	-0.184927148939854	0.853286176463121	0.977839680860975	1	205
transcript:AT1G05547.1	2	0	0	0	0.5548248363147	-2.61467372072485	4.88382944116325	-0.535373675969749	0.592391489214146	0.977839680860975	1	118.5
transcript:AT1G21529.1	2	4	12	3	5.28941905948482	1.35515422711152	1.5100540531451	0.897421005750784	0.369494307871402	0.977839680860975	1	55
transcript:AT1G05697.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G22403.2	3	8	7	6	5.86828482854602	0.247481762967004	1.35539490852931	0.18259015244165	0.855119611659638	0.977839680860975	1	206
transcript:AT1G22403.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G23052.1	245	282	217	354	270.335523117201	0.0543264371391902	0.239323950522873	0.226999583704424	0.820424065875806	0.977839680860975	1	196
transcript:AT1G05813.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G24068.1	0	0	4	0	1.043091969945	3.48240072188745	3.83127110557512	0.908941347643082	0.363381086629738	0.977839680860975	1	54
transcript:AT1G25175.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G25175.3	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G25175.4	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G25175.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G25175.5	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G26235.1	5	2	0	0	1.84649177157001	-4.3544680594547	2.8149756716987	-1.54689367415633	0.121888886702604	0.977839680860975	1	12.5
transcript:AT1G26558.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G26558.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G31258.1	33	33	47	40	38.1443162025514	0.355735246897165	0.54703936603915	0.650291860113968	0.515503713996371	0.977839680860975	1	97
transcript:AT1G31935.1	62	75	78	128	84.0573916445155	0.530023157042345	0.383637101605555	1.38157429201751	0.167102452062622	0.977839680860975	1	19
transcript:AT1G32172.1	4	5	2	4	3.69504846191817	-0.646521575450878	1.67944106219029	-0.38496234848974	0.700265311339527	0.977839680860975	1	148
transcript:AT1G06677.1	0	0	1	0	0.260772992486251	1.46339320213728	4.98628570454126	0.293483624655621	0.769152514353569	0.977839680860975	1	169.5
transcript:AT1G33615.6	9	1	4	5	4.91361682670044	-0.298905384439509	1.57455534978869	-0.189834790170839	0.84943859295684	0.977839680860975	1	204
transcript:AT1G33615.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G33615.5	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G33615.4	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G33615.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G33615.3	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G34392.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G34418.1	339	392	319	366	351.025603907743	-0.140630074550122	0.193186147959248	-0.727951129186487	0.466643502930922	0.977839680860975	1	83
transcript:AT1G06797.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G43765.1	14	25	8	23	16.9756807674429	-0.385868890856701	0.843761366459912	-0.457319932145807	0.647441105146574	0.977839680860975	1	139
transcript:AT1G07257.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT1G46554.1	146	185	127	133	146.550642097586	-0.386476165856139	0.284719207970871	-1.35739407471124	0.174656029944433	0.977839680860975	1	22
