ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G04057.1	3	4	4	3	3.48636296533177	0.238914975605195	1.871457306014	0.127662530605124	0.898416043643492	1	1	218
transcript:AT1G04425.1	109	66	27	60	62.0127386412419	-0.810007789425065	0.527973956378603	-1.53418133534643	0.12498504806466	0.381650771768874	0.812402812420293	58
transcript:AT1G10682.1	924	967	660	612	770.488976427735	-0.338961268814943	0.201180292114335	-1.68486319038798	0.0920149698553815	0.321113466230005	0.693792872709577	50
transcript:AT1G11175.1	163	151	329	277	234.10926112761	1.18888976797933	0.291820817320355	4.07404029258882	4.62044823280926e-05	0.000486860718138344	0.00107337129086641	16
transcript:AT1G11185.1	79	62	72	54	65.9677573323079	0.0854127143037305	0.484668069976937	0.176229299173339	0.860113803578204	0.963473150464512	1	207
transcript:AT1G11592.2	3	0	1	2	1.44302743880791	0.225137399577905	3.05353006936399	0.0737302055207199	0.941225063663183	1	1	225
transcript:AT1G11592.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G04867.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G14518.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G15405.1	20	57	38	31	36.2734309000773	0.0665426200814568	0.693742137528278	0.095918377278538	0.923585398918879	0.974895698858817	1	223
transcript:AT1G16635.1	1	12	2	0	3.59540738577346	-2.42305730275456	2.24326633322214	-1.0801469566363	0.280076744552185	1	1	81
transcript:AT1G05257.1	12	6	3	10	7.36982098153439	-0.28488826061967	1.35754297628699	-0.209855795062096	0.833780224350359	0.963473150464512	1	201
transcript:AT1G05353.1	4	0	10	10	6.22124275821222	2.57569912524611	1.65426435356419	1.55700575890222	0.119469118127838	0.381650771768874	0.812402812420293	55
transcript:AT1G18745.1	130	104	75	126	105.526633378801	-0.0133394864052154	0.391994943352803	-0.0340297410245151	0.972853434521951	0.993777251389223	1	232
transcript:AT1G05463.1	50	31	41	39	39.6901530080662	0.220973964301247	0.602400056407796	0.36682261555377	0.713751337058343	0.954214656452791	1	170
transcript:AT1G19968.1	0	0	0	6	1.46661081520156	4.14026342521344	3.67326328788491	1.12713494806342	0.259685429272422	1	1	78
transcript:AT1G05547.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G21529.1	36	14	12	3	15.444824392539	-1.43902645430659	1.05207500920233	-1.36779834300755	0.171375206529378	0.465161274865455	0.978915952448114	66
transcript:AT1G05697.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G22403.2	9	12	7	6	8.28077473256134	-0.460297579463611	1.24928533837145	-0.368448716498706	0.712538677837268	0.954214656452791	1	169
transcript:AT1G22403.1	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G23052.1	48	64	217	354	174.796226949084	2.5491090474837	0.346658769134919	7.3533666949922	1.9327575372388e-13	1.65250769433917e-11	3.64324795769513e-11	2
transcript:AT1G05813.1	4	0	0	0	0.886873887876559	-3.18312437628508	4.49491705375596	-0.708160871094441	0.478845362135171	1	1	108
transcript:AT1G24068.1	0	2	4	0	1.62195457324507	1.30561972077621	3.2060067561071	0.407241724706023	0.683830459110915	1	1	162
transcript:AT1G25175.2	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G25175.3	0	0	0	0	0	NA	NA	NA	1	1	1	308
transcript:AT1G25175.4	0	0	0	0	0	NA	NA	NA	1	1	1	308
