WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT1G03987	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G03993	52	87	141	144	102.377490924894	0.887008771405337	0.362948348096471	2.44389808097314	0.0145295304637047	0.0761875742860441	0.272586625873416	276
gene:AT1G01046	7	7	4	11	7.21142429187194	-0.0609550794440731	1.23961594448911	-0.0491725519626119	0.960781785157786	0.986083511884361	1	2496
gene:AT1G03997	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G04003	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G04007	81	68	94	75	78.783157574921	0.000530790728460974	0.40233691290571	0.00131926927764982	0.998947375717165	0.998947375717165	1	2577
gene:AT1G04013	146	196	139	196	167.35793865472	-0.183339461976944	0.304900241879622	-0.601309663930435	0.547633754105449	0.807451813312942	1	1298
gene:AT1G01183	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G04017	17	35	19	21	22.6619152857379	-0.516891630613937	0.71540898220555	-0.722512078364463	0.46997970210735	0.753249630607927	1	1155
gene:AT1G04023	10	13	11	9	10.6467045652434	-0.363050240010979	0.999826470243074	-0.363113250965155	0.716520286391939	0.901011054812777	1	1789
gene:AT1G01270	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G01448	260	275	197	244	243.478577935717	-0.444913477165812	0.255525670299293	-1.74116939658036	0.081653889917825	0.264649586582006	0.889720508472314	474
gene:AT1G04027	2	2	5	3	2.90979644589151	0.824327281145424	1.88104817186161	0.438227629401759	0.66122128174754	1	1	1680
gene:AT1G04033	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G04037	4	4	2	2	3.03675491465398	-1.17096090845357	1.84764075706695	-0.633760055343455	0.526237425279077	1	1	1257
gene:AT1G04043	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G04047	4	33	14	35	20.6851135735456	0.318565525303075	0.902018827954015	0.353169485414905	0.723961382861953	0.903122478732292	1	1803
gene:AT1G04053	67	106	22	32	57.3655746208888	-1.82602834378767	0.485442133927019	-3.76157777862396	0.000168844898792271	0.00164509691931388	0.00590728976990795	148
gene:AT1G04057	1	4	3	4	2.89361367118439	0.368745455100801	1.89871684806227	0.194207712159464	0.846013244408549	1	1	2281
gene:AT1G04063	0	0	0	1	0.237679423125091	1.29343978219273	4.99421200121359	0.258987760607363	0.795644684018263	1	1	2081
gene:AT1G04067	32	16	13	9	18.0498549278918	-1.33113227403075	0.831929326768763	-1.60005451328529	0.109586490608293	0.325822101973523	1	522
gene:AT1G04073	12	33	16	10	17.4611984007045	-0.923660416635427	0.839125427009781	-1.10074178055465	0.271009056726803	0.567733426907324	1	794
gene:AT1G01870	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G01890	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G04077	101	59	80	125	90.9209909504879	0.167436742284785	0.432524975645001	0.387114621612535	0.698671353425653	0.895480386430452	1	1753
gene:AT1G04083	45	36	55	37	42.8628049635652	-0.00129314140744759	0.533576455566263	-0.00242353536022355	0.998066300446456	0.998814423439549	1	2575
gene:AT1G04087	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G04093	0	0	1	0	0.229015035578584	1.26642869301487	4.99612587466995	0.253482142921095	0.799895658559641	1	1	2160
gene:AT1G04097	62	81	129	122	95.7653948615865	0.651784430788453	0.359075534276031	1.81517360157267	0.0694972351620751	0.235497117739711	0.805906127503671	446
gene:AT1G04103	4	1	23	6	8.066778981668	2.31336231772731	1.33692289224233	1.73036330752573	0.0835653851943484	0.268377027728843	0.899955860565452	480
gene:AT1G04117	133	129	134	103	124.132568927683	-0.320062956092764	0.328869697934368	-0.973221181833051	0.330443385523288	0.629457545475007	1	904
gene:AT1G04123	1	0	10	5	3.76105251317742	3.706618012764	2.14272597798059	1.7298609578894	0.0836551202081613	1	0.899955860565452	481
gene:AT1G02480	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G04127	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G02600	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G04133	27	47	0	0	19.0644496323255	-7.79725115721968	1.6271984677737	-4.79182552813469	1.65270596840779e-06	2.45032768276491e-05	8.79874947389506e-05	97
gene:AT1G04137	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G04143	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G02760	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G04147	30	21	3	6	15.6983385069262	-2.68550999434096	0.939432378743572	-2.85865172960363	0.00425445591476645	0.0275108763636467	0.0987873216442183	223
gene:AT1G04153	0	0	0	0	0	NA	NA	NA	1	1	1	3878
gene:AT1G02952	64	86	97	84	81.1867880155783	0.11157549686412	0.386035301817311	0.289029258046775	0.772558987911357	0.926412899719021	1	2006
