WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT1G03987	0	0	1	0	0.260706320041131	1.47425275711432	4.98666370758153	0.295639097313285	0.767505712225625	1	1	1644
gene:AT1G03993	52	87	84	123	84.4628902820362	0.546750692706568	0.408493178792555	1.33845733807032	0.180747398455679	0.997978749433058	1	182
gene:AT1G01046	7	7	5	13	7.80912558911337	0.294482443033722	1.16935524788685	0.251833173508123	0.801170014733934	1	1	1913
gene:AT1G03997	0	0	0	0	0	NA	NA	NA	1	1	1	3838
gene:AT1G04003	0	0	0	0	0	NA	NA	NA	1	1	1	3838
gene:AT1G04007	81	68	88	86	80.3827641039698	0.182509218531065	0.407207098151712	0.448197537222369	0.654010639962233	0.997978749433058	1	1298
gene:AT1G04013	146	196	199	225	188.625315150626	0.283571465192615	0.290241377144704	0.977019431144846	0.328559532679135	0.997978749433058	1	409
gene:AT1G01183	0	0	0	0	0	NA	NA	NA	1	1	1	3838
gene:AT1G04017	17	35	13	13	19.1184424817913	-1.00431000066293	0.776898751778743	-1.29271671290952	0.196109055243005	1	1	197
gene:AT1G04023	10	13	10	26	14.3076115420924	0.588126686124073	0.894226987800185	0.657692838784564	0.510735524897831	1	1	780
gene:AT1G01270	0	0	0	0	0	NA	NA	NA	1	1	1	3838
gene:AT1G01448	260	275	336	329	297.373463378809	0.282550824126961	0.25517380986655	1.10728771214698	0.268169555297429	0.997978749433058	1	306
gene:AT1G04027	2	2	9	7	4.9602002603011	1.97687882919569	1.51175051988047	1.30767530964832	0.190983461254756	1	1	192
gene:AT1G04033	0	0	0	1	0.22981372529135	1.3823515341236	4.99289209308686	0.276863891378226	0.781884619645512	1	1	1806
gene:AT1G04037	4	4	8	6	5.4748275178601	0.78410639480825	1.37184222891976	0.571571845711212	0.567612073782427	1	1	892
gene:AT1G04043	0	0	0	0	0	NA	NA	NA	1	1	1	3838
gene:AT1G04047	4	33	17	7	14.8143294967913	-0.554461574082129	1.01615694505199	-0.545645607976198	0.585309567308399	1	1	945
gene:AT1G04053	67	106	60	78	76.3357990274892	-0.350708570254551	0.415444215369984	-0.84417728609416	0.398570345120769	0.997978749433058	1	537
