ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT1G03987	0	0	1	0	0.273861278752583	1.63827026830679	4.98728469193922	0.328489422501721	0.742541640620507	1	1	1844
gene:AT1G03993	141	144	84	123	119.967059152372	-0.339505516217088	0.355025838729573	-0.956283963533405	0.338928789625306	0.670349841817815	1	847
gene:AT1G01046	4	11	5	13	8.07063066290352	0.362721996716857	1.21859092881231	0.297656898751398	0.765965042826136	0.91763029457259	1	1978
gene:AT1G03997	0	0	0	0	0	NA	NA	NA	1	1	1	3864.5
gene:AT1G04003	0	0	0	0	0	NA	NA	NA	1	1	1	3864.5
gene:AT1G04007	94	75	88	86	84.7420432518077	0.179418247475857	0.403865585062998	0.44425238027615	0.656860125623189	0.873915061161487	1	1650
gene:AT1G04013	139	196	199	225	188.115970873841	0.469601127748195	0.313535694545844	1.49775969982752	0.134195694790524	0.390650931395268	1	520
gene:AT1G01183	0	0	0	0	0	NA	NA	NA	1	1	1	3864.5
gene:AT1G04017	19	21	13	13	16.1345250887508	-0.486649173434613	0.838524746422935	-0.580363519992238	0.561669500342791	0.823546418713201	1	1289
gene:AT1G04023	11	9	10	26	13.7640938598453	0.951343592980942	0.9418928167632	1.0100338128177	0.312479090523931	0.645619099947431	1	801
gene:AT1G01270	0	0	0	0	0	NA	NA	NA	1	1	1	3864.5
gene:AT1G01448	197	244	336	329	275.849786411462	0.72842696818758	0.274496898853127	2.65368013711999	0.00796192604662042	0.051448733240483	0.191118652995392	215
gene:AT1G04027	5	3	9	7	6.04609880646926	1.14640780339766	1.36119604970046	0.84220623741153	0.399672523045996	1	1	953
gene:AT1G04033	0	0	0	1	0.243229630996977	1.55185381999746	4.99316357372857	0.310795710391405	0.755955930920635	1	1	1922.5
gene:AT1G04037	2	2	8	6	4.5911916112295	1.95355248564216	1.59851820395993	1.22210211982743	0.221669011586861	1	1	652
gene:AT1G04043	0	0	0	0	0	NA	NA	NA	1	1	1	3864.5
gene:AT1G04047	14	35	17	7	17.9171899495394	-0.870010940993998	0.886469974585825	-0.981433061396674	0.326379229084995	0.657999584476464	1	826
gene:AT1G04053	22	32	60	78	48.1215930271673	1.47821565513978	0.528497587030308	2.79701495601154	0.00515771456941052	0.0363408358181425	0.135566731169582	197
gene:AT1G04057	3	4	4	3	3.47330395451686	0.14404797950874	1.73385632829066	0.0830795361520822	0.933788297370436	1	1	2382
gene:AT1G04063	0	1	0	1	0.480014184672112	0.10248712122281	4.94671090098513	0.0207182354647811	0.983470422344565	1	1	2514.5
gene:AT1G04067	13	9	22	28	18.004242954747	1.31248263827668	0.814159673435617	1.61207031139017	0.106946640323188	0.348949097684065	1	453
gene:AT1G04073	16	10	20	26	17.9078774207381	0.950872866223324	0.812482157359357	1.17033076678724	0.241867885083484	0.566302706758228	1	681
gene:AT1G01870	0	0	0	0	0	NA	NA	NA	1	1	1	3864.5
gene:AT1G01890	0	0	0	0	0	NA	NA	NA	1	1	1	3864.5
gene:AT1G04077	80	125	57	84	84.3336306171035	-0.420083890073495	0.428491144136931	-0.980379398317857	0.326898875260446	0.658086511275037	1	827
gene:AT1G04083	55	37	42	46	44.3040136360589	0.0697055218393365	0.535352948665507	0.130204796691779	0.896404399677882	0.973002722753282	1	2332
