WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT2G01010.1	87122	23182	104526	109761	71407.0741526388	0.78717083592811	0.421911614619712	1.86572449928315	0.0620799201922375	0.518037526244573	0.518037526244573	1
transcript:AT2G01020.1	1087	1078	1366	1387	1288.66487560608	-0.281105864892159	0.530803865612172	-0.529585187869651	0.596399566350768	0.892418782534288	0.892418782534288	8
transcript:AT3G41768.1	108143	29055	128718	134377	88167.8483176083	0.765609536562596	0.421138781134787	1.8179506871811	0.0690716701659431	0.518037526244573	0.518037526244573	2
transcript:AT3G41979.1	1249	1137	1444	1335	1351.81331784848	-0.375282727769055	0.519122869048327	-0.722916962716428	0.469730901455555	0.892418782534288	0.892418782534288	4
transcript:ATMG00020.1	4592	3509	5399	4384	4560.50647141926	-0.258234218357973	0.491208273895355	-0.525712273350237	0.599088134954222	0.892418782534288	0.892418782534288	9
transcript:ATMG01380.1	23	29	53	36	36.9194187738816	0.117270824355895	0.867104123497677	0.13524422405334	0.892418782534288	0.892418782534288	0.892418782534288	15
transcript:ATMG01390.1	10994	10772	19036	17492	14821.8952339799	0.124703844051226	0.520603490561418	0.239537087845387	0.810689141412021	0.892418782534288	0.892418782534288	13
transcript:ATCG00920.1	29279	5391	21575	24108	17270.5746586256	0.331694435054865	0.465547728939965	0.712482124679506	0.476166276679008	0.892418782534288	0.892418782534288	5
transcript:ATCG00950.1	36195	11992	25509	25943	22886.0935559922	-0.146339458242436	0.410946763240439	-0.356103202002385	0.721763279358272	0.892418782534288	0.892418782534288	12
transcript:ATCG00960.1	69	16	41	43	37.3322410073267	-0.162261706597912	0.77742233883865	-0.208717576652488	0.834668718139821	0.892418782534288	0.892418782534288	14
transcript:ATCG00970.1	34	4	2	13	10.8492193716486	-1.3718710073956	1.39449449799096	-0.98377656517974	0.32522538427084	0.892418782534288	0.892418782534288	3
transcript:ATCG01160.1	26	8	7	17	13.3111218984694	-0.749286735259661	1.17619120846936	-0.63704500583264	0.524095528522411	0.892418782534288	0.892418782534288	7
transcript:ATCG01170.1	59	16	46	63	40.7421814556861	0.342214790793151	0.752912259393919	0.454521475143236	0.649453538753955	0.892418782534288	0.892418782534288	10
transcript:ATCG01180.1	36653	12006	25515	25663	22916.7070618545	-0.16391865787045	0.411509153190718	-0.39833538719485	0.690382978867231	0.892418782534288	0.892418782534288	11
transcript:ATCG01210.1	29271	5244	21474	23104	16973.7439533943	0.311336836591663	0.469423898721226	0.663231755860292	0.507182136197986	0.892418782534288	0.892418782534288	6
