WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT2G01010.1	87122	23182	87679	85615	62661.8373048829	0.138441653879308	0.447252452784619	0.309538053994703	0.75691226958884	0.813353871429882	0.813353871429882	11
transcript:AT2G01020.1	1087	1078	1349	1445	1376.64539950724	-0.669569546930143	0.578566399200158	-1.15729075842599	0.247153587990001	0.746111606416194	0.746111606416194	4
transcript:AT3G41768.1	108143	29055	109574	105925	78010.5761737501	0.13410011745362	0.446561046482372	0.300295152275252	0.763952030629461	0.813353871429882	0.813353871429882	12
transcript:AT3G41979.1	1249	1137	1492	1558	1489.84218501086	-0.651245135882858	0.564580216365807	-1.15350328793827	0.248703868805398	0.746111606416194	0.746111606416194	5
transcript:ATMG00020.1	4592	3509	5435	5541	5027.81700897465	-0.499668778525822	0.535921982895862	-0.932353578455309	0.35115382693004	0.813353871429882	0.813353871429882	6
transcript:ATMG01380.1	23	29	40	40	36.7810820474944	-0.43092901799059	0.680756537620346	-0.633014880028837	0.526723925961196	0.813353871429882	0.813353871429882	9
transcript:ATMG01390.1	10994	10772	12361	11468	12983.1803087371	-0.910690365430228	0.572390746261402	-1.591029155133	0.111603014552131	0.746111606416194	0.746111606416194	2
transcript:ATCG00920.1	29279	5391	30295	26684	19344.8579393687	0.326039402039647	0.475995407797118	0.684963335147582	0.493367057839266	0.813353871429882	0.813353871429882	8
transcript:ATCG00950.1	36195	11992	44163	35899	28893.5506450915	0.127283163507029	0.445398111302706	0.285773918382254	0.775051285540546	0.813353871429882	0.813353871429882	13
transcript:ATCG00960.1	69	16	88	59	49.7400631197266	0.288679811862106	0.55103212791667	0.523889256609302	0.600355567585735	0.813353871429882	0.813353871429882	10
transcript:ATCG00970.1	34	4	12	11	12.9596892231995	-1.08496763012992	0.762105768529448	-1.42364442697169	0.154549428351805	0.746111606416194	0.746111606416194	3
transcript:ATCG01160.1	26	8	14	4	12.8473911792959	-1.51734693950074	0.784592934277699	-1.93392888619067	0.0531218719639129	0.746111606416194	0.746111606416194	1
transcript:ATCG01170.1	59	16	63	58	43.2646736572908	0.156284771698865	0.551249578382279	0.283510006769539	0.776785911919962	0.813353871429882	0.813353871429882	14
transcript:ATCG01180.1	36653	12006	43602	35741	28853.9750590241	0.105052990449314	0.44494833083334	0.236101549707044	0.813353871429882	0.813353871429882	0.813353871429882	15
transcript:ATCG01210.1	29271	5244	30119	26568	19200.4691625176	0.333844649266669	0.479233781239313	0.696621695581092	0.486039574694272	0.813353871429882	0.813353871429882	7
