ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT2G01010.1	104526	109761	87679	85615	99803.1784028546	-0.563790234767923	0.100757401415487	-5.59552178646465	2.19959223029139e-08	1.64969417271855e-07	1.64969417271855e-07	2
transcript:AT2G01020.1	1366	1387	1349	1445	1415.55775787029	-0.235541297288458	0.131001648439296	-1.79800254496495	0.0721766044735245	0.180441511183811	0.180441511183811	6
transcript:AT3G41768.1	128718	134377	109574	105925	123174.859452413	-0.545773856282456	0.100792093918735	-5.41484788204215	6.1340832465788e-08	3.0670416232894e-07	3.0670416232894e-07	3
transcript:AT3G41979.1	1444	1335	1492	1558	1483.94992159962	-0.12621430379676	0.136717569290643	-0.923175451784443	0.355915779454158	0.589977538175982	0.589977538175982	9
transcript:ATMG00020.1	5399	4384	5435	5541	5287.67256342786	-0.0997857739936074	0.142583354160528	-0.699841679143439	0.484026182545085	0.605032728181356	0.605032728181356	12
transcript:ATMG01380.1	53	36	40	40	43.5923299854393	-0.422582639304552	0.44478298322516	-0.95008724533562	0.342067923518813	0.589977538175982	0.589977538175982	8
transcript:ATMG01390.1	19036	17492	12361	11468	15716.0635572833	-0.879532212291496	0.118048864246544	-7.45057750369033	9.29325266778847e-14	1.39398790016827e-12	1.39398790016827e-12	1
transcript:ATCG00920.1	21575	24108	30295	26684	25894.930848324	0.0616288596566754	0.103024417409146	0.59819663344395	0.549708737505807	0.6342793125067	0.6342793125067	13
transcript:ATCG00950.1	25509	25943	44163	35899	32866.8665702028	0.375818111914248	0.11534150521082	3.25830767707888	0.00112078817349739	0.00389576108186119	0.00389576108186119	4
transcript:ATCG00960.1	41	43	88	59	57.3326068632394	0.544714312053444	0.389226395601445	1.39947937295397	0.1616692796282	0.346434170631856	0.346434170631856	7
transcript:ATCG00970.1	2	13	12	11	9.35805318029252	0.396230264888966	0.973302675295825	0.407098711373146	0.68393548981384	0.732788024800543	0.732788024800543	14
transcript:ATCG01160.1	7	17	14	4	10.6581953162088	-0.664747555887766	0.911273420814668	-0.7294710245071	0.46571358584346	0.605032728181356	0.605032728181356	11
transcript:ATCG01170.1	46	63	63	58	58.1772929887028	-0.100192644482909	0.375713466471303	-0.266673019266297	0.789720929343135	0.789720929343135	0.789720929343135	15
transcript:ATCG01180.1	25515	25663	43602	35741	32629.9940825643	0.370261297222836	0.115120553677548	3.21629183837957	0.00129858702728706	0.00389576108186119	0.00389576108186119	5
transcript:ATCG01210.1	21474	23104	30119	26568	25532.7779037371	0.0881991430532116	0.103324268787685	0.853614974372063	0.393318358783988	0.589977538175982	0.589977538175982	10
