WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G04263.1	10	3	3	10	5.87996406293698	-0.623113947068075	1.35334037232956	-0.46042663014293	0.645210023724186	0.845027711807827	1	39
transcript:AT1G08115.1	7	9	4	13	7.57639482582757	-0.576291368210296	1.1757558216475	-0.490145451631938	0.624030977329485	0.845027711807827	1	37
transcript:AT1G04733.1	61	83	119	200	99.3884987108427	0.51354402865113	0.359912944290853	1.42685623509035	0.153621337923828	0.845027711807827	1	9
transcript:AT1G04897.1	4	0	2	0	1.48291935397353	-1.41855984752434	2.94010351949992	-0.48248636080869	0.62946048513396	0.845027711807827	1	38
transcript:AT1G04907.1	0	2	4	0	1.41944839980844	0.469111061153728	2.99778609519655	0.156485835298723	0.875650083492459	0.921736929992062	1	57
transcript:AT1G05057.1	10	11	18	48	17.7801470821432	0.999023818882128	0.80427037299375	1.24214922298262	0.214181510186324	0.845027711807827	1	10
transcript:AT1G05273.1	39	34	73	90	50.8269239999448	0.557482806660689	0.454349683990244	1.22699063365621	0.219826111311747	0.845027711807827	1	11
transcript:AT1G05673.1	0	0	0	0	0	NA	NA	NA	1	1	1	71.5
transcript:AT1G05853.1	0	0	4	1	0.993266160476977	3.25042789181805	3.46570578163679	0.937883391325542	0.348304339374793	0.845027711807827	1	18
transcript:AT1G06873.1	2	1	0	0	0.83311084398603	-3.60298056061692	3.7169082722875	-0.969348796546851	0.33237119045982	0.845027711807827	1	16.5
transcript:AT1G06877.1	1	8	1	0	2.85514610105153	-3.77887645417338	2.35866553882176	-1.60212475740035	0.109128024337086	0.845027711807827	1	6
transcript:AT1G07537.1	0	0	0	0	0	NA	NA	NA	1	1	1	71.5
transcript:AT1G07827.1	0	0	0	1	0.169168783270371	0.805788404470546	4.99034105631446	0.161469606060482	0.871723548065361	0.921736929992062	1	55.5
transcript:AT1G07883.1	4	2	5	4	3.3730185425618	0.0246670021946267	1.69274750537786	0.014572168688041	0.988373503065276	0.989025432361117	1	59
transcript:AT1G61275.1	19	5	14	13	11.6585482197511	-0.381843935917789	0.982586388406347	-0.388611057941786	0.697563885481916	0.845027711807827	1	46
transcript:AT1G08367.1	0	0	0	0	0	NA	NA	NA	1	1	1	71.5
