WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G04263.1	10	3	4	2	4.53115035287729	-1.14067363301606	1.25706233681609	-0.907412146246607	0.364188888681824	0.952229786203288	1	15
transcript:AT1G08115.1	7	9	13	16	11.1653143441348	0.827773465911377	0.702153839512713	1.17890613043695	0.238435556352176	0.952229786203288	1	7
transcript:AT1G04733.1	61	83	78	63	70.2536069066758	-0.0881857536158985	0.345778372643978	-0.255035481084576	0.79869569516654	0.952229786203288	1	48
transcript:AT1G04897.1	4	0	0	0	0.927905764399476	-3.38416803489254	4.82329282542591	-0.701630225942939	0.482909796650133	0.952229786203288	1	22.5
transcript:AT1G04907.1	0	2	2	0	0.970042869353053	-0.25664856474241	4.28412377615638	-0.0599068976883458	0.952229786203288	0.952229786203288	1	58.5
transcript:AT1G05057.1	10	11	28	25	18.092593268804	1.29325379168096	0.689268068624662	1.87627114986113	0.0606180564815898	0.952229786203288	1	1
transcript:AT1G05273.1	39	34	36	27	33.2345776623287	-0.257567546365531	0.484783480552516	-0.531304297068821	0.59520792815484	0.952229786203288	1	30
transcript:AT1G05673.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT1G05853.1	0	0	2	2	0.974893327460306	3.41295882376093	4.24104047242827	0.804745638705681	0.420966477302922	0.952229786203288	1	17.5
transcript:AT1G06873.1	2	1	1	0	0.948974316876265	-1.6335669348552	4.00737600315775	-0.40764004514874	0.683537960061068	0.952229786203288	1	38
transcript:AT1G06877.1	1	8	0	5	3.7079492722161	-0.838369106598283	1.72982248239607	-0.484656151212126	0.627920275563548	0.952229786203288	1	33
transcript:AT1G07537.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT1G07827.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT1G07883.1	4	2	3	9	4.5363950904336	1.04348007347957	1.2709018180295	0.821054827899655	0.41161503866366	0.952229786203288	1	16
transcript:AT1G61275.1	19	5	16	7	11.1190729588364	-0.0960497873706176	0.732684322440184	-0.131093002032207	0.895701736958728	0.952229786203288	1	55
transcript:AT1G08367.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT1G08737.1	3	2	2	2	2.20372214089039	-0.339524814888927	2.20712630548866	-0.15383116681841	0.877742858753631	0.952229786203288	1	53
transcript:AT1G08987.1	1	0	0	0	0.231976441099869	-1.45043497380251	4.99244339040815	-0.290526073182761	0.771413807003959	0.952229786203288	1	44.5
transcript:AT1G09143.1	61	38	38	54	47.1006260272187	-0.10191092797795	0.439729061585334	-0.231758455105367	0.816725626554542	0.952229786203288	1	49
transcript:AT1G09237.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT1G09893.1	47	49	55	35	45.3909972626716	-0.153832314343272	0.421757909174292	-0.364740793230033	0.715304904700412	0.952229786203288	1	41
transcript:AT1G09947.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT2G04375.1	6	29	26	21	20.4481396398808	0.327112291852793	0.749832377732255	0.436247222135287	0.662657369741136	0.952229786203288	1	37
transcript:AT2G04455.1	15	18	13	5	12.4615488632134	-0.956508756870463	0.710778568236955	-1.34571974960223	0.178392914635193	0.952229786203288	1	5
transcript:AT2G06455.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT2G07295.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT3G01695.1	8	11	8	6	8.14858208612007	-0.497977336897667	0.766471792852153	-0.649700799874997	0.5158855071441	0.952229786203288	1	24
transcript:AT3G01715.1	15	12	6	7	9.87059851378068	-1.07988212189	0.717578681086559	-1.5048971636878	0.132350517637616	0.952229786203288	1	3
transcript:AT3G06900.1	0	2	1	2	1.2892211279795	0.514377321057043	3.37105488857609	0.152586456779502	0.878724405848988	0.952229786203288	1	54
transcript:AT3G13855.1	1	2	3	5	2.76496587065854	1.39171053662679	1.96167521523731	0.709450028127326	0.478045251628814	0.952229786203288	1	21
transcript:AT3G14735.1	1	2	0	1	1.03375090534921	-1.56274553038554	3.85410496586683	-0.405475601787109	0.685127949021546	0.952229786203288	1	39
transcript:AT3G04905.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT3G05115.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT3G07265.1	50	37	31	51	41.9458086804193	-0.0798429497041108	0.469898704310518	-0.169915236989777	0.865076797984841	0.952229786203288	1	52
transcript:AT3G08575.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT3G08605.1	32	39	27	26	30.7069711193354	-0.466370750738015	0.513935619275576	-0.907449752938693	0.364169009457178	0.952229786203288	1	14
transcript:AT3G08615.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT3G56705.1	18	4	19	18	14.2339865568126	0.757205004114792	0.748060280090002	1.01222458171912	0.311430685374885	0.952229786203288	1	12
transcript:AT3G08695.1	9	14	18	17	14.3232493738361	0.554608530140209	0.702435444516158	0.789550889651116	0.42979009869134	0.952229786203288	1	20
transcript:AT3G56825.1	26	35	59	38	38.4701072494628	0.599636474080004	0.470349324930467	1.27487474159477	0.202353580556316	0.952229786203288	1	6
transcript:AT3G08735.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT3G57645.1	0	2	2	0	0.970042869353053	-0.25664856474241	4.28412377615638	-0.0599068976883458	0.952229786203288	0.952229786203288	1	58.5
transcript:AT3G08945.1	24	16	11	19	17.3435436014233	-0.405059890031735	0.706366618730428	-0.573441438611241	0.56634583954479	0.952229786203288	1	28
transcript:AT3G57765.1	111	136	94	91	106.999911759236	-0.461439264851514	0.275387205857652	-1.6756016802394	0.093816239480138	0.952229786203288	1	2
transcript:AT3G09005.1	5	7	22	1	8.10248256652321	0.760623731818119	1.6087159747869	0.472814184566594	0.636345753310434	0.952229786203288	1	34
transcript:AT4G03995.1	1	8	9	2	4.8684695563611	0.129047227924949	1.24014152280821	0.104058468772766	0.917122948990741	0.952229786203288	1	56
transcript:AT4G04185.1	0	0	2	2	0.974893327460306	3.41295882376093	4.24104047242827	0.804745638705681	0.420966477302922	0.952229786203288	1	17.5
transcript:AT4G04615.1	2	4	4	4	3.4795385173813	0.357288834619752	1.56274437596807	0.22862909642431	0.819157207797676	0.952229786203288	1	50
transcript:AT4G06375.1	4	5	6	6	5.18483447210659	0.37382636744859	1.06120409481005	0.352266231610708	0.724638610360332	0.952229786203288	1	42
transcript:AT4G06405.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT4G07120.1	8	6	13	16	10.597941550039	1.03408086572763	0.710019948937545	1.45641100264154	0.145279035790108	0.952229786203288	1	4
transcript:AT4G07145.1	0	0	0	3	0.806624922356596	3.1320135043564	4.8503503747763	0.645729331358016	0.518454661480027	0.952229786203288	1	25
transcript:AT4G07875.1	7	1	4	1	3.03344656532834	-0.718415226814341	1.85610416826559	-0.387055446077499	0.698715160680195	0.952229786203288	1	40
transcript:AT4G08755.1	29	15	16	18	19.060959535795	-0.375046270770727	0.675120284777856	-0.555525110453664	0.578535539575462	0.952229786203288	1	29
transcript:AT4G09135.1	5	0	6	8	4.622312136118	1.52848612439613	1.32102081706502	1.15704923393413	0.2472522458921	0.952229786203288	1	9
transcript:AT5G09585.1	14	10	8	19	12.7693656511993	0.1892622022979	0.725257258278729	0.260958715183466	0.79412434486668	0.952229786203288	1	47
transcript:AT5G01845.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT5G02245.1	1	0	0	0	0.231976441099869	-1.45043497380251	4.99244339040815	-0.290526073182761	0.771413807003959	0.952229786203288	1	44.5
transcript:AT5G02255.1	0	0	1	1	0.487446663730153	2.41253151255414	4.89226997499728	0.493131312230061	0.621919807470788	0.952229786203288	1	31
transcript:AT5G04085.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT5G04105.1	8	10	8	4	7.3443823928171	-0.65493288570101	0.821113172522188	-0.797615855667341	0.425093446960537	0.952229786203288	1	19
transcript:AT5G04305.1	0	0	2	0	0.437143379222576	2.27151995836112	4.90316746348161	0.463276030296582	0.643166524681952	0.952229786203288	1	35
transcript:AT5G04315.1	0	0	1	0	0.218571689611288	1.36399573203312	4.98998279735848	0.27334678042481	0.784586658444413	0.952229786203288	1	46
transcript:AT5G04455.1	2	0	0	0	0.463952882199738	-2.38868626264623	4.89936249032814	-0.48755042464438	0.625868317923712	0.952229786203288	1	32
transcript:AT5G04465.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT5G40395.1	4	0	0	0	0.927905764399476	-3.38416803489254	4.82329282542591	-0.701630225942939	0.482909796650133	0.952229786203288	1	22.5
transcript:AT5G06055.1	12	11	11	3	8.92557799699681	-0.795005528276433	0.75271464242742	-1.05618448674338	0.29088393686381	0.952229786203288	1	11
transcript:AT5G46315.1	4	0	1	1	1.41535242812963	-0.942772436921899	3.22660901170167	-0.292186761241547	0.770143833203107	0.952229786203288	1	43
transcript:AT5G06815.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT5G07335.1	2	1	0	0	0.730402627264977	-3.03550832013301	4.85827300128448	-0.624812216055056	0.532094312051885	0.952229786203288	1	26
transcript:AT5G07345.1	2	1	1	1	1.21784929099513	-0.59025712964135	3.21554673668447	-0.183563536149986	0.854355870905807	0.952229786203288	1	51
transcript:AT5G07405.1	6	8	14	10	9.2722100028678	0.720566183200931	0.723691108979207	0.995681961904045	0.319404697115811	0.952229786203288	1	13
transcript:AT5G07415.1	45	37	30	54	41.3739797076653	0.0417689804342194	0.480680563963362	0.0868955051767041	0.930754572356522	0.952229786203288	1	57
transcript:AT5G07775.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT5G08025.1	0	4	5	4	3.23415732479285	1.05238080987678	1.83478322299248	0.573572287281098	0.566257269380966	0.952229786203288	1	27
transcript:AT5G08115.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT5G08810.1	9	11	6	5	7.6745401738785	-0.912898789441407	0.803322089354905	-1.13640444043372	0.255787338256518	0.952229786203288	1	10
transcript:AT5G61455.1	7	9	11	2	6.96392132724813	-0.405808956503184	0.879868910228289	-0.461215246709755	0.644644183987478	0.952229786203288	1	36
transcript:AT5G09010.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT5G09080.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
transcript:AT5G09140.1	1	3	7	6	4.17457734828779	1.63190244393404	1.38521539799221	1.17808569432551	0.238762444609773	0.952229786203288	1	8
transcript:AT5G09945.1	0	0	0	0	0	NA	NA	NA	1	1	1	71
