ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G04263.1	3	10	4	2	4.22058097046494	-0.564581255059259	1.38911928978948	-0.406431081339904	0.684425886177262	0.917647399835173	1	38
transcript:AT1G08115.1	4	13	13	16	11.8458658847443	1.34863972205536	0.696479426049291	1.93636692142563	0.0528227778205176	0.306372111359002	0.433146778128245	10
transcript:AT1G04733.1	119	200	78	63	103.602022511044	-0.625147248766541	0.280224929609953	-2.2308766376949	0.0256893016492323	0.242720563899117	0.343156659305649	6
transcript:AT1G04897.1	2	0	0	0	0.420448207626857	-1.96744524107066	4.8873458220141	-0.402559039757057	0.687272647319137	0.917647399835173	1	39.5
transcript:AT1G04907.1	4	0	2	0	1.37268888668883	-0.634723914083256	3.67865863229254	-0.172542216478427	0.863011275047887	0.973978258241682	1	51
transcript:AT1G05057.1	18	48	28	25	28.2560123541916	0.252713846962988	0.552585582896432	0.45732978706821	0.647434022790009	0.917647399835173	1	35
transcript:AT1G05273.1	73	90	36	27	50.5194836415018	-0.831076413509023	0.401829746098673	-2.06823019345348	0.0386183823354631	0.248874019495207	0.351856372389775	9
transcript:AT1G05673.1	0	0	0	0	0	NA	NA	NA	1	1	1	70.5
transcript:AT1G05853.1	4	1	2	2	2.19811048468419	0.186961607049861	2.35753829200625	0.0793037413999998	0.93679103046976	0.978354905598416	1	55
transcript:AT1G06873.1	0	0	1	0	0.265896235717559	1.95110732165047	4.99096736024707	0.390927686121731	0.695850688622101	0.917647399835173	1	42
transcript:AT1G06877.1	1	0	0	5	1.80130528820207	2.94648274149016	3.3390026246291	0.882443972866735	0.377536765180736	0.84335869043925	1	25
transcript:AT1G07537.1	0	0	0	0	0	NA	NA	NA	1	1	1	70.5
transcript:AT1G07827.1	0	1	0	0	0.188989124239896	-0.875221931711696	4.9936014650495	-0.175268678895868	0.860868521416059	0.973978258241682	1	50
transcript:AT1G07883.1	5	4	3	9	5.46871185507897	1.00349881570401	1.1529581652934	0.870368800804358	0.384098891010335	0.84335869043925	1	26
transcript:AT1G61275.1	14	13	16	7	11.8818494981317	0.282597768977079	0.657904146399994	0.429542465302027	0.667528497105843	0.917647399835173	1	37
transcript:AT1G08367.1	0	0	0	0	0	NA	NA	NA	1	1	1	70.5
transcript:AT1G08737.1	2	1	2	2	1.77766227705733	0.94245655184883	2.68991430256732	0.350366757390497	0.726063470979169	0.917647399835173	1	45
transcript:AT1G08987.1	0	0	0	0	0	NA	NA	NA	1	1	1	70.5
transcript:AT1G09143.1	38	38	38	54	42.457836414691	0.840598206647906	0.453989234029704	1.85158180775914	0.0640858973882869	0.337907458956422	0.477731235076321	11
transcript:AT1G09237.1	0	0	0	0	0	NA	NA	NA	1	1	1	70.5
transcript:AT1G09893.1	53	61	55	35	48.4320753359316	0.188956168675639	0.406505796943869	0.464830194541433	0.64205306292654	0.917647399835173	1	34
transcript:AT1G09947.1	0	0	0	0	0	NA	NA	NA	1	1	1	70.5
transcript:AT2G04375.1	21	51	26	21	27.6489946194056	-0.0529591715124129	0.549261787810428	-0.0964188164691538	0.923187948365792	0.978354905598416	1	53
transcript:AT2G04455.1	26	36	13	5	17.3171674205023	-1.2580540764705	0.596938809223577	-2.10750927403566	0.0350734586590242	0.248874019495207	0.351856372389775	8
transcript:AT2G06455.1	0	0	0	0	0	NA	NA	NA	1	1	1	70.5
transcript:AT2G07295.1	0	0	0	0	0	NA	NA	NA	1	1	1	70.5
transcript:AT3G01695.1	16	22	8	6	11.5578137012994	-0.896573685606433	0.680724554886698	-1.31708732874439	0.187809353883662	0.778067323232316	1	14
transcript:AT3G01715.1	10	22	6	7	10.0828928438615	-0.728761798138051	0.755773601826613	-0.964259397757109	0.334915891575711	0.819840065180642	1	22
transcript:AT3G06900.1	3	6	1	2	2.66693576635268	-0.986167803928905	2.03873026855316	-0.483716663817802	0.628586965304646	0.917647399835173	1	32
transcript:AT3G13855.1	8	9	3	5	5.77146484020782	-0.519216753898053	1.07540695826596	-0.482809554008524	0.629230966457539	0.917647399835173	1	33
transcript:AT3G14735.1	0	12	0	1	2.58608572775648	-2.91727439037962	2.71630345046528	-1.07398692509112	0.282828541685862	0.819840065180642	1	18
transcript:AT3G04905.1	0	0	0	0	0	NA	NA	NA	1	1	1	70.5
transcript:AT3G05115.1	0	0	0	0	0	NA	NA	NA	1	1	1	70.5
transcript:AT3G07265.1	30	43	31	51	38.9050668447269	0.750339833840507	0.48655943012388	1.54213398689954	0.123041037475076	0.548952321042648	0.77610500561202	13
transcript:AT3G08575.1	0	0	0	0	0	NA	NA	NA	1	1	1	70.5
transcript:AT3G08605.1	32	22	27	26	26.3377525785025	0.507931154647472	0.531497905731408	0.955659747988084	0.339244164902334	0.819840065180642	1	24
transcript:AT3G08615.1	0	2	0	0	0.377978248479793	-1.82780001024344	4.8976507128981	-0.373199339313823	0.709000087864928	0.917647399835173	1	43
transcript:AT3G56705.1	20	36	19	18	21.7880112913376	-0.0379623123247288	0.546486029201848	-0.0694662082764921	0.944618529543298	0.978354905598416	1	56
transcript:AT3G08695.1	22	11	18	17	16.8996189203717	0.612826079087577	0.581184094944235	1.0544439953168	0.291679688696652	0.819840065180642	1	19
transcript:AT3G56825.1	54	71	59	38	52.5504243356475	0.168586787589231	0.391856374979438	0.430225966332888	0.667031275120806	0.917647399835173	1	36
transcript:AT3G08735.1	0	0	0	0	0	NA	NA	NA	1	1	1	70.5
transcript:AT3G57645.1	4	8	2	0	2.884601880608	-2.09526703193137	2.10000409560173	-0.997744259794406	0.318403385280712	0.819840065180642	1	20
transcript:AT3G08945.1	22	8	11	19	15.1078103713846	0.545700194353622	0.638309036272682	0.854915351880593	0.392598011066547	0.84335869043925	1	27
transcript:AT3G57765.1	77	63	94	91	82.0454945340714	0.942604171680808	0.309530134340648	3.0452743274535	0.00232468164668343	0.134831535507639	0.190623895028042	1
transcript:AT3G09005.1	2	3	22	1	7.15534900301057	2.65837421954959	1.17985732166133	2.25313194294238	0.0242508309405255	0.242720563899117	0.343156659305649	5
transcript:AT4G03995.1	12	16	9	2	8.57601382881297	-0.840186014553672	0.855231128870791	-0.982408130610278	0.32589882236699	0.819840065180642	1	21
transcript:AT4G04185.1	0	2	2	2	1.54620319367037	1.61088926711272	3.15673825257806	0.510301817325883	0.60984002975505	0.917647399835173	1	31
transcript:AT4G04615.1	1	9	4	4	4.24757611235365	0.273845946347341	1.41558190642524	0.193451149032332	0.846605660755448	0.973978258241682	1	49
