WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G04187.1	4	3	8	10	6.23572555775845	1.40421287462441	1.07065821246692	1.31154168367974	0.189674820495047	0.994345267776752	1	30
transcript:AT1G04193.1	2	2	0	1	1.2360948850796	-1.92451282439017	3.37925171959908	-0.569508572927056	0.56901105450306	0.994345267776752	1	129
transcript:AT1G03502.1	6	3	6	2	4.15949232749709	-0.168664033814766	1.39360279091491	-0.12102733642205	0.903669383008376	0.994345267776752	1	228
transcript:AT1G03506.1	8	11	2	2	5.60375418562794	-2.20579006757301	1.22068317255949	-1.80701275905031	0.0707602898399231	0.994345267776752	1	16
transcript:AT1G04197.1	3	2	1	1	1.72342857409855	-1.29064093882846	2.60508384644829	-0.495431630958096	0.620295471522746	0.994345267776752	1	142
transcript:AT1G04213.1	2	0	3	1	1.47469679858479	0.975425942202081	3.03602836525107	0.321283540485438	0.747995528564025	0.994345267776752	1	173
transcript:AT1G03743.1	1	0	0	0	0.25	-1.43332458605699	4.99269006486162	-0.287084631218084	0.774047519611568	0.994345267776752	1	192.5
transcript:AT1G03746.1	0	0	0	0	0	NA	NA	NA	1	1	1	270
transcript:AT1G04217.1	16	11	8	8	10.6039307089093	-0.722255274443024	0.754357604151165	-0.957444149125713	0.338343123721981	0.994345267776752	1	68
transcript:AT1G03935.1	14	11	3	8	8.91726226381448	-1.13154921792946	0.871414530975453	-1.29852002429064	0.194108699965503	0.994345267776752	1	31
transcript:AT1G04223.1	7	9	3	3	5.38038445262316	-1.37360119282821	1.17367088073228	-1.17034614675896	0.241861698217093	0.994345267776752	1	43
transcript:AT1G04227.1	2	4	2	1	2.18416141666917	-0.96877253887194	2.25273961173045	-0.430041951509777	0.667165124796846	0.994345267776752	1	155
transcript:AT1G04267.1	7	7	3	1	4.38159383601563	-1.79007959137203	1.40026313449006	-1.27838800242637	0.201112652218161	0.994345267776752	1	34
transcript:AT1G04273.1	4	6	5	1	3.8695616372777	-0.727193070673608	1.49390568891909	-0.486773078158477	0.626419150837231	0.994345267776752	1	146
transcript:AT1G04277.1	3	5	8	8	5.93373324825425	1.04441352590028	1.08393877099625	0.96353553710452	0.335278839145144	0.994345267776752	1	66.5
transcript:AT1G04517.1	0	1	2	0	0.711366954813742	0.983325171808314	4.68542880954297	0.209868767999536	0.833770098890695	0.994345267776752	1	208
transcript:AT1G04527.1	0	0	0	0	0	NA	NA	NA	1	1	1	270
transcript:AT1G04547.1	0	1	0	0	0.236699576775834	-1.39353024685112	4.9954851086804	-0.278957942328695	0.780277101148589	0.994345267776752	1	196.5
transcript:AT1G07702.1	11	30	30	28	24.3264784566257	0.54854085156672	0.51308214595944	1.06910921747428	0.285020458719172	0.994345267776752	1	54
transcript:AT1G12013.1	1	2	2	6	2.77424092075716	1.49372444220816	1.98374427613504	0.752982357745426	0.45146051564921	0.994345267776752	1	92
transcript:AT1G12015.1	0	0	0	0	0	NA	NA	NA	1	1	1	270
transcript:AT1G05137.1	0	1	0	1	0.499395308303765	0.101964829003845	4.98670030331506	0.0204473545234031	0.983686508287436	0.999629011940099	1	240.5
transcript:AT1G05247.1	3	2	1	6	3.03690723173821	0.560372581643843	1.83804174556605	0.304874784805973	0.760461520887784	0.994345267776752	1	182
transcript:AT1G05417.1	13	15	23	24	18.5638660557438	0.788091885127557	0.549238555086234	1.43488085064207	0.15132105339001	0.994345267776752	1	20
transcript:AT1G05423.1	13	8	24	13	14.2546496605247	0.834656479629413	0.652557893413723	1.27905353387587	0.200878204842637	0.994345267776752	1	33
transcript:AT1G05427.1	19	15	26	16	18.6743012705772	0.328652291004984	0.55001687852986	0.597531282827972	0.550152727542841	0.994345267776752	1	123
transcript:AT1G05433.1	6	8	10	9	8.13119508814759	0.479675548553676	0.870605956605895	0.550967455384428	0.581655984432489	0.994345267776752	1	133
transcript:AT1G19373.1	0	0	3	1	0.974696798584794	3.44751663061916	4.03460564209938	0.854486642918901	0.392835407159775	0.994345267776752	1	76
transcript:AT1G19376.1	0	0	0	0	0	NA	NA	NA	1	1	1	270
transcript:AT1G20015.1	2	1	1	2	1.49942472885065	0.0476864073853365	2.77559136289456	0.0171806296931282	0.986292515175237	0.999629011940099	1	243
transcript:AT1G05563.1	16	19	13	26	18.4127189357135	0.21270277672429	0.571737233131416	0.37202890488575	0.709871328506927	0.994345267776752	1	168
transcript:AT1G05907.1	0	0	0	1	0.262695731527931	1.5331070743264	4.9887079456236	0.307315459441022	0.758603269741702	0.994345267776752	1	178.5
transcript:AT1G05917.1	3	8	16	12	9.59328441684511	1.38821844272781	0.834833370221961	1.66286889365565	0.0963386822376714	0.994345267776752	1	17
transcript:AT1G26233.1	0	1	0	3	1.02478677135963	1.70007350203027	4.0268531885106	0.422184128013633	0.672890625700195	0.994345267776752	1	157.5
transcript:AT1G05993.1	1	2	3	0	1.43540022060853	-0.01348815554245	3.06231180414455	-0.00440456635545573	0.996485675871055	0.999629011940099	1	250
transcript:AT1G05997.1	5	2	5	3	3.69815479323023	0.204350688199875	1.51526409019858	0.134861434070608	0.89272143207321	0.994345267776752	1	224
transcript:AT1G06033.1	8	8	5	5	6.3937437169411	-0.640188712129103	1.01530613668133	-0.630537617177855	0.52834289919354	0.994345267776752	1	117
transcript:AT1G06087.1	10	0	1	1	3.00002942054689	-2.31910301635288	2.17695548873664	-1.065296478661	0.286741785799332	0.994345267776752	1	55
transcript:AT1G29071.1	4	0	4	3	2.73742195065961	0.806691760926922	2.09390488331732	0.385257118102185	0.700046928871207	0.994345267776752	1	163
transcript:AT1G06233.1	29	44	25	21	29.1147339656971	-0.626592191289378	0.452447792536897	-1.38489390737447	0.166084910282211	0.994345267776752	1	26
transcript:AT1G06237.1	31	46	33	19	31.4614111683445	-0.53531236149252	0.447981324541383	-1.19494347680797	0.232109114725259	0.994345267776752	1	42
transcript:AT1G06243.1	42	38	30	26	33.4446836077765	-0.481252517894449	0.422389242323288	-1.13935789474039	0.254553910095359	0.994345267776752	1	48
transcript:AT1G06247.1	16	15	16	14	15.0255729173318	-0.0131727287413205	0.605031078540821	-0.0217719869417117	0.982629840070889	0.999629011940099	1	239
transcript:AT1G06253.1	63	102	71	82	78.2850987367711	-0.0584278717432694	0.383713463919051	-0.152269537655826	0.878974350152494	0.994345267776752	1	221
transcript:AT1G06263.1	12	12	0	3	6.6284821158938	-2.93711304446988	1.23804681420735	-2.37237640028204	0.0176740753785455	0.618364267036508	0.704248193013801	7
transcript:AT1G06267.1	3	7	2	2	3.40695587852461	-1.27093021180962	1.65262479441179	-0.769037361721285	0.441871131209769	0.994345267776752	1	89
transcript:AT1G06273.1	2	9	3	3	4.13038445262316	-0.816290524302347	1.43090256903981	-0.57047247098739	0.568357288452805	0.994345267776752	1	128
transcript:AT1G06277.1	1	7	5	2	3.61895694558147	-0.155012989514011	1.60424489311274	-0.0966267620233695	0.923022802914593	0.994345267776752	1	233
transcript:AT1G06283.1	22	35	13	4	17.9206060705123	-1.71996409513095	0.622952906183623	-2.76098574716973	0.00576271912417297	0.48406840643053	0.551300129545881	3
transcript:AT1G06397.1	70	80	77	82	76.2517101818165	0.126442064956094	0.361969073092178	0.349317315636783	0.72685110025772	0.994345267776752	1	171
transcript:AT1G06453.1	18	33	15	14	19.5488316102779	-0.770065946130978	0.549514465347647	-1.40135700639618	0.161107342095976	0.994345267776752	1	23
transcript:AT1G06457.1	2	11	3	6	5.39187080075862	-0.454179194294886	1.21377731406558	-0.374186590103256	0.708265500086449	0.994345267776752	1	167
transcript:AT1G06463.1	16	17	12	11	13.7615501202239	-0.484100250750946	0.638038039533833	-0.758732584509604	0.448012540692264	0.994345267776752	1	90
transcript:AT1G06467.1	0	0	0	4	1.05078292611173	3.54919886578363	4.30020251400716	0.825356213858006	0.409169386011453	0.994345267776752	1	85.5
transcript:AT1G06547.1	9	13	10	9	10.0646929720268	-0.171179615677431	0.764458897771544	-0.22392258913649	0.822817538406431	0.994345267776752	1	204
transcript:AT1G32385.1	6	4	5	4	4.68424967830983	-0.125317000800922	1.24767741991664	-0.100440225013686	0.91999483626869	0.994345267776752	1	231
transcript:AT1G06553.1	2	5	5	7	4.70903644966946	0.836620710851777	1.27415579359097	0.656607861503275	0.511433092657176	0.994345267776752	1	114
transcript:AT1G06667.1	0	0	2	1	0.73736310956584	3.04402467036943	4.54470056891796	0.669796529872192	0.502987506003883	0.994345267776752	1	111.5
transcript:AT1G06673.1	0	0	2	0	0.474667378037908	2.41395753872129	4.89738595852765	0.492907350811905	0.622078053095357	0.994345267776752	1	143.5
transcript:AT1G07393.1	0	0	0	0	0	NA	NA	NA	1	1	1	270
transcript:AT1G07487.1	0	0	0	0	0	NA	NA	NA	1	1	1	270
transcript:AT1G07593.1	0	0	0	1	0.262695731527931	1.5331070743264	4.9887079456236	0.307315459441022	0.758603269741702	0.994345267776752	1	178.5
transcript:AT1G07897.1	37	32	82	55	50.7340141904171	1.01493632832122	0.39175295061341	2.59075605360988	0.00957653495475314	0.572480059312742	0.651991178661734	4
transcript:AT1G07903.1	14	21	32	37	25.7851112274325	1.02561886194048	0.481189037603465	2.13142607539132	0.0330540565941959	0.75723838743067	0.862410385684929	11
transcript:AT1G07957.1	1	0	3	2	1.48739253011273	2.32944551729702	3.11186358931956	0.748569289891777	0.454116847666982	0.994345267776752	1	97
transcript:AT1G08107.1	3	1	4	6	3.51220872201924	1.35983774744016	1.6311554699742	0.833665320364382	0.404469605647789	0.994345267776752	1	84
transcript:AT1G08113.1	0	0	1	2	0.762725152074817	3.08925757050916	4.48453850888415	0.688868556795564	0.490905988133778	0.994345267776752	1	107
transcript:AT1G08117.1	0	0	1	1	0.500029420546885	2.48178748723877	4.89227003445459	0.507287510656686	0.611953100470646	0.994345267776752	1	140.5
transcript:AT1G08123.1	3	0	0	1	1.01269573152793	-1.53711735036217	4.04366578868177	-0.380129672107068	0.703849160912281	0.994345267776752	1	165.5
transcript:AT1G08327.1	0	0	0	1	0.262695731527931	1.5331070743264	4.9887079456236	0.307315459441022	0.758603269741702	0.994345267776752	1	178.5
transcript:AT1G08347.1	0	0	0	0	0	NA	NA	NA	1	1	1	270
transcript:AT1G08353.1	0	0	0	0	0	NA	NA	NA	1	1	1	270
transcript:AT1G08643.1	5	4	17	38	16.2139088184869	2.67041129186943	0.733458453137217	3.64084874943809	0.000271740746954994	0.0684786682326584	0.0779895943760832	1
transcript:AT1G08937.1	4	2	3	2	2.71079168366439	-0.246742793710093	1.92983896722689	-0.127856675038878	0.898262397871095	0.994345267776752	1	227
transcript:AT1G09027.1	75	69	33	68	60.7775922790573	-0.45519183499778	0.418996692451984	-1.08638527033228	0.277308575534619	0.994345267776752	1	52
transcript:AT1G09083.1	16	9	14	13	12.868012347111	0.140302785850502	0.673542441493924	0.208305783284138	0.834990216283802	0.994345267776752	1	210
transcript:AT1G09087.1	10	6	11	6	8.10704242903108	0.104249713867052	0.885146928496651	0.117776733456118	0.906244565230546	0.994345267776752	1	229
transcript:AT1G09333.1	99	180	62	48	94.6800076521659	-1.30143894461949	0.406363911981884	-3.20264400023176	0.00136172201372694	0.171576973729595	0.195407108969816	2
transcript:AT1G74453.1	45	48	42	33	41.2485537644578	-0.277185769659753	0.39429611372448	-0.702988845214539	0.482062701108736	0.994345267776752	1	103
transcript:AT1G74456.1	45	39	33	34	37.2449501038327	-0.289492190458206	0.408807046803657	-0.708138944085384	0.478858977374015	0.994345267776752	1	100
transcript:AT1G09467.1	22	30	30	22	25.5003040674581	0.0347094407434212	0.469166754587498	0.0739810321256426	0.941025478066194	0.999629011940099	1	236
transcript:AT1G09533.1	17	13	12	3	10.9631859608971	-0.992113852413459	0.780307798566095	-1.27143910933171	0.203572476698876	0.994345267776752	1	35
transcript:AT1G75163.1	8	6	16	3	8.00562367954206	0.437561126678962	0.948179415906442	0.461475032402662	0.644457830375347	0.994345267776752	1	150
transcript:AT1G75166.1	18	21	13	15	16.4964650424579	-0.435176194396135	0.58038826804095	-0.749801845349208	0.453374057186993	0.994345267776752	1	96
transcript:AT1G09787.1	0	1	6	4	2.71148463700128	3.3551132052581	2.35422729124523	1.42514413019291	0.154115542394518	0.994345267776752	1	21
transcript:AT1G09867.1	6	10	9	13	9.41804347879203	0.513093208155202	0.810232347496179	0.63326675334648	0.526559460390398	0.994345267776752	1	116
transcript:AT1G09873.1	0	1	2	4	1.76214988092547	2.65472307599645	2.88938965051055	0.91878334080949	0.358208907793923	0.994345267776752	1	72
transcript:AT1G09877.1	10	4	8	5	6.65894647689462	-0.0923784336879456	1.01198220099994	-0.0912846427503041	0.927266420347368	0.994345267776752	1	235
transcript:AT1G09883.1	3	5	8	8	5.93373324825425	1.04441352590028	1.08393877099625	0.96353553710452	0.335278839145144	0.994345267776752	1	66.5
transcript:AT2G05765.1	21	18	21	37	24.2143419178965	0.623105806464437	0.50523007555619	1.2333109935676	0.217459757855724	0.994345267776752	1	39
transcript:AT2G04955.1	47	31	56	75	52.0805533297071	0.789352144028098	0.405436401964576	1.9469197639956	0.0515443547700004	0.927798385860007	1	14
transcript:AT2G04965.1	25	15	25	33	24.4027950175331	0.575308161304448	0.498345871673582	1.15443549150393	0.24832167141953	0.994345267776752	1	46
transcript:AT2G05525.1	0	0	0	0	0	NA	NA	NA	1	1	1	270
transcript:AT2G05565.1	0	0	0	0	0	NA	NA	NA	1	1	1	270
transcript:AT2G06855.1	1	0	1	1	0.750029420546885	1.01370951160362	4.21355542333212	0.240582930508118	0.809878381139358	0.994345267776752	1	201
transcript:AT2G06865.1	0	0	1	4	1.28811661513068	3.84393629915892	3.56709342309287	1.07761021179704	0.281207743075365	0.994345267776752	1	53
transcript:AT2G17295.1	0	0	1	0	0.237333689018954	1.45915889719274	4.99378200519158	0.292195153027463	0.770137417335536	0.994345267776752	1	187.5
transcript:AT2G20721.1	17	17	16	8	14.1727976817159	-0.479317454540305	0.639153868982231	-0.749924983327653	0.453299886680865	0.994345267776752	1	95
transcript:AT2G20722.1	11	8	4	7	7.431801490978	-0.743040225748624	0.942311200797804	-0.788529548539306	0.430387021768099	0.994345267776752	1	88
transcript:AT2G20723.1	9	8	4	11	7.98258441708973	-0.121131041370958	0.912266987561126	-0.132780252955105	0.894367171919315	0.994345267776752	1	225
transcript:AT2G07605.1	0	2	5	4	2.71085052475816	2.22615459808002	2.16185934859954	1.02974071811014	0.303131735885827	0.994345267776752	1	60
transcript:AT2G07615.1	0	3	1	0	0.947432419346455	-1.53150150825253	4.15653242399229	-0.368456528670971	0.712532853687397	0.994345267776752	1	170
transcript:AT2G08370.1	0	0	0	0	0	NA	NA	NA	1	1	1	270
transcript:AT2G08375.1	1	0	0	0	0.25	-1.43332458605699	4.99269006486162	-0.287084631218084	0.774047519611568	0.994345267776752	1	192.5
transcript:AT2G08390.1	0	0	0	0	0	NA	NA	NA	1	1	1	270
transcript:AT2G08580.1	1	0	0	2	0.775391463055863	1.07648391342157	4.53060236269601	0.237602823475551	0.812189160408034	0.994345267776752	1	202
transcript:AT2G08585.1	3	0	2	5	2.53814603567756	1.25913874831814	2.2338955856948	0.563651567414917	0.572991284704223	0.994345267776752	1	132
transcript:AT2G35382.1	0	0	0	0	0	NA	NA	NA	1	1	1	270
transcript:AT2G35384.1	0	0	0	0	0	NA	NA	NA	1	1	1	270
transcript:AT2G35387.1	0	0	1	0	0.237333689018954	1.45915889719274	4.99378200519158	0.292195153027463	0.770137417335536	0.994345267776752	1	187.5
transcript:AT2G08725.1	0	0	1	0	0.237333689018954	1.45915889719274	4.99378200519158	0.292195153027463	0.770137417335536	0.994345267776752	1	187.5
transcript:AT2G35742.1	1	1	1	4	1.77481619190651	1.39836541879229	2.60904117930505	0.535969086990326	0.59197991527734	0.994345267776752	1	136
transcript:AT2G08755.1	0	3	3	2	1.94749126044023	0.794619438884397	2.57691879482624	0.308360294658791	0.757808191129908	0.994345267776752	1	175
