WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G04187.1	4	3	3	6	3.99663024624769	0.50139766177871	1.46787616351871	0.341580355509547	0.732666722948918	0.99594499491367	1	141
transcript:AT1G04193.1	2	2	2	4	2.50344460860391	0.727079980263838	1.94995933156653	0.372869304756078	0.709245718447442	0.99594499491367	1	132
transcript:AT1G03502.1	6	3	3	3	3.70962855431735	-0.444498838021293	1.54104142953402	-0.288440550333355	0.773009531365544	0.99594499491367	1	161
transcript:AT1G03506.1	8	11	3	5	6.54846680556792	-1.09838928508668	1.04843968434598	-1.04764184481614	0.294803650645249	0.99594499491367	1	27
transcript:AT1G04197.1	3	2	7	7	4.84806203571529	1.63107382109127	1.33070086899345	1.22572537457275	0.220302038031889	0.99594499491367	1	17
transcript:AT1G04213.1	2	0	1	1	1.00621459991941	0.120919087874064	3.66082497999204	0.0330305569195299	0.9736502200323	0.99594499491367	1	227
transcript:AT1G03743.1	1	0	1	0	0.508108480372936	0.144899750599242	4.98995786619797	0.029038271361126	0.976834067321904	0.99594499491367	1	232.5
transcript:AT1G03746.1	0	0	0	0	0	NA	NA	NA	1	1	1	264
transcript:AT1G04217.1	16	11	17	13	14.2663478203754	0.300117272007678	0.609187040265288	0.492652095614154	0.622258431436043	0.99594499491367	1	101
transcript:AT1G03935.1	14	11	11	11	11.6702646990957	-0.0374596404594638	0.679831024116551	-0.055101398922097	0.956057681661092	0.99594499491367	1	220
transcript:AT1G04223.1	7	9	11	3	7.46622257302631	-0.0292430551053576	0.966532159149933	-0.0302556462591756	0.975863169521247	0.99594499491367	1	231
transcript:AT1G04227.1	2	4	1	6	3.21074153702152	0.364923472288355	1.73672865423131	0.210121178918346	0.833573096061495	0.99594499491367	1	180
transcript:AT1G04267.1	7	7	6	5	6.18562590724064	-0.196724755176264	1.06010727013916	-0.185570612255532	0.852781501252678	0.99594499491367	1	189
transcript:AT1G04273.1	4	6	5	4	4.70761972245971	0.00487031362768263	1.30185911310723	0.00374104507826376	0.99701508485331	0.99701508485331	1	240
transcript:AT1G04277.1	3	5	3	8	4.72910898835459	0.605351046156979	1.32895944815495	0.455507537869129	0.648744145889471	0.99594499491367	1	112
transcript:AT1G04517.1	0	1	0	0	0.230328251519701	-1.28315394717961	4.99575712265869	-0.256848744979966	0.797295538947809	0.99594499491367	1	170
transcript:AT1G04527.1	0	0	0	0	0	NA	NA	NA	1	1	1	264
transcript:AT1G04547.1	0	1	0	2	0.743613823929021	1.13451618358113	4.78720993794298	0.236989018298334	0.812665309742241	0.99594499491367	1	174.5
transcript:AT1G07702.1	11	30	16	16	17.9385511441235	-0.197469246360373	0.566558739126355	-0.348541523981917	0.727433534769776	0.99594499491367	1	139
transcript:AT1G12013.1	1	2	0	2	1.21540540879054	-0.448111768468447	3.26672704472165	-0.13717453657247	0.890892837497842	0.99594499491367	1	200
transcript:AT1G12015.1	0	0	0	0	0	NA	NA	NA	1	1	1	264
transcript:AT1G05137.1	0	1	1	0	0.496973398550818	0.179277209700468	4.99238352071851	0.035910143713211	0.971354007571937	0.99594499491367	1	225.5
transcript:AT1G05247.1	3	2	1	0	1.45169165009598	-2.16621018761515	3.04958637611851	-0.710329179254886	0.477500029209188	0.99594499491367	1	62
transcript:AT1G05417.1	13	15	14	17	14.689906530154	0.296222861957228	0.590221504208869	0.501884224557837	0.615748962740101	0.99594499491367	1	98
transcript:AT1G05423.1	13	8	12	16	12.2876756892492	0.557370422780856	0.669883539173453	0.83204078050429	0.405385926339481	0.99594499491367	1	45
transcript:AT1G05427.1	19	15	17	20	17.7085503299123	0.26790019500392	0.535901500291291	0.499905663369672	0.617141504331649	0.99594499491367	1	99
transcript:AT1G05433.1	6	8	5	14	8.21763075422935	0.583993326489041	0.894172967413345	0.653110022078179	0.513685351651739	0.99594499491367	1	74
transcript:AT1G19373.1	0	0	0	1	0.25664278620466	1.58416871376329	4.99608591945226	0.317081959618694	0.751181413273051	0.99594499491367	1	154
