ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G04187.1	8	10	3	6	6.46444343328917	-0.865188571271233	1.06271369349139	-0.814131385122917	0.415569687859077	0.99376608161118	1	80
transcript:AT1G04193.1	0	1	2	4	1.76426673130301	2.69075802383805	2.73696931951789	0.983115888311095	0.325550405426437	0.99376608161118	1	65
transcript:AT1G03502.1	6	2	3	3	3.34001230354318	-0.223966811286963	1.6184851521511	-0.138380516490555	0.889939694454844	0.994941598221685	1	221
transcript:AT1G03506.1	2	2	3	5	2.95907397546335	1.14343893909465	1.75882371415178	0.650115716483895	0.515617477971168	0.99376608161118	1	101
transcript:AT1G04197.1	1	1	7	7	4.06877895115537	2.96703072534893	1.64609807301937	1.80246291152424	0.0714726048673129	0.99376608161118	1	18
transcript:AT1G04213.1	3	1	1	1	1.41237764295572	-0.8068343729922	2.72457919401193	-0.296131738348974	0.767129476704078	0.99376608161118	1	179
transcript:AT1G03743.1	0	0	1	0	0.270585384080884	1.6530628823245	4.9887800600553	0.331356135653368	0.740375493752707	0.99376608161118	1	169
transcript:AT1G03746.1	0	0	0	0	0	NA	NA	NA	1	1	1	269.5
transcript:AT1G04217.1	8	8	17	13	11.4765213874018	1.07241026427981	0.755220855948706	1.41999556266577	0.155608972890556	0.99376608161118	1	36
transcript:AT1G03935.1	3	8	11	11	8.27581382183791	1.13516712606419	0.936792083821645	1.21175994723746	0.2256042842945	0.99376608161118	1	47
transcript:AT1G04223.1	3	3	11	3	5.09639360874193	1.41398056205367	1.3041555548349	1.0842115856591	0.278270995929472	0.99376608161118	1	59
transcript:AT1G04227.1	2	1	1	6	2.4181654119146	1.35606487752883	2.08142852436131	0.65150681931052	0.514719376499193	0.99376608161118	1	100
transcript:AT1G04267.1	3	1	6	5	3.74399109756355	1.64972624045083	1.56382221098442	1.05493209449451	0.291456382517453	0.99376608161118	1	61
transcript:AT1G04273.1	5	1	5	4	3.66387487752259	0.790414343041901	1.56077453629877	0.506424422400109	0.612558733410005	0.99376608161118	1	127
transcript:AT1G04277.1	8	8	3	8	6.46496784251521	-0.405515855929184	1.05729113581089	-0.383542282909779	0.70131772548189	0.99376608161118	1	159
transcript:AT1G04517.1	2	0	0	0	0.43514079759077	-2.20864339729121	4.89817137640655	-0.450911825570207	0.652053100130378	0.99376608161118	1	142
transcript:AT1G04527.1	0	0	0	0	0	NA	NA	NA	1	1	1	269.5
transcript:AT1G04547.1	0	0	0	2	0.489343267101703	2.5349242425679	4.89734101779946	0.517612360126583	0.604728756258232	0.99376608161118	1	125
transcript:AT1G07702.1	30	28	16	16	21.6146882562286	-0.698643632401843	0.512260621971956	-1.36384411066461	0.172616633975648	0.99376608161118	1	38
transcript:AT1G12013.1	2	6	0	2	2.39094063831947	-1.92644872855197	2.24635634197565	-0.857588216327992	0.391119884085234	0.99376608161118	1	74
transcript:AT1G12015.1	0	0	0	0	0	NA	NA	NA	1	1	1	269.5
transcript:AT1G05137.1	0	1	1	0	0.514994813018717	0.149809027828776	4.97874542293402	0.0300897143964619	0.97599550374087	0.994941598221685	1	243
transcript:AT1G05247.1	1	6	1	0	1.95461235650327	-2.67686029427333	2.67931523272267	-0.999083744077834	0.317754125222001	0.99376608161118	1	64
transcript:AT1G05417.1	23	24	14	17	18.8175586142987	-0.448231469192732	0.549266111389609	-0.816055205114939	0.414468562352666	0.99376608161118	1	79
