WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G01270.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G01870.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G01890.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G02480.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G02600.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G02760.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G03515.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G03570.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G03640.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G04320.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G04720.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G05390.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G05980.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G06480.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G06610.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G06860.1	0	2	0	0	0.560930168961383	-2.82913783717569	4.88414841331497	-0.579248949410099	0.562421206470298	0.94345310662791	1	48.5
transcript:AT1G06880.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G07100.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G07580.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G07760.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G08240.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G08870.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G08950.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G09110.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G10440.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G11010.1	0	2	0	0	0.560930168961383	-2.82913783717569	4.88414841331497	-0.579248949410099	0.562421206470298	0.94345310662791	1	48.5
transcript:AT1G11030.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G11550.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G11640.1	0	1	0	1	0.497540549366931	-0.340900940399537	4.88193104616523	-0.0698291182681319	0.944329670713662	0.967657138543568	1	175.5
transcript:AT1G12510.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G12590.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G13010.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G13240.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G13720.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G13840.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G13850.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G15090.1	0	0	0	2	0.434150929772479	2.20103520727976	4.89042674825447	0.45007017190583	0.652659843646626	0.94345310662791	1	74.5
transcript:AT1G15450.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G15650.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G16100.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G16450.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G17570.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G17660.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G17670.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G18430.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G18820.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G20040.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G20170.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G20210.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G20250.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G20420.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G20820.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G21420.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G21800.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G22320.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G24080.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G26430.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G26490.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G28720.1	8	9	17	7	9.46607209712393	0.210829212082264	1.11631528315337	0.188861708931112	0.850201205276633	0.960907910441585	1	160
transcript:AT1G28730.1	0	0	2	2	0.851807427082768	3.17584168346532	3.78887066735553	0.838202715872041	0.401916862006943	0.94345310662791	1	19.5
transcript:AT1G28740.1	0	0	0	2	0.434150929772479	2.20103520727976	4.89042674825447	0.45007017190583	0.652659843646626	0.94345310662791	1	74.5
transcript:AT1G28750.1	0	0	2	0	0.417656497310289	2.15023716656625	4.89417202453193	0.439346462647457	0.66041051269424	0.94345310662791	1	87
transcript:AT1G28770.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G28780.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G28790.1	0	0	0	2	0.434150929772479	2.20103520727976	4.89042674825447	0.45007017190583	0.652659843646626	0.94345310662791	1	74.5
transcript:AT1G28800.1	2	0	0	0	0.468069463864143	-2.59183500530781	4.90169516123114	-0.528762993220662	0.596969872422295	0.94345310662791	1	59.5
transcript:AT1G28810.1	1	0	0	0	0.234034731932072	-1.67258454007358	4.99091833321758	-0.335125607834838	0.737530336417218	0.94345310662791	1	119.5
transcript:AT1G28820.1	3	3	1	1	1.96940316277967	-1.85607505190349	2.34542139618579	-0.791361012959932	0.42873335386986	0.94345310662791	1	25
transcript:AT1G28830.1	2	1	0	1	0.965610013231074	-1.80370152091507	3.42578317172311	-0.526507788292929	0.598535442128881	0.94345310662791	1	63
transcript:AT1G28840.1	1	1	0	1	0.731575281299003	-1.25478896377816	3.82629208946274	-0.327938624245057	0.742958069219223	0.94345310662791	1	130
transcript:AT1G28850.1	0	1	0	0	0.280465084480691	-1.8045702068265	4.98221913843754	-0.362202094425021	0.717201014545506	0.94345310662791	1	100.5
transcript:AT1G28860.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G28870.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
transcript:AT1G28880.1	0	0	0	0	0	NA	NA	NA	1	1	1	435.5
