WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G01270.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G01870.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G01890.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G02480.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G02600.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G02760.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G03515.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G03570.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G03640.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G04320.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G04720.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G05390.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G05980.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G06480.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G06610.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G06860.1	0	2	0	0	0.537284965911771	-2.72522370318789	4.88610950221481	-0.557749207616526	0.577015650880056	0.9872469907978	1	34
transcript:AT1G06880.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G07100.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G07580.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G07760.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G08240.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G08870.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G08950.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G09110.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G10440.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G11010.1	0	2	0	0	0.537284965911771	-2.72522370318789	4.88610950221481	-0.557749207616526	0.577015650880056	0.9872469907978	1	34
transcript:AT1G11030.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G11550.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G11640.1	0	1	0	0	0.268642482955885	-1.7067753236881	4.98595415622159	-0.342316690087964	0.732112576590372	0.9872469907978	1	82
transcript:AT1G12510.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G12590.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G13010.1	0	0	0	1	0.222098086851437	1.26064886402179	4.99546332594357	0.252358746680154	0.800763783770487	0.9872469907978	1	116
transcript:AT1G13240.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G13720.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G13840.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G13850.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G15090.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G15450.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G15650.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G16100.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G16450.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G17570.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G17660.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G17670.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G18430.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G18820.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G20040.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G20170.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G20210.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G20250.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G20420.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G20820.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G21420.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G21800.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G22320.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G24080.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G26430.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G26490.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G28720.1	8	9	3	8	6.7240177303335	-0.823044380654116	1.3811275054909	-0.595922083502042	0.551227279674318	0.9872469907978	1	29
transcript:AT1G28730.1	0	0	0	1	0.222098086851437	1.26064886402179	4.99546332594357	0.252358746680154	0.800763783770487	0.9872469907978	1	116
transcript:AT1G28740.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G28750.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G28770.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G28780.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G28790.1	0	0	0	0	0	NA	NA	NA	1	1	1	429.5
transcript:AT1G28800.1	2	0	0	0	0.469552207876876	-2.54851973208226	4.89915752247512	-0.520195507164406	0.602927316455226	0.9872469907978	1	49.5
transcript:AT1G28810.1	1	0	0	0	0.234776103938438	-1.60856922355777	4.99258056305201	-0.322191941270235	0.747307289190716	0.9872469907978	1	94.5
transcript:AT1G28820.1	3	3	2	1	2.16651508580876	-1.20026855711238	2.32937206597234	-0.515275586346209	0.606360456466066	0.9872469907978	1	55
transcript:AT1G28830.1	2	1	1	4	1.84366765737569	0.575637323779573	2.52498019533526	0.227976965856218	0.819664147615097	0.9872469907978	1	138
transcript:AT1G28840.1	1	1	2	2	1.38177599887155	0.804599035342201	2.84295866998645	0.283014678980906	0.777165584634158	0.9872469907978	1	109
transcript:AT1G28850.1	0	1	1	2	0.929919275795936	1.34008787752366	3.68946574856722	0.363220034782564	0.71644052257065	0.9872469907978	1	76
