ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G01270.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G01870.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G01890.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G02480.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G02600.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G02760.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G03515.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G03570.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G03640.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G04320.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G04720.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G05390.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G05980.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G06480.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G06610.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G06860.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G06880.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G07100.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G07580.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G07760.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G08240.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G08870.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G08950.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G09110.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G10440.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G11010.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G11030.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G11550.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G11640.1	0	1	0	0	0.245028052117854	-1.27574723716655	4.992982543362	-0.255508050766692	0.798330726314576	0.934743624596198	1	129.5
transcript:AT1G12510.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G12590.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G13010.1	0	0	0	1	0.280706138634961	1.66454183221973	4.992669256688	0.33339717626798	0.7388344943708	0.934743624596198	1	99.5
transcript:AT1G13240.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G13720.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G13840.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G13850.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G15090.1	0	2	0	0	0.490056104235708	-2.28285407015197	4.88984746733851	-0.466855885669274	0.640602988933948	0.934743624596198	1	77
transcript:AT1G15450.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G15650.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G16100.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G16450.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G17570.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G17660.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G17670.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G18430.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G18820.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G20040.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G20170.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G20210.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G20250.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G20420.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G20820.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G21420.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G21800.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G22320.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G24080.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G26430.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G26490.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G28720.1	17	7	3	8	8.71521457921028	-0.905810946464727	1.13786580263313	-0.796061314408602	0.425996398166002	0.934743624596198	1	36
transcript:AT1G28730.1	2	2	0	1	1.23632225038948	-1.78998314930211	2.94646673819575	-0.607501563176714	0.543518105567282	0.934743624596198	1	53
transcript:AT1G28740.1	0	2	0	0	0.490056104235708	-2.28285407015197	4.88984746733851	-0.466855885669274	0.640602988933948	0.934743624596198	1	77
transcript:AT1G28750.1	2	0	0	0	0.46556000751881	-2.21560338183523	4.89480607253726	-0.452643751152077	0.650805289143714	0.934743624596198	1	87
transcript:AT1G28770.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G28780.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G28790.1	0	2	0	0	0.490056104235708	-2.28285407015197	4.88984746733851	-0.466855885669274	0.640602988933948	0.934743624596198	1	77
transcript:AT1G28800.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G28810.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G28820.1	1	1	2	1	1.28992022210937	0.768082282310951	2.64295851590536	0.29061458123108	0.77134610697695	0.934743624596198	1	119
transcript:AT1G28830.1	0	1	1	4	1.63355562045627	2.52218884894416	2.72241936097124	0.926451260633247	0.354211515147254	0.934743624596198	1	24
transcript:AT1G28840.1	0	1	2	2	1.33784635698493	2.17875367373128	2.8742745486442	0.758018636305637	0.448439826133844	0.934743624596198	1	40
transcript:AT1G28850.1	0	0	1	2	0.827115291068498	3.2331193862141	3.63929628960307	0.888391361662595	0.374330270400936	0.934743624596198	1	28
transcript:AT1G28860.1	0	0	0	2	0.561412277269922	2.67182112080954	4.66622071600667	0.572587814297835	0.566923812414209	0.934743624596198	1	58
transcript:AT1G28870.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G28880.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G28890.1	0	1	1	2	1.07214334318635	1.77272843388512	3.13108665272651	0.566170352500929	0.571277981942007	0.934743624596198	1	61
transcript:AT1G28900.1	1	0	0	0	0.232780003759405	-1.23842067337808	4.99560867420355	-0.247901858240631	0.804210342110866	0.934743624596198	1	139.5
transcript:AT1G28910.1	1	0	0	0	0.232780003759405	-1.23842067337808	4.99560867420355	-0.247901858240631	0.804210342110866	0.934743624596198	1	139.5
transcript:AT1G28920.1	2	3	2	2	2.29346246873945	-0.134265984563075	2.00459528405043	-0.0669790982904943	0.946598342974924	0.978170412545091	1	158
transcript:AT1G28930.1	0	1	3	2	1.6035493707835	2.49539299912132	2.70038380097328	0.924088271534557	0.355440359194767	0.934743624596198	1	25
transcript:AT1G28940.1	0	1	0	1	0.525734190752815	0.195212587916357	4.49489365263273	0.0434298568559054	0.965358877818628	0.978170412545091	1	163.5
transcript:AT1G28950.1	1	0	0	1	0.513486142394366	0.230394686669328	4.53487366720348	0.0508050948222789	0.959480831041098	0.978170412545091	1	160
transcript:AT1G28970.1	1	0	0	0	0.232780003759405	-1.23842067337808	4.99560867420355	-0.247901858240631	0.804210342110866	0.934743624596198	1	139.5
transcript:AT1G28980.1	0	0	0	2	0.561412277269922	2.67182112080954	4.66622071600667	0.572587814297835	0.566923812414209	0.934743624596198	1	58
transcript:AT1G28990.1	1	0	2	1	1.04489216999152	1.77654411758133	3.15739613182179	0.562661143363181	0.573665648192492	0.934743624596198	1	62
transcript:AT1G29210.1	0	1	0	0	0.245028052117854	-1.27574723716655	4.992982543362	-0.255508050766692	0.798330726314576	0.934743624596198	1	129.5
transcript:AT1G30430.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G30830.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G31110.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G32620.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G33370.1	4	0	0	0	0.93112001503762	-3.21524581307406	3.78945386562201	-0.84847208254541	0.396175113692545	0.934743624596198	1	33
transcript:AT1G36350.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G42120.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G43820.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G45234.1	2	1	1	2	1.53770335070516	0.213053233118981	2.43000891648876	0.0876759059085396	0.930134270160957	0.978170412545091	1	156
transcript:AT1G45238.1	1	1	1	0	0.743511069675835	-0.817037220021654	3.59290353138742	-0.227403049618243	0.820110349150621	0.934743624596198	1	145
transcript:AT1G45240.1	4	0	0	2	1.49253229230754	-0.74425511052454	2.86985430065727	-0.259335503671418	0.795376388205095	0.934743624596198	1	123
transcript:AT1G45242.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G45244.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G45246.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G48080.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G49020.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G49280.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G49460.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G49690.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G50070.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G50100.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G52170.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G52350.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G52860.1	0	2	0	0	0.490056104235708	-2.28285407015197	4.88984746733851	-0.466855885669274	0.640602988933948	0.934743624596198	1	77
transcript:AT1G53220.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G53410.1	11	15	11	18	14.2114444703349	0.354301701020847	0.86808914530663	0.408139766447257	0.683171066386463	0.934743624596198	1	93
transcript:AT1G54670.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G55625.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56730.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56740.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56750.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56760.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56770.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56780.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56790.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56800.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56810.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56820.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56830.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56840.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56850.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56860.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56870.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56880.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56890.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56900.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56910.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56920.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56930.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56940.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56950.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56960.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56970.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56980.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G56990.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57000.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57010.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57020.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57030.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57040.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57050.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57060.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57070.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57080.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57090.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57100.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57110.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57120.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57130.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57140.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57150.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57160.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57170.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57180.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57190.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57200.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
transcript:AT1G57210.1	0	0	0	0	0	NA	NA	NA	1	1	1	429
