	WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT5G57560	13543	14841	1302	899	8144.81561262827	-3.91583761781621	0.144889430153813	-27.02638566291	7.23890225865279e-161	5.767907396230689e-158	6.903166964242859e-158	29.0
gene:AT1G70850	9891	10804	2411	2285	6652.17952503586	-2.36407961326937	0.108698908347765	-21.7488809152147	7.07853900538757e-105	1.99468049753037e-102	2.38728044139016e-102	82.0
gene:AT3G56360	5005	6132	1226	1150	3530.67529349947	-2.44636747108486	0.114132346102741	-21.4344798352141	6.37420602457054e-102	1.6549300967387799e-99	1.98065918662358e-99	89.0
gene:AT4G01950	1221	1514	115	126	787.848383026267	-3.72047671835654	0.176824645934337	-21.0404873070585	2.7949100225809502e-98	6.94429955825571e-96	8.31110071768562e-96	93.0
gene:AT4G37260	4550	5231	1186	1191	3174.88578237765	-2.26156728098878	0.115034886881304	-19.6598383525367	4.76242024178716e-86	8.94676784772162e-84	1.07077017712702e-83	123.0
gene:AT2G36790	1002	1091	88	68	599.318729732804	-3.97110056951211	0.203847199351444	-19.4807708035552	1.59854707111582e-84	2.9315577120851697e-82	3.50855708346888e-82	126.0
gene:AT4G17460	1099	1311	120	137	705.580415788824	-3.44712937999191	0.180007859426506	-19.1498826272045	9.70051349869646e-82	1.69810428344227e-79	2.03233106671553e-79	132.0
gene:AT5G61600	4165	4259	962	1036	2734.38674321635	-2.30291255949164	0.129920801102461	-17.7255107723317	2.6648196576142495e-70	3.55930565482616e-68	4.25986055672382e-68	173.0
gene:AT3G25830	1382	1765	281	288	972.705926425376	-2.68214178298565	0.153834888668659	-17.4351982583265	4.46010258719632e-68	5.63167161105713e-66	6.7401167786292e-66	183.0
gene:AT4G19170	814	937	102	84	513.07981249853	-3.45658587933235	0.201888638637106	-17.1212501241615	1.03038615463491e-65	1.23363382772792e-63	1.47644192261287e-63	193.0
