	WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT2G45180	7819	9190	688	813	4910.49979292212	-3.72041692029707	0.124805002965663	-29.8098380024129	2.91281584906915e-195	3.20506837259243e-192	3.83590106219083e-192	21.0
gene:AT1G11260	12836	12693	1842	1594	7691.13020919402	-3.12443157546145	0.124900893987633	-25.015285925582	4.1687145445697297e-138	2.3494265117408e-135	2.81184879829454e-135	41.0
gene:AT3G16240	5529	6798	935	1113	3774.16956441468	-2.80484216051093	0.128177510533816	-21.8824827290662	3.81499477436418e-106	1.13016774681068e-103	1.35261128826976e-103	78.0
gene:AT3G59350	1872	2299	565	498	1361.97172669898	-2.19026381352051	0.138421121440071	-15.8231907871716	2.15299297989188e-56	1.97417495183975e-54	2.3627389229726102e-54	252.0
gene:AT1G03090	2229	2130	602	550	1445.17723073959	-2.15200786397827	0.150102234394511	-14.3369475654985	1.28587958070767e-46	8.61241144098906e-45	1.0307536175208901e-44	345.0
gene:AT1G01620	4857	5545	2051	2174	3768.78213290002	-1.52046456831936	0.114324016521444	-13.2996076815947	2.32686015879007e-40	1.26510018092146e-38	1.51410159273739e-38	425.0
gene:AT5G51550	3980	4521	1787	1622	3069.5516849464	-1.54060598527704	0.116361109985864	-13.239870137576	5.16380368675109e-40	2.79437966720743e-38	3.34437917932322e-38	427.0
gene:AT4G12730	1156	1331	591	614	945.7235414423	-1.26566230745143	0.146784553996932	-8.62258509487232	6.54592861244004e-18	1.31413355732104e-16	1.57278588859278e-16	1151.0
gene:AT1G50040	236	299	45	62	167.827371237566	-2.53537694780574	0.304402908447511	-8.3290168308064	8.15164786454886e-17	1.5388899281546601e-15	1.84177958900407e-15	1224.0
gene:AT1G57680	2211	2516	1367	1396	1907.0360793166	-0.995796289090767	0.123892470921047	-8.03758518728194	9.16261971489328e-16	1.60273015709341e-14	1.9181850735456e-14	1321.0
gene:AT4G26690	1643	2154	1070	1041	1500.69618369756	-1.06050560101672	0.133079819942679	-7.96894376227375	1.6003626085947801e-15	2.75350549492178e-14	3.2954600104756903e-14	1343.0
gene:AT3G47340	4353	3213	655	450	2323.71254205293	-3.02622281205853	0.412963764851294	-7.32805894761312	2.33510014221086e-13	3.4389521342298497e-12	4.11581863816707e-12	1569.0
gene:AT5G65730	1235	1316	597	733	994.299841693722	-1.16283787193977	0.161743875489078	-7.18937807334963	6.508711331046769e-13	9.2780254612275e-12	1.11041586588586e-11	1621.0
gene:AT1G72180	1825	2500	1330	1324	1764.86093364363	-0.915372985962505	0.133181491359069	-6.87312461079582	6.28106525378532e-12	8.153740158383001e-11	9.7585876176086e-11	1780.0
gene:AT2G37025	104	156	23	13	77.3334768885035	-3.06198398735659	0.4565697950369	-6.70649705837224	1.9935186430652e-11	2.46993218687977e-10	2.95607281897953e-10	1865.0
gene:AT1G09570	2229	2480	1752	1482	2010.99480649073	-0.766223461340239	0.130191935056675	-5.88533737521212	3.97242820436822e-09	3.84545029402332e-08	4.60232517770437e-08	2387.0
gene:AT3G60320	1758	2033	1389	1218	1618.25906359454	-0.761742176488204	0.130636856245276	-5.83098980166825	5.50995525507117e-09	5.24592237655252e-08	6.27844303992556e-08	2427.0
gene:AT1G75220	1383	1632	1046	1027	1286.61447045875	-0.759837715269222	0.133008145947228	-5.71271563751212	1.11187388393589e-08	1.02358843968552e-07	1.22505467172299e-07	2510.0
gene:AT3G13520	980	1114	738	647	881.600291729072	-0.818804796846908	0.151093619327415	-5.41918845078814	5.98701832667546e-08	5.04943165166447e-07	6.04327832807292e-07	2738.0
gene:AT3G30775	5818	5733	3709	4445	5004.08627170202	-0.730568357297827	0.136472402563879	-5.3532314487969	8.63972233350736e-08	7.11722153156345e-07	8.51805779440806e-07	2805.0
gene:AT1G76090	1270	1478	1009	997	1199.98778494866	-0.674168647412406	0.135375929323112	-4.97997428924987	6.35927210478497e-07	4.65306208123072e-06	5.56889392203383e-06	3158.0
gene:AT3G29370	44	52	4	2	27.1310509091137	-4.22154173345936	0.851175372510496	-4.95966151018697	7.06161160985204e-07	5.12637949949265e-06	6.13537131858178e-06	3183.0
gene:AT5G52882	944	1194	796	767	932.093120569214	-0.667727869414959	0.146293114496285	-4.56431508560106	5.01127675168995e-06	3.21119167779533e-05	3.8432295775925e-05	3606.0
gene:AT4G13340	4741	6907	4551	4590	5204.81679782168	-0.556503909135726	0.125835715245029	-4.422463909011	9.75816534750291e-06	5.98730554128385e-05	7.16574781426428e-05	3766.0
gene:AT4G02130	725	763	472	582	644.401326719086	-0.721207906049364	0.179963104307931	-4.00753203731871	6.13565406869854e-05	0.0003262230984017	0.0003904314617346	4346.0
gene:AT1G78270	367	474	308	290	362.554100339101	-0.7069744906097	0.200862633637769	-3.51969143192975	0.000432049124688	0.0019419099638525	0.0023241234279803	5141.0
gene:AT1G72790	351	480	266	310	354.482891041305	-0.738939622165962	0.211974913301687	-3.4859767632705	0.000490343595739	0.0021755701741057	0.0026037734524125	5208.0
gene:AT4G18670	1278	1590	1021	1322	1308.72416623123	-0.505554385970755	0.158587904066936	-3.1878495963814	0.0014333507152838	0.0057133750177786	0.0068379013336507	5797.0
gene:AT2G42580	932	1189	851	926	976.993717248045	-0.469525912572464	0.148735360764909	-3.15678739848956	0.0015951760405259	0.0062697283157737	0.0075037580201983	5879.0
gene:AT2G25430	2174	2571	2312	2072	2282.56813288711	-0.334281493576635	0.12088936587037	-2.76518526811602	0.0056890474416719	0.0192780201253429	0.02307238700681	6819.0
gene:AT1G14290	268	312	224	221	258.248974130213	-0.602305843061538	0.22732167196287	-2.64957510588747	0.0080593056707322	0.0260512774595686	0.0311787803758328	7148.0
