	WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT2G05510	830	804	26104	18467	10690.195858174	4.53637287423683	0.152284557471325	29.7887911260537	5.45759083681215e-195	5.7322068848281e-192	6.86043975418363e-192	22.0
gene:AT4G23810	131	116	2168	1384	883.218828038431	3.61053521302237	0.218480684401326	16.5256495003933	2.3984223201050906e-61	2.54221763993891e-59	3.04258574598652e-59	218.0
gene:AT5G39050	1471	1702	7617	6403	4079.37191127294	1.92158877524673	0.12058864127067	15.9350727813044	3.6177925715528896e-57	3.3982249167021396e-55	4.06707534822339e-55	246.0
gene:AT3G50770	199	284	1761	1409	858.050926066099	2.50156743983579	0.175481483720777	14.2554495596597	4.14623577622713e-46	2.7140813054187e-44	3.24827621505839e-44	353.0
gene:AT4G39950	1245	1366	6270	4852	3261.46734603092	1.86502561742286	0.136530089486019	13.6601801437612	1.75548936594519e-42	1.0166439292956299e-40	1.21674331867705e-40	399.0
gene:AT4G23680	474	495	2520	1833	1262.37561379925	1.93890757170331	0.167484340793911	11.5766498677577	5.41199619335779e-31	2.1340443010225e-29	2.55407431275272e-29	586.0
gene:AT2G17040	168	217	955	838	515.77165639148	2.00295031064194	0.18660774051482	10.7334792496609	7.08762827450636e-27	2.32964191378405e-25	2.7881701270479804e-25	703.0
gene:AT5G24210	1726	2129	6771	5123	3768.37906534886	1.40602581544304	0.136497351114177	10.3007553184452	6.99102007604716e-25	2.0790411955884402e-23	2.488245305059e-23	777.0
gene:AT3G22160	194	237	787	725	463.745653434794	1.59229866023904	0.187186950813252	8.50646187312278	1.79321536303583e-17	3.49080264479098e-16	4.177874546314729e-16	1187.0
gene:AT5G42050	3910	4980	13014	9396	7530.97754382178	1.11596821717819	0.139489591633366	8.00036908926795	1.24046813749349e-15	2.15353097318273e-14	2.57739641941266e-14	1331.0
gene:AT1G02205	1158	1333	2718	2963	1979.10413167663	0.969673482601049	0.127641158513736	7.59687152554868	3.03375451945346e-14	4.76877317557898e-13	5.70737967588336e-13	1470.0
gene:AT4G33050	1368	1713	4071	3225	2503.41665802012	1.0255654926266	0.135163200915069	7.58760879946177	3.25862969835557e-14	5.101433363136999e-13	6.10551519702055e-13	1476.0
gene:AT4G15550	415	441	1372	1051	788.083918695799	1.27407352119399	0.173775227812973	7.33173270568358	2.27195895862863e-13	3.35237264732003e-12	4.01219827591792e-12	1566.0
gene:AT3G50930	673	697	1744	1528	1122.99307838923	1.02873045103373	0.147910966284787	6.95506544831178	3.52398397484237e-12	4.68789278679808e-11	5.6105801280521496e-11	1737.0
gene:AT1G18570	531	644	1405	1281	933.541459490797	0.974118462598823	0.14730780987052	6.61280935107956	3.7709398338874894e-11	4.57162154992856e-10	5.47142398248471e-10	1906.0
gene:AT1G68570	941	1005	2042	2108	1480.95022966784	0.868357923886035	0.134298023419736	6.465902488915	1.00695999035602e-10	1.1680634787729202e-09	1.39796578982408e-09	1992.0
gene:AT1G64950	1289	1417	2867	2607	1988.93732769273	0.792455012912689	0.125489752411217	6.31489821030083	2.70339353210678e-10	2.98743731929179e-09	3.57543510905849e-09	2091.0
gene:AT4G02410	421	400	1192	884	699.755132901734	1.10506517969619	0.189511515570372	5.83112417401275	5.50551939702183e-09	5.24385971586906e-08	6.27597439920192e-08	2426.0
gene:AT1G18590	537	574	1146	1212	842.972254586052	0.86192948989729	0.15497182805713	5.56184630912107	2.66935332086352e-08	2.36415282426958e-07	2.8294735948057e-07	2609.0
gene:AT1G16410	2042	2475	3774	5232	3290.79178264672	0.780999557844375	0.154178904514843	5.06554097204128	4.07242171362521e-07	3.05921484189654e-06	3.66134013297481e-06	3076.0
gene:AT4G26850	2414	2703	4402	4007	3312.66130766854	0.49354979136529	0.115079270399465	4.28878102591431	1.79656384056994e-05	0.0001053367182543	0.0001260694570184	3941.0
gene:AT2G41410	2574	3059	4427	4550	3580.19471243969	0.453772429503203	0.111882754267939	4.05578529481405	4.9966142306399e-05	0.0002697587967929	0.0003228536601596	4280.0
gene:AT4G31550	615	882	1497	1214	1022.31755241172	0.646015745040793	0.162564614694432	3.97390136995734	7.07048513064261e-05	0.0003711442524165	0.0004441941533119	4402.0
gene:AT5G08790	1901	2222	3744	2965	2650.38427537293	0.480418029136241	0.132719865482506	3.6197899040183	0.0002948423135904	0.0013718490569773	0.0016418611533608	4966.0
gene:AT3G46620	606	716	1129	1064	859.885969359514	0.51048617599454	0.148476811046746	3.43815423025096	0.0005856940048618	0.0025496667992354	0.0030515010746897	5308.0
gene:AT1G23205	232	242	376	528	336.657532579989	0.708960733094715	0.235411041117858	3.01158658373962	0.0025988627465959	0.0097014412739243	0.0116109126425056	6190.0
