	WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT4G02380	2444	3189	14328	13584	7935.58479859748	2.09483453022639	0.108650543306012	19.2804791074659	7.83474791578441e-83	1.40339162860489e-80	1.67961204349626e-80	129.0
gene:AT5G14920	2056	2252	11123	13633	6872.95348191467	2.30122845951461	0.130103233517703	17.6877114987421	5.21508179710335e-70	6.92556868308432e-68	8.28868316660305e-68	174.0
gene:AT3G44300	860	886	30217	19462	11886.6461445786	4.59901698905406	0.307884326969945	14.9374832889854	1.87940172731747e-50	1.4923483062929498e-48	1.78607748346958e-48	291.0
gene:AT4G28520	2	4	324	277	139.940872986026	6.42881312634327	0.657034290771124	9.7845930062465	1.31121744161959e-22	3.47457585131924e-21	4.15845393898964e-21	872.0
gene:AT2G43150	6532	9369	25998	19576	14714.980656078	1.30859310283819	0.139106876880137	9.40710576059982	5.09986143178405e-21	1.24437695991799e-19	1.4892995553958601e-19	947.0
gene:AT5G07440	4114	4495	13729	10189	7818.39513042738	1.24753389364296	0.13496539499661	9.24336118657894	2.38873023913455e-20	5.564152181016342e-19	6.65930793984537e-19	992.0
gene:AT1G75750	1760	2068	4476	5844	3410.02826592774	1.21389735737641	0.143902701546609	8.43554251817321	3.29669945531819e-17	6.30602933063223e-16	7.54720392688945e-16	1208.0
gene:AT2G23120	857	1070	2412	3477	1876.41925738006	1.39909093898479	0.170445427117562	8.20843927962813	2.24082079690429e-16	4.102903815694731e-15	4.91045159575184e-15	1262.0
gene:AT4G30270	3091	3121	10884	7166	5825.76694900664	1.3064408553347	0.160914316105484	8.118860316184	4.705817534756879e-16	8.370848789501721e-15	1.00184283236106e-14	1299.0
gene:AT5G64570	2017	1860	4999	4584	3258.23392563736	1.07147048009856	0.136666228596139	7.84005303361999	4.5035618436574406e-15	7.49739218453836e-14	8.97305495578866e-14	1388.0
gene:AT4G33720	0	0	145	96	55.3885066405731	9.12766189255314	1.51384988896791	6.02943657694889	1.64532268774235e-09	1.66455653877682e-08	1.99218033842009e-08	2284.0
gene:AT5G09440	602	784	1411	1335	1002.96944256808	0.771771670201499	0.145517259676542	5.30364351223356	1.13513886094423e-07	9.21956191909955e-07	1.10341881193014e-06	2845.0
gene:AT1G76160	1697	2367	3649	3871	2816.66651906965	0.678566410552597	0.128666407563724	5.27384282658649	1.33596334446229e-07	1.07187864585035e-06	1.28284952399668e-06	2880.0
gene:AT4G25140	0	0	65	53	27.1577184785267	8.09929065144668	1.57265975877028	5.15005906794474	2.60404435590665e-07	2.01175703550435e-06	2.40771804288193e-06	2991.0
gene:AT3G24480	1257	1791	2679	2859	2088.32444221848	0.65334398605449	0.136514240273956	4.78590354195549	1.70219798537952e-06	1.17516249919822e-05	1.40646206410728e-05	3347.0
gene:AT5G24030	668	943	1689	1414	1143.30557764409	0.734399593141744	0.154581044951403	4.75090327777655	2.0250998664376e-06	1.38566723760064e-05	1.65839907629055e-05	3377.0
gene:AT2G27380	0	4	27	74	24.4172712630598	4.48508290018837	1.04502335319935	4.29184944667238	1.7719107678712e-05	0.0001040761111164	0.0001245607328049	3934.0
gene:AT5G11090	503	632	1068	985	776.61541380961	0.638293015940422	0.15498208980685	4.11849534830709	3.81354266417458e-05	0.0002110142010083	0.0002525467489888	4176.0
gene:AT3G62150	378	475	945	707	608.241822095389	0.734982238765674	0.185149062373603	3.96967842744237	7.1969696285856e-05	0.0003772694582752	0.0004515249434631	4408.0
gene:ATCG00170	271	316	525	572	410.544311720196	0.68307823465989	0.193499929828528	3.53012135593644	0.0004153690954351	0.0018742303628626	0.0022431228928448	5121.0
gene:AT4G02420	60	68	192	144	111.686106552656	1.16877549756307	0.342835359533444	3.40914513355223	0.0006516680032149	0.0028082977527577	0.0033610366708147	5362.0
gene:AT5G26200	37	49	103	103	70.4402201128726	1.04609412234179	0.412477349992145	2.53612500749849	0.0112086714835607	0.0344642411138572	0.0412476127581998	7515.0
gene:AT3G58620	314	364	567	522	432.880135177803	0.462802246578509	0.186782685337183	2.47775775224054	0.0132210875955193	0.039711383214567	0.0475275155926277	7693.0
