	WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT1G01080	811	1162	820	851	910.322222297708	-0.447981044032881	0.158429325423432	-2.82763966100069	0.0046892556154649	0.0163129183691401	0.0195236836239481	6642.0
gene:AT1G01090	2495	2855	2374	2640	2593.64869975213	-0.313564593867853	0.123776883740391	-2.53330496286788	0.0112992600862604	0.0346920014367817	0.0415202016589864	7526.0
gene:AT1G01120	663	782	512	614	647.5274772389	-0.577547863010906	0.173260715179765	-3.33340343430811	0.0008579044611331	0.0036016712179148	0.0043105646570924	5504.0
gene:AT1G01150	20	7	0	0	7.5872236387268	-6.47771109974852	1.90586624634316	-3.39882775728753	0.000676753215303	0.0029066424806706	0.0034787379496666	5380.0
gene:AT1G01180	260	319	166	147	227.167554697927	-1.10556900246674	0.243399352444716	-4.54220190547898	5.5669684008317e-06	3.53784210225572e-05	4.23417247318483e-05	3636.0
gene:AT1G01310	20	49	0	0	17.9870044839568	-7.73290047803792	1.65082039477283	-4.68427728572013	2.80949461413105e-06	1.88061970013691e-05	2.25076980167422e-05	3452.0
gene:AT1G01320	8744	11099	8208	8183	9085.20156679809	-0.490679407475813	0.104686443424879	-4.68713418302262	2.77057324658607e-06	1.85510391216645e-05	2.22023190768872e-05	3451.0
gene:AT1G01390	62	86	0	6	40.8438292991016	-4.81870177670293	1.68573728695128	-2.85851289759256	0.0042563180557274	0.0150153803532357	0.0179707596688767	6550.0
gene:AT1G01430	1133	1320	635	798	989.259596448785	-0.993453518003379	0.161762323909724	-6.14143945259961	8.17769968462964e-10	8.56194411475927e-09	1.0247135694537e-08	2207.0
gene:AT1G01440	523	539	374	267	433.937668861312	-0.95789207267167	0.210218805317805	-4.55664311869505	5.19776271301629e-06	3.32147961863019e-05	3.9752247740173e-05	3616.0
gene:AT1G01540	1197	1594	1211	1044	1264.24023860876	-0.521514189386102	0.143648102117261	-3.63049829200239	0.0002828745767854	0.0013199480706343	0.0015797448346126	4952.0
gene:AT1G01610	876	928	471	532	717.545232127387	-1.07103531742019	0.166831944330716	-6.41984556205279	1.36412664170288e-10	1.55966720978864e-09	1.8666463273772e-09	2021.0
gene:AT1G01620	4857	5545	2051	2174	3768.78213290002	-1.52046456831936	0.114324016521444	-13.2996076815947	2.32686015879007e-40	1.26510018092146e-38	1.51410159273739e-38	425.0
gene:AT1G01750	67	112	25	32	60.5025504336533	-1.85040987521139	0.468910324374514	-3.9461913697031	7.9404158013216e-05	0.0004130553532668	0.0004943543426059	4442.0
gene:AT1G01790	2047	2711	975	916	1706.067260442	-1.54443876682847	0.13190462447881	-11.7087537524249	1.14956868078046e-31	4.660190088911229e-30	5.5774248889444796e-30	570.0
gene:AT1G01860	181	218	104	112	156.76533162063	-1.10298835212896	0.285176592887829	-3.86773802491851	0.0001098495851376	0.0005571322132957	0.0006667889106631	4556.0
gene:AT1G02110	458	469	387	369	424.366086117136	-0.521323632656618	0.19215701460762	-2.71300859727212	0.0066675376708435	0.0221455789794713	0.026504348754805	6957.0
gene:AT1G02150	1767	2051	1366	1231	1623.15983567593	-0.777066978991829	0.128618090123824	-6.04166162196724	1.5253510527845702e-09	1.55201615044884e-08	1.8574893599629e-08	2271.0
gene:AT1G02280	823	865	692	736	784.329635782104	-0.466302564998253	0.158692890307241	-2.93839606862951	0.0032991525267282	0.0119920587439217	0.0143523773991931	6357.0
gene:AT1G02300	270	297	223	174	243.91156869579	-0.739172772195429	0.242421447749659	-3.04912283569377	0.002295106184275	0.0086641102107568	0.0103694104764132	6121.0
gene:AT1G02340	69	90	26	33	56.1013842802603	-1.64263827347592	0.470121219246094	-3.49407388185991	0.0004757093502876	0.0021191856481775	0.0025362911282447	5187.0
gene:AT1G02380	116	103	33	23	72.33175417337	-2.20423274409065	0.439289222074969	-5.01772552870526	5.22868044821669e-07	3.87489156885642e-06	4.63756118651163e-06	3118.0
gene:AT1G02390	65	92	48	28	59.2582252428792	-1.26051131179561	0.468930761633184	-2.68805421808014	0.0071869726168096	0.0235967781021516	0.0282411779294154	7037.0
gene:AT1G02520	171	233	157	127	173.104193124407	-0.722008552915527	0.278012079569763	-2.59704022225534	0.00940309124032	0.0296989105098519	0.0355443532327846	7316.0
gene:AT1G02570	4	14	0	0	4.63737898131436	-5.77907169534234	2.1244128363069	-2.72031480726164	0.0065219792702215	0.0217151837171482	0.0259892416020138	6939.5
gene:AT1G02610	659	741	98	70	414.999342661639	-3.28284455774566	0.222187505975799	-14.7751087232746	2.12014806637615e-49	1.6221940850911801e-47	1.94147995945803e-47	302.0
gene:AT1G02620	92	153	0	1	65.046623821772	-8.1372019837073	1.49865205437992	-5.42968059859239	5.64549978926091e-08	4.78893405398134e-07	5.73150868839979e-07	2724.0
gene:AT1G02630	14	12	0	0	7.06911473761192	-6.37975270472508	1.89695835722091	-3.36314852692474	0.0007705889210435	0.003272559860054	0.00391667645864	5441.0
gene:AT1G02640	1068	1315	140	156	706.482548371995	-3.22537664673572	0.176617364385987	-18.2619452959724	1.6626068612167702e-74	2.4315099203883497e-72	2.91008814854113e-72	158.0
gene:AT1G02660	2225	2529	278	122	1369.15902464009	-3.8000332207565	0.540483313109735	-7.03080581506311	2.05344122239833e-12	2.8043065204467e-11	3.35625987029703e-11	1692.0
gene:AT1G02840	1216	1491	1287	1098	1274.1889180753	-0.401250642210802	0.139831723451796	-2.86952511422863	0.0041108868522616	0.0145623581933483	0.0174285721139502	6523.0
gene:AT1G02860	336	366	224	166	278.673026741207	-1.07394617234414	0.235851610784319	-4.55348245777402	5.27650734271241e-06	3.36807334718386e-05	4.03098924206386e-05	3620.0
gene:AT1G02890	1554	1949	1652	1456	1653.13698101586	-0.389585509187062	0.130756049719506	-2.97948362636215	0.0028873466069737	0.0106323375374251	0.0127250311419696	6275.0
gene:AT1G02900	171	225	99	124	157.238893789689	-1.04026804706197	0.293145989240439	-3.54863475962053	0.0003872337954786	0.0017627681859977	0.0021097223431759	5076.0
gene:AT1G02910	823	1035	674	829	844.061504633017	-0.519790818513824	0.165800482976196	-3.13503802391487	0.0017183183751023	0.0067035594620107	0.0080229773195095	5923.0
gene:AT1G03000	523	606	495	407	510.741435533775	-0.545734188319556	0.182132123117381	-2.99636428203189	0.0027321982806333	0.0101336927240121	0.0121282413243846	6230.0
gene:AT1G03020	36	42	3	0	21.6187520022934	-4.92553136017237	1.09534788264362	-4.49677352576298	6.89924073147928e-06	4.32738207335211e-05	5.17911244378555e-05	3684.0
gene:AT1G03055	46	62	14	6	33.4001692735703	-2.64993665042952	0.65599793680494	-4.03955028172211	5.35537866518937e-05	0.0002876599049675	0.0003442781266229	4301.0
gene:AT1G03090	2229	2130	602	550	1445.17723073959	-2.15200786397827	0.150102234394511	-14.3369475654985	1.28587958070767e-46	8.61241144098906e-45	1.0307536175208901e-44	345.0
gene:AT1G03100	144	147	75	84	115.221212483216	-1.09791712301713	0.33107554421371	-3.31621329997247	0.0009124615693839	0.0038078832370877	0.004557364042137	5537.0
gene:AT1G03130	3324	3306	2035	2772	2901.75384979039	-0.690203387797832	0.158834963526063	-4.34541219688432	1.39014370192862e-05	8.29812723339306e-05	9.93139345823712e-05	3871.0
gene:AT1G03360	215	252	152	186	203.33601341263	-0.684359829416725	0.25986244749159	-2.63354646284116	0.0084498273717795	0.0271143120510638	0.0324510451279772	7201.0
gene:AT1G03410	495	526	385	434	464.042127174665	-0.541853743956619	0.189073216757578	-2.86584082742593	0.0041590330499727	0.0147126112501103	0.017608398499234	6532.0
gene:AT1G03440	854	867	250	256	581.282086707391	-1.99345291094592	0.180051237723448	-11.0715868224566	1.72321873384457e-28	6.09776650581111e-27	7.29795008950561e-27	653.0
gene:AT1G03457	137	189	89	49	118.576776114656	-1.45561926376443	0.359428765028628	-4.04981294039861	5.12585898372678e-05	0.0002759627761812	0.00033027872832	4292.0
gene:AT1G03520	307	350	158	168	251.688437545499	-1.23162909621747	0.233845950125236	-5.26683953926879	1.38792419605299e-07	1.10894759329863e-06	1.32721451043726e-06	2892.0
gene:AT1G03530	437	437	358	305	388.750847164994	-0.628033066968706	0.20372211933561	-3.08279272283678	0.0020506793577109	0.007829651011009	0.0093707101185551	6052.0
gene:AT1G03600	3789	4310	2895	3677	3693.38899192371	-0.520502299319954	0.137816227337297	-3.77678528411647	0.000158865572681	0.0007798824703509	0.0009333816470141	4707.0
gene:AT1G03610	1235	1259	419	284	834.819920168156	-2.05769686748199	0.187144662122579	-10.9952207246724	4.0292649544028e-28	1.39796134086165e-26	1.6731129476578e-26	666.0
gene:AT1G03630	2261	2653	1265	1570	1973.06343019213	-1.01112405350152	0.142448373834112	-7.0981789843317	1.2641140786856998e-12	1.7564572469146397e-11	2.1021692631421002e-11	1663.0
gene:AT1G03680	4948	5555	2950	3561	4326.30206454876	-0.910213092679555	0.128694489398392	-7.07266563575898	1.51985399898794e-12	2.0991791006942197e-11	2.51234682259482e-11	1673.0
gene:AT1G03870	1292	1610	741	762	1123.28902580477	-1.16518160051793	0.140401392604359	-8.29893193297112	1.0505153262519599e-16	1.96552693471289e-15	2.3523887730767703e-15	1235.0
gene:AT1G04040	433	633	262	312	415.926992095027	-1.09931211480076	0.208539480779534	-5.27148197881505	1.35326577345199e-07	1.08350354217446e-06	1.2967624727933e-06	2886.0
gene:AT1G04110	128	114	36	39	82.9880766529009	-1.92367010473636	0.401235860988949	-4.79436234835785	1.63193073110604e-06	1.1286747501846e-05	1.35082443486195e-05	3341.0
gene:AT1G04210	1208	1504	1264	1162	1284.79165076955	-0.377819735663242	0.135015953794517	-2.79833401198093	0.005136696353877	0.0176443648950553	0.0211171900797488	6727.0
gene:AT1G04240	366	355	31	25	207.917211651543	-3.91755419132115	0.314159706184939	-12.4699447898483	1.0890147673102101e-35	5.11460655045468e-34	6.12128117682192e-34	492.0
gene:AT1G04250	524	753	322	377	501.100965990376	-1.07661381231934	0.194540630571964	-5.53413345661527	3.12770766685119e-08	2.74589441709463e-07	3.28635089387423e-07	2632.0
gene:AT1G04350	803	969	723	740	812.208454645666	-0.494280655216493	0.151321831165964	-3.26641999642724	0.0010891657877425	0.004459924482964	0.005337742310831	5643.0
gene:AT1G04360	64	82	40	38	57.0074275968066	-1.1198686354598	0.453480426311192	-2.4694971833058	0.0135303083751479	0.0405190300187327	0.0484941262460749	7716.0
gene:AT1G04400	4199	4774	3717	3411	4052.97926589183	-0.554286822782976	0.111147721335843	-4.98693824867671	6.13436612120126e-07	4.50132734082558e-06	5.38729422298574e-06	3149.0
gene:AT1G04420	1491	1889	1047	1195	1421.34200015493	-0.806285588113321	0.140833174661397	-5.72511121794891	1.03366001671259e-08	9.56539127199748e-08	1.14480848066426e-07	2497.0
gene:AT1G04430	1813	2265	1566	1627	1827.59662465629	-0.568628164914401	0.126052490755985	-4.51104267360463	6.45097400109635e-06	4.06386740030898e-05	4.86373189750053e-05	3668.0
gene:AT1G04620	559	715	463	393	537.723758275517	-0.789984823911613	0.178615908342847	-4.42281334983481	9.74239025885171e-06	5.97921412247773e-05	7.15606381430396e-05	3765.0
gene:AT1G04770	764	916	320	327	599.572317184527	-1.59485029157858	0.169359493186228	-9.41695243398538	4.64370435460381e-21	1.13667453942617e-19	1.36039877040856e-19	944.0
gene:AT1G04950	392	508	350	352	402.322975789896	-0.572746092755279	0.193138041277472	-2.96547530961258	0.0030221560306866	0.0110916390408317	0.0132747339626174	6296.0
gene:AT1G05020	56	64	8	30	41.0660217172558	-1.87143109940028	0.625181426303072	-2.99342082260303	0.0027586907805096	0.0102188310139846	0.0122301368283094	6238.0
gene:AT1G05140	1105	1330	852	878	1051.5561010906	-0.711040352540072	0.141241700847284	-5.03420978559919	4.79823985896166e-07	3.56389998138949e-06	4.26535915459931e-06	3111.0
gene:AT1G05150	748	950	722	658	772.019346249908	-0.515255400040116	0.155687777970387	-3.30954302744383	0.0009344840168582	0.0038906526446026	0.0046564244119308	5550.0
