	WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT1G02205	1158	1333	705	901	1018.34987205283	-0.66549425699395	0.161961436220973	-4.1089673722452	3.97432215567539e-05	0.0057593349916697	0.0078198354867746	140.0
gene:AT1G04770	764	916	283	188	538.82277206047	-1.8342648620397	0.258424621584775	-7.09787190860983	1.26692520837486e-12	1.35814382337785e-09	1.8440429809266702e-09	19.0
gene:AT1G05680	2317	2314	1538	1118	1832.96333932701	-0.814281418221543	0.22060920396862	-3.69105823135723	0.0002233229989669	0.0231708505352457	0.0314606182026817	196.0
gene:AT1G06040	677	678	432	348	536.272160290162	-0.814814017294277	0.231070438176082	-3.52625815628292	0.0004214759102699	0.0363755141541443	0.0493894758411656	236.0
gene:AT1G10640	449	420	227	247	336.714131737828	-0.910570107345389	0.232185785834232	-3.92173062650566	8.79152455410088e-05	0.0109856301912839	0.0149159270885681	163.0
gene:AT1G11050	1067	1347	618	408	860.657414548218	-1.22889455206439	0.247950161180354	-4.95621598394736	7.1879310957775e-07	0.000225236585475	0.0003058188222365	65.0
gene:AT1G12030	117	133	44	16	78.0802461157742	-2.04345965264529	0.512616220606671	-3.98633435794696	6.71019347561562e-05	0.0088472674257552	0.0120125285084084	154.0
gene:AT1G13260	2926	3203	1381	1027	2142.36349196271	-1.35588137694407	0.208464110855961	-6.50414774695164	7.81350746054757e-11	6.36582079825732e-08	8.64330195285772e-08	25.0
gene:AT1G13609	76	156	13	5	61.4273283773778	-3.65609266284594	0.600452091704814	-6.08889986953912	1.13689192404257e-09	7.31220591351257e-07	9.92827251267626e-07	31.0
gene:AT1G14200	535	462	245	162	355.248024862521	-1.31045724966623	0.297255707012907	-4.40851838585331	1.0408018605803e-05	0.0018927725264553	0.0025699442369953	112.0
gene:AT1G16410	2042	2475	1458	1162	1783.78585365683	-0.791290808307576	0.195403304990485	-4.04952622651959	5.13214263861491e-05	0.0071263412145786	0.0096759115420842	146.0
gene:AT1G17380	384	556	150	116	299.899341283072	-1.81861467192515	0.271467380631956	-6.69920145724894	2.09561525937782e-11	1.77847881679198e-08	2.41475999992057e-08	24.0
gene:AT1G18300	205	210	99	105	154.934717762255	-1.05452751740155	0.294298786850696	-3.58318676297001	0.0003394277380744	0.0319486857247223	0.0433788739059895	216.0
gene:AT1G18570	531	644	271	157	401.967991543894	-1.4492204781166	0.298177270913247	-4.86026474679969	1.17228875474079e-06	0.0003316274632855	0.0004502728543382	72.0
