	ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT1G01010	462	429	151	200	299.743854130177	-1.15444236832323	0.23955631121035	-4.8190855940737	1.44217675965825e-06	1.36220037663768e-05	1.71320439382942e-05	2328.0
gene:AT1G01300	1416	1421	797	1022	1140.90637524783	-0.45171113660157	0.168552796622055	-2.67993854539501	0.0073635677544536	0.0281742633291599	0.0354340466764253	5747.0
gene:AT1G01340	390	207	78	125	191.402915111035	-1.3702920900702	0.380412002891044	-3.60212632529019	0.0003156249114442	0.001823030254202	0.0022927782836853	3807.0
gene:AT1G01470	2222	1915	1092	1313	1598.58808161593	-0.588356786395425	0.163631972333891	-3.59561018548919	0.000323632109201	0.0018634450768742	0.0023436069671634	3818.0
gene:AT1G01480	410	274	41	61	185.313301335228	-2.5562029930733	0.346166094084317	-7.3843251455201	1.53228577849301e-13	3.5504143291130398e-12	4.4652648265778796e-12	949.0
gene:AT1G01490	1854	1719	934	1144	1380.95135918158	-0.589386943700089	0.160060805168237	-3.68226901695636	0.0002311672856013	0.0013727079241392	0.0017264194661909	3703.0
gene:AT1G01560	777	467	10	34	299.234880395171	-4.65160389353866	0.430804027452917	-10.7974939812907	3.53726267266607e-27	2.21597917120382e-25	2.7869800345464403e-25	351.0
gene:AT1G01630	1026	913	393	540	696.579005438002	-0.86773236066141	0.197662706523921	-4.38996498591603	1.13368913778226e-05	9.02232734371849e-05	0.0001134714915141	2763.0
gene:AT1G01640	304	262	97	105	185.191434893419	-1.28769482218007	0.285577307984544	-4.50909363656359	6.51051709456198e-06	5.43094690410938e-05	6.83036230083883e-05	2636.0
gene:AT1G01650	1225	1122	611	762	908.942863995235	-0.581625624609603	0.174391178367044	-3.33517801792386	0.0008524480910785	0.0043826235853929	0.0055119130135086	4277.0
gene:AT1G01680	26	20	3	2	12.0228370733282	-2.99043072055979	1.1117602599218	-2.68981616663482	0.0071491389702293	0.0275243625738409	0.0346166832043099	5711.0
gene:AT1G01730	648	602	355	329	473.611258364147	-0.664073739878762	0.220652353929247	-3.00959281899027	0.0026159813325685	0.0117178271586575	0.0147372099719257	4909.0
