	WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G04053.1	67	106	22	32	57.7789871638911	-1.84390788023871	0.484569535404798	-3.80524928934782	0.0001416614412054	0.0013413478192606	0.0054029991598254	101.0
transcript:AT1G04133.1	27	47	0	0	19.246300588287	-7.81376116885604	1.628228698276	-4.79893345273266	1.59512779387302e-06	2.32743646287836e-05	9.37500107944463e-05	66.0
transcript:AT1G04157.1	58	54	21	6	36.1314954187029	-2.25587999196902	0.654743749625725	-3.44543952234529	0.0005701315297173	0.0047742318531984	0.0192307843806406	115.0
transcript:AT1G05562.1	4246	4375	3379	2828	3735.06386106655	-0.66614345856178	0.143235602925772	-4.65068352389308	3.30836687065494e-06	4.3643250636174e-05	0.0001757966450858	73.0
transcript:AT1G04433.1	89	127	37	52	77.4132079253578	-1.44883123895555	0.415765138109687	-3.48473478450547	0.0004926250614532	0.0042356958408878	0.0170615411908661	112.0
transcript:AT1G04833.1	1067	1347	571	513	888.427133008221	-1.3345965864795	0.164250692937869	-8.12536350750335	4.46023656929446e-16	2.04533705534789e-14	8.23869412013962e-14	21.0
transcript:AT1G05183.1	363	346	117	102	240.012330543699	-1.89003421524578	0.261046680180399	-7.2402154815363	4.47972423007078e-13	1.46822923066037e-11	5.914082228174009e-11	29.0
transcript:AT1G05253.1	480	510	305	282	399.422855787204	-0.942828905881554	0.20573634234285	-4.58270471393125	4.58999988556628e-06	5.74048037636406e-05	0.0002312286955339	77.0
transcript:AT1G18735.1	661	829	391	492	598.76662534385	-0.931634987395108	0.194908982109798	-4.77984635346507	1.75429210168632e-06	2.48438719694695e-05	0.0001000720450359	68.0
transcript:AT1G05753.1	237	340	111	94	198.937689983566	-1.66615558409399	0.276721915130022	-6.02104673679757	1.7329270662288e-09	3.70846392172962e-08	1.49378313108922e-07	45.0
transcript:AT1G07737.1	1627	1802	934	1248	1417.88788623999	-0.835285387910315	0.17543275622685	-4.76128521192599	1.92363959956776e-06	2.68473178896196e-05	0.0001081420000974	69.0
transcript:AT1G09053.1	364	399	264	273	327.366971440877	-0.692757496936696	0.218304995894712	-3.1733469685266	0.0015069231893473	0.0109936896313748	0.0442829928142292	132.0
transcript:AT1G09193.1	1901	2037	833	1088	1493.22344490159	-1.22095572053547	0.172346961996048	-7.08428919427933	1.39759779589928e-12	4.07844447712425e-11	1.64281268190706e-10	33.0
transcript:AT1G77992.1	157	169	60	41	109.944834964909	-1.88072097181149	0.359896750501862	-5.22572368099712	1.73475262928095e-07	2.88028755516819e-06	1.16019059465186e-05	58.0
transcript:AT1G78265.1	367	474	308	290	360.630883044919	-0.670032062784652	0.210859538791913	-3.17762272754411	0.0014848783072524	0.0109155558006423	0.0439682668231481	131.0
transcript:AT1G09927.1	4357	4993	3120	3906	4113.08760638981	-0.594011602845589	0.150083499694742	-3.95787414375173	7.56197818395445e-05	0.0007585609365779	0.0030555118099541	96.0
transcript:AT2G03895.1	375	459	245	287	344.116342751017	-0.827584519804972	0.220026708172746	-3.76129119359103	0.0001690385008039	0.0015804279249925	0.0063660227632877	103.0
transcript:AT2G08220.1	76	75	16	8	45.768539395809	-2.84960082561729	0.57468196634918	-4.95857011786908	7.1013908382998e-07	1.0854983138544e-05	4.37242778758173e-05	63.0
transcript:AT2G08405.1	25	35	0	0	15.7439033351084	-7.52275952064101	1.66118269537687	-4.52855639634168	5.93880312753087e-06	7.33213770745157e-05	0.0002953412478422	78.0
transcript:AT2G08420.1	1947	2244	1072	1163	1629.52426676932	-1.0899288195643	0.146202830871665	-7.45490913593205	8.9929786269558e-14	3.0929422920565798e-12	1.2458487176414798e-11	28.0
transcript:AT2G08480.1	266	317	151	165	227.654107948634	-1.06465624919501	0.251604616346746	-4.23146548204728	2.32173628636659e-05	0.0002569921889391	0.0010351741442317	87.0
transcript:AT2G08525.1	423	428	307	286	364.394699418949	-0.712425409221485	0.214183144942938	-3.32624403947046	0.0008802482385902	0.0068361214013097	0.0275361525604158	124.0
transcript:AT2G08680.1	140	155	44	59	102.210827471087	-1.70162191880918	0.366532629657032	-4.64248413681862	3.44245075979414e-06	4.44153331001251e-05	0.0001789066221135	74.0
transcript:AT2G08730.1	87	70	30	19	53.5347308010387	-1.88612804918215	0.508663610376103	-3.70800664861314	0.0002088971729178	0.0019343074761524	0.0077914628245021	104.0
transcript:AT2G37362.1	275	351	174	188	249.252533816707	-0.967687054452268	0.243352795057148	-3.97647807671582	6.99434437522504e-05	0.0007165482588661	0.0028862831735636	94.0
transcript:AT2G08965.1	99	142	72	36	88.2043670299445	-1.33552732456532	0.417524166425535	-3.19868269182812	0.0013805702891243	0.0102268399109747	0.0411940934731784	130.0
transcript:AT2G09350.1	165	148	72	51	112.249747029022	-1.54739566183653	0.359767471978672	-4.30109941103365	1.69952788867714e-05	0.0001925465125642	0.0007755845506092	85.0
transcript:AT3G01142.1	290	308	142	125	220.863972268963	-1.35240482080009	0.257789616339627	-5.24615707957127	1.55304504797175e-07	2.62382873894175e-06	1.0568880247513e-05	57.0
transcript:AT3G05932.1	12	19	0	0	8.09341566281006	-6.56350333746175	1.84487142595778	-3.55770231199405	0.0003741129424658	0.003305236363253	0.013313615631421	109.0
transcript:AT3G03025.1	360	418	227	291	326.609171392812	-0.767804261525614	0.23131456416151	-3.3193079057033	0.000902408673711	0.0069521564222698	0.0280035459626009	125.0
transcript:AT3G03105.1	1851	1768	858	954	1387.28818088299	-1.19157830389843	0.166366690704837	-7.16236104024268	7.92992369952369e-13	2.46339242665849e-11	9.9226367840169e-11	31.0
transcript:AT3G03145.1	311	279	76	132	206.361166410198	-1.69718845327063	0.314504198025664	-5.39639363774767	6.79936875913955e-08	1.21255409537989e-06	4.88421322531524e-06	54.0
transcript:AT3G03265.1	537	673	124	98	370.583027421039	-2.62713928634921	0.226990930601293	-11.5737632309361	5.59726012510311e-31	5.98906833386033e-29	2.41241911391944e-28	9.0
transcript:AT3G03295.1	28	24	0	0	13.9275356708841	-7.34301039598505	1.68973967217977	-4.34564596954306	1.38866388783596e-05	0.0001611184727694	0.0006489912314356	83.0
transcript:AT3G03975.1	218	205	97	119	163.241277426471	-1.1624483568262	0.30141986501041	-3.85657513576966	0.0001149867649868	0.0011415696359008	0.0045982851689089	97.0
transcript:AT3G04255.1	434	524	253	259	372.19942654276	-1.08479997911574	0.208529824145962	-5.20213347687105	1.97013641297102e-07	3.16206894281849e-06	1.27369319098577e-05	60.0
transcript:AT3G04615.1	177	201	95	91	143.363330104244	-1.20783723253761	0.302858920489398	-3.98811839712642	6.65994254880948e-05	0.0006971222472286	0.0028080344724817	92.0
transcript:AT3G07785.1	63	49	8	6	33.3717434063906	-3.20637497934496	0.685421685059132	-4.67795964037576	2.89743555984435e-06	3.92990203398607e-05	0.0001582979230512	71.0
transcript:AT3G09275.1	5357	5605	3648	2343	4302.49424401968	-1.06571868056087	0.178832428582787	-5.95931447672262	2.53298242069227e-09	5.18991930026949e-08	2.09051889571603e-07	47.0
transcript:AT3G09905.1	1276	1591	664	693	1072.07911121532	-1.25794873304427	0.156595549386702	-8.03310654722286	9.503506733985479e-16	3.97907694992523e-14	1.6027870704839e-13	23.0
transcript:AT3G09985.1	397	399	209	235	315.284330303082	-1.03226285592079	0.22993285459328	-4.48940999643886	7.1420715821977e-06	8.59726866707048e-05	0.0003463011958418	80.0
transcript:AT4G03585.1	883	1160	631	664	839.218788564599	-0.833612395342902	0.167673148974844	-4.97165109881708	6.63850956728962e-07	1.03111043762902e-05	4.15335138895426e-05	62.0
transcript:AT4G06415.1	60	58	11	5	35.1525796558882	-3.08010633114663	0.663603609907565	-4.64148519562101	3.45913809191005e-06	4.44153331001251e-05	0.0001789066221135	75.0
transcript:AT4G06665.1	1670	2061	1409	1478	1656.78662275426	-0.549293074277694	0.143566815849028	-3.82604483514713	0.0001302185829935	0.001266671670937	0.0051022008427465	99.0
transcript:AT4G20362.1	20422	22832	13773	15986	18395.4587275025	-0.723515302069314	0.132898905911983	-5.44410277198585	5.20671540691884e-08	9.64243641704393e-07	3.88400943527657e-06	52.0
transcript:AT4G26542.1	741	887	243	275	550.736055397874	-1.83260626779853	0.191205797653473	-9.58447019017594	9.293337710240249e-22	5.96632280997424e-20	2.40325713186813e-19	15.0
transcript:AT4G08815.1	431	550	127	199	334.579859341513	-1.76352621729118	0.254740665710271	-6.9228295858225	4.4271022549317894e-12	1.1842498531942501e-10	4.770202679689e-10	36.0
transcript:AT4G08985.1	173	171	2	8	93.9394744419169	-5.29369027434532	0.584442260756556	-9.0576787987451	1.33255988647555e-19	7.54855982750564e-18	3.04058811743451e-17	17.0
transcript:AT4G09375.1	72	92	28	25	55.5305467074145	-1.80867389167579	0.475179588165203	-3.80629542329369	0.0001410638722887	0.0013413478192606	0.0054029991598254	100.0
transcript:AT4G37553.1	172	242	90	110	155.259686873273	-1.22098719340135	0.303907855660415	-4.017623008619	5.87881490018818e-05	0.0006290331943201	0.0025337692219811	90.0
transcript:AT4G09975.1	172	290	83	111	165.59178767425	-1.41261008895535	0.317140435899461	-4.45420996205976	8.42026698780081e-06	0.0001001076186327	0.0004032372301935	81.0
transcript:AT5G02155.1	285	277	51	32	169.003411172195	-2.95554530771187	0.328054654843898	-9.00930763844288	2.0736144105676402e-19	1.10938370965369e-17	4.4686390547732604e-17	18.0
transcript:AT5G02515.1	42	54	6	10	29.0197338713023	-2.75983446884337	0.696584248245458	-3.96195359828302	7.43389900663531e-05	0.0007535626045673	0.0030353783417619	95.0
transcript:AT5G03615.1	475	385	2	5	232.51307106957	-7.14367386106527	0.608635447399883	-11.7371965296851	8.21651193404752e-32	9.8906262406097e-30	3.98398122402129e-29	8.0
transcript:AT5G03985.1	800	817	607	613	714.096597024385	-0.596708066135869	0.175719708617111	-3.39579476219188	0.000684296492136	0.0054460952225372	0.021937075148725	121.0
transcript:AT5G04905.1	828	906	695	628	767.608515429422	-0.577781732596052	0.169078948195694	-3.41723046400384	0.0006326170178723	0.0051627982051783	0.0207959441722604	118.0
transcript:AT5G40348.1	44	52	0	2	25.8415469073579	-5.76406078605341	1.20523218216183	-4.78253142536768	1.73101314791347e-06	2.48438719694695e-05	0.0001000720450359	67.0
transcript:AT5G06695.3	220	199	50	46	134.317843954316	-2.32329695465369	0.337139323766502	-6.89120725727853	5.53208688758484e-12	1.4019472823011e-10	5.64709606235305e-10	38.0
transcript:AT5G07015.1	555	697	141	130	393.089833875101	-2.38743407288581	0.214593748687281	-11.125366360811	9.44171871080838e-29	9.09237511850847e-27	3.6624426879225697e-26	10.0
transcript:AT5G07515.1	23	6	0	0	8.09704469407227	-6.55576803944627	1.90046181834874	-3.44956577193558	0.0005614889311098	0.0047431038654277	0.0191053996822371	114.0
transcript:AT5G07885.1	747	945	292	369	600.066300046907	-1.53235716759398	0.196266951949331	-7.8075149808694	5.8326545328468205e-15	2.2467385260525998e-13	9.04994677316513e-13	25.0
transcript:AT5G08725.1	34	32	0	0	17.6085557327723	-7.6818878097209	1.64054248373775	-4.68252903284697	2.83357039100673e-06	3.89818326648498e-05	0.0001570202792387	70.0
transcript:AT5G08825.1	108	145	27	52	84.9873257174775	-1.84965863185216	0.426039609113104	-4.34151800040994	1.4150168350732e-05	0.000162221572878	0.0006534345599105	84.0
transcript:AT5G08920.1	486	608	346	257	428.544676831564	-1.0411995528058	0.213415826341479	-4.87873636484587	1.06767661205763e-06	1.60651965220547e-05	6.47112121589304e-05	64.0
transcript:AT5G63195.1	2145	2127	1206	1061	1664.75477924572	-1.10783803497204	0.155440863034899	-7.12707079298261	1.02527367431156e-12	3.0854329636313494e-11	1.24282393207954e-10	32.0
transcript:AT5G09565.1	512	472	81	147	316.083360158171	-2.30121451941912	0.286068422794601	-8.04428009543511	8.675389172282139e-16	3.79745444223077e-14	1.52962884542193e-13	22.0
transcript:AT5G09855.1	1079	1420	667	612	955.111440210538	-1.14334317545936	0.162609679581864	-7.03121227714958	2.04746719461233e-12	5.79914973062257e-11	2.33591919055918e-10	34.0
