	ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G06002.1	934	872	454	544	679.92771512905	-0.730100639970536	0.210755702034278	-3.46420349686098	0.00053180404329	0.0061654205018786	0.0226688778452959	91.0
transcript:AT1G05213.1	1273	1119	463	509	811.502065519259	-1.17052073363904	0.20696734010251	-5.65558185682478	1.55319182595455e-08	4.5517149343946e-07	1.67356419246603e-06	36.0
transcript:AT1G05317.1	177	141	17	18	83.6949442230773	-3.05430771306847	0.46306577032222	-6.59583996230851	4.2285487479655195e-11	1.78444757164145e-09	6.561016237343291e-09	25.0
transcript:AT1G05333.2	607	491	245	295	396.254149315991	-0.898337879349272	0.247360856522296	-3.63168971832978	0.0002815715446067	0.0036226582873188	0.0133197075796303	82.0
transcript:AT1G05347.1	2562	2201	721	882	1529.2950800141	-1.44633526786064	0.194200989635753	-7.4476204810975	9.50387461001582e-14	4.7745655778889e-12	1.75550141010721e-11	21.0
transcript:AT1G05787.1	358	314	4	9	161.127630449736	-5.56974539419128	0.509915209699123	-10.9228853900587	8.96031753533942e-28	1.05034833330923e-25	3.86189685773129e-25	9.0
transcript:AT1G05837.1	184	169	51	75	115.023773892027	-1.36647070766795	0.371110637476228	-3.68211139664646	0.0002313102921778	0.0031286199775338	0.0115032387609987	78.0
transcript:AT1G05933.1	189	165	23	31	96.9450313005923	-2.58921704057933	0.417586224041351	-6.2004369194012	5.63066250631544e-10	2.04839618764234e-08	7.5314965041371e-08	29.0
transcript:AT1G28685.1	1046	1084	295	374	671.478192091801	-1.54701944087026	0.215029979779779	-7.19443606168136	6.27194489985949e-13	3.0076826678871695e-11	1.1058579212070401e-10	22.0
transcript:AT1G08317.1	501	467	221	221	341.189718831913	-0.999121576893283	0.250015134482409	-3.99624438321185	6.43552998312078e-05	0.0009839832075641	0.0036178870731196	69.0
transcript:AT1G08947.1	25	30	0	0	12.9194646316955	-7.09374208212671	1.72490922806435	-4.11253065767822	3.91345481305798e-05	0.0006255598223903	0.0023000441242199	66.0
transcript:AT1G09297.1	233	230	49	42	132.287645625514	-2.21172849750451	0.361195555057906	-6.12335469396884	9.16254142241891e-10	3.11821974214579e-08	1.14649994121171e-07	31.0
transcript:AT1G09433.1	75	65	16	11	39.9081727829438	-2.23403209607266	0.609205451312106	-3.66712427024579	0.0002452936013548	0.0032348093678669	0.0118936734956929	80.0
transcript:AT1G09623.1	174	163	69	56	111.529484245978	-1.29287996081349	0.376906348681861	-3.43024192968631	0.0006030433096812	0.0067188361755374	0.0247036640046537	94.0
