	WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G11175.1	225	268	163	151	203.009481597238	-0.903505711765279	0.268322595199236	-3.36723678113803	0.0007592546796777	0.0060740374374219	0.0130108642835687	22.0
transcript:AT1G23052.1	245	282	48	64	166.887233101967	-2.4886072558253	0.315833936718539	-7.8794802157156	3.2874574162429e-15	1.92864168419584e-13	4.13123815307858e-13	3.0
transcript:AT1G31935.1	62	75	28	4	43.927399272702	-2.3521010875316	0.687990988732222	-3.41879635933295	0.0006289878080953	0.0052715168678464	0.0112918287453302	21.0
transcript:AT1G08747.2	266	297	145	198	228.837754361541	-0.970927857846148	0.272021037279745	-3.5693116516119	0.0003579204366753	0.0036688451415957	0.0078588330589863	16.0
transcript:AT2G15292.1	378	394	198	294	319.370051298897	-0.910225728729729	0.255902503136917	-3.55692389707781	0.0003752227985722	0.0036688451415957	0.0078588330589863	18.0
transcript:AT2G08330.1	247	247	124	171	200.1524857254	-1.00661620656017	0.291073845720397	-3.45828462900483	0.0005436267255603	0.0047839151849309	0.0102473637768122	20.0
transcript:AT3G08785.1	1866	2068	1023	1365	1597.4101244647	-0.977043687587374	0.170366789018931	-5.73494219861599	9.75456066063947e-09	2.45257525181792e-07	5.25352767008726e-07	7.0
transcript:AT4G05940.1	12	13	0	0	6.7391816161611	-6.34506080797741	1.95606614799197	-3.24378642025527	0.0011795215469849	0.0090259040117111	0.0193338966614494	23.0
transcript:AT4G07975.2	299	445	273	270	319.851814605412	-0.69334822014078	0.232085099677752	-2.98747408215128	0.0028129314449396	0.0190413820888225	0.0407875059516255	26.0
transcript:AT5G07322.1	106	124	65	56	89.0199117516643	-1.18050447749769	0.387423099159596	-3.0470678698778	0.002310855264396	0.0162684210613482	0.0348476973870924	25.0
transcript:AT5G24735.1	697	831	500	524	640.668481267881	-0.829863305860073	0.177665611281597	-4.67092815471618	2.99841806620551e-06	5.27721579652169e-05	0.0001130403610959	10.0
transcript:AT5G48412.1	756	845	671	537	702.920979877636	-0.66344145243407	0.186058899204464	-3.56576038701056	0.0003628027406286	0.0036688451415957	0.0078588330589863	17.0
