	ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G55525.1	41	81	3	2	29.3172094033981	-4.38696613406518	0.947659086288864	-4.62926615439843	3.66963865254557e-06	5.70462008713902e-05	0.0001257685247281	11.0
transcript:AT1G68568.1	318	299	111	84	192.777381380992	-1.4187839069403	0.32086848698655	-4.42169912123457	9.79277595791099e-06	0.0001196117634859	0.0002637054668666	14.0
transcript:AT2G07042.1	799	674	86	41	369.053380885175	-3.2646022499989	0.606979600226294	-5.37843816955593	7.51347764952079e-08	1.60600584758507e-06	3.54072634233667e-06	8.0
transcript:AT2G21188.1	208	142	25	21	91.5579011710266	-2.68793809511024	0.455242399651107	-5.90441069893808	3.5390950956848804e-09	8.64550373374449e-08	1.90605550153314e-07	7.0
transcript:AT2G08475.1	771	553	168	189	394.529979475009	-1.66251451698472	0.246588299658775	-6.74206569932671	1.5615043954670197e-11	8.90057505416204e-10	1.9622905236368903e-09	3.0
transcript:AT2G08915.2	781	598	294	222	451.711564618322	-1.16950027419951	0.259882062467678	-4.50011925830767	6.79153488443957e-06	9.67793721032639e-05	0.0002133673876194	12.0
transcript:AT2G39675.1	675	562	111	148	348.846829837532	-2.03786900153001	0.248131711205552	-8.21285192299281	2.15995852709786e-16	3.69352908133734e-14	8.14304364715893e-14	1.0
transcript:AT2G09395.1	400	390	191	193	281.92248035561	-0.81194822240543	0.257069189375289	-3.15848128038435	0.0015859349438908	0.0123270397911513	0.0271771579021288	22.0
transcript:AT2G09735.1	467	531	203	196	333.828247983927	-1.09407747489869	0.252670817364	-4.3300508001387	1.49074947620978e-05	0.0001699454402879	0.0003746750350207	15.0
transcript:AT3G15536.1	233	127	0	0	81.2480745735448	-9.69912715753093	1.51279447163072	-6.41139780678584	1.44191400167228e-10	5.15367314817485e-09	1.13621916775551e-08	4.0
transcript:AT3G57157.1	232	158	16	30	100.205625509217	-2.87374287392035	0.448694720872353	-6.40467279921015	1.50692197315054e-10	5.15367314817485e-09	1.13621916775551e-08	5.0
transcript:AT3G61198.1	142	107	20	35	70.7474827172432	-1.97001335818913	0.484841003330563	-4.06321524923911	4.84013579435781e-05	0.0004868607181383	0.0010733712908664	17.0
transcript:AT5G24205.1	114	93	11	11	52.8102735007518	-3.00474038535474	0.581455025082082	-5.16762304174871	2.37089882544613e-07	4.50470776834765e-06	9.93143174659101e-06	9.0
transcript:AT5G04175.1	227	161	16	36	101.26256531744	-2.69754604118044	0.449547616113031	-6.0005791255318	1.9661501051556603e-09	5.60352779969364e-08	1.23539764940614e-07	6.0
transcript:AT5G05865.1	52	32	0	1	19.2289567755183	-6.16834779040432	1.6388772773876	-3.76376430103222	0.0001673746491505	0.0015900591669299	0.0035055690405414	18.0
