	WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT1G04053	67	106	22	32	57.3655746208888	-1.82602834378767	0.485442133927019	-3.76157777862396	0.0001688448987922	0.0016450969193138	0.0059072897699079	148.0
gene:AT1G04133	27	47	0	0	19.0644496323255	-7.79725115721968	1.6271984677737	-4.79182552813469	1.65270596840779e-06	2.45032768276491e-05	8.79874947389506e-05	97.0
gene:AT1G04157	58	54	21	6	35.7608534157948	-2.23756322207044	0.652490978662437	-3.42926307832991	0.000605222574883	0.0051337114881256	0.0184343676043789	170.0
gene:AT1G05562	4246	4375	3379	2828	3710.11262291847	-0.646677404808465	0.147105031961435	-4.39602504541108	1.10251218509743e-05	0.0001358822710179	0.0004879323157636	117.0
gene:AT1G04433	89	127	37	52	76.8795651443803	-1.43035168214032	0.417096040013475	-3.42931014663699	0.0006051176168609	0.0051337114881256	0.0184343676043789	169.0
gene:AT1G04833	1067	1347	571	513	881.904217256833	-1.3162863822706	0.169903937617728	-7.74723882640174	9.39122265536226e-15	3.56372186027168e-13	1.27967765551226e-12	38.0
gene:AT1G11175	225	268	163	151	201.996848710779	-0.814670893159867	0.262259142547938	-3.10635841040682	0.0018940699067509	0.0135210336907665	0.048551950381962	202.0
gene:AT1G05183	363	346	117	102	237.781804793311	-1.87007751859633	0.262044532131642	-7.13648746411115	9.57460339297121e-13	2.87637043597177e-11	1.03286034101677e-10	48.0
gene:AT1G05253	480	510	305	282	396.579196568706	-0.923441560506382	0.208329735118825	-4.43259604770139	9.31052042071986e-06	0.0001167458299711	0.0004192163020738	115.0
gene:AT1G18735	661	829	391	492	594.944911001427	-0.912451079030833	0.200662046133348	-4.54720310399143	5.43635303753359e-06	7.19194594506738e-05	0.0002582517066821	109.0
gene:AT1G05753	237	340	111	94	197.450625187035	-1.64874559970573	0.279940157940626	-5.88963588445006	3.870474455719041e-09	7.97317737878123e-08	2.8630452473876e-07	70.0
