	ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT1G06002	934	872	454	544	681.380616459168	-0.726520136844242	0.213456938458604	-3.40359110409118	0.0006650623048802	0.0063341451244113	0.0237496042391033	145.0
gene:AT1G05213	1273	1119	463	509	813.034701335907	-1.16640417132064	0.210018495505127	-5.55381643181117	2.79498999075064e-08	6.54217148682481e-07	2.4529590122215e-06	59.0
gene:AT1G05317	177	141	17	18	83.7812693420221	-3.04990163266856	0.457452854906485	-6.66713870064718	2.6083856648899398e-11	9.47942264003424e-10	3.5542686770526602e-09	38.0
gene:AT1G05333	609	492	252	297	400.059684618377	-0.87342944197439	0.246908798063829	-3.53745775291732	0.0004039988120815	0.0041949049585308	0.0157286154057009	133.0
gene:AT1G05347	2562	2201	721	882	1531.82641812898	-1.44242582524708	0.197658966807508	-7.29754813831339	2.93058895594111e-13	1.3490477827182198e-11	5.058196537954349e-11	30.0
gene:AT1G05787	358	314	4	9	161.291314977906	-5.56633591228014	0.508163690003214	-10.9538245683097	6.369996140316779e-28	9.77440518864164e-26	3.6648711127289202e-25	9.0
gene:AT1G05837	184	169	51	75	115.22234999691	-1.36329873488355	0.366601926722637	-3.71874405317841	0.0002002157928234	0.0022663771302392	0.008497683403605	122.0
gene:AT1G05933	189	165	23	31	97.0733784329618	-2.58557221864546	0.412546370142523	-6.26734933518435	3.6724566216342e-10	1.15265058965383e-08	4.3218137242777e-08	44.0
gene:AT1G28685	1046	1084	295	374	672.857812568245	-1.54408483524961	0.218197669508876	-7.07654137060706	1.4779664600635599e-12	6.37834900421182e-11	2.39153447819036e-10	32.0
gene:AT1G48315	767	722	277	162	465.45166829014	-1.60600114423385	0.29584991253359	-5.42843204001796	5.68512853380394e-08	1.22674414143488e-06	4.59962430438075e-06	64.0
gene:AT1G07867	137	212	51	66	112.232188660865	-1.45195385472937	0.390951072704739	-3.71390170305514	0.0002040880931931	0.0022914281032494	0.0085916109475926	123.0
gene:AT1G08043	708	637	143	178	398.732286578497	-1.93864453478177	0.247157387529478	-7.84376527912019	4.37234029317854e-15	2.51591747703315e-13	9.4333241825327e-13	24.0
gene:AT1G55525	41	81	3	2	30.0683589474101	-4.47331532307011	0.906664995796535	-4.93381275753362	8.06397492921288e-07	1.42773709964654e-05	5.35323874146978e-05	78.0
gene:AT1G08317	501	467	221	221	341.927776834056	-0.99503096477595	0.251247290057577	-3.96036496372925	7.48353017885379e-05	0.0009395231979088	0.003522701751464	110.0
gene:AT1G08857	944	530	120	153	416.164618718475	-2.30335608808504	0.300360086316288	-7.66864904166907	1.7381731041089e-14	8.89043354360884e-13	3.3334297529910598e-12	27.0
gene:AT1G08947	25	30	0	0	12.9454677087129	-7.09101372100966	1.71044574089684	-4.14571099887192	3.38760883288869e-05	0.0004498353652133	0.0016866383208363	104.0
gene:AT1G08973	120	119	27	49	75.5311376051151	-1.53640384031649	0.445273252646727	-3.45047413287016	0.0005596027919053	0.0055960079948914	0.0209819908744009	138.0
gene:AT1G68568	389	357	140	98	237.609616417108	-1.49989475618548	0.309191405194792	-4.85102344691807	1.22826023615735e-06	2.04364745317265e-05	7.66256807569006e-05	83.0
gene:AT1G09297	233	230	49	42	132.542092343667	-2.2077148927791	0.358596211826606	-6.15654828458312	7.4347514705385e-10	2.18455144272631e-08	8.19088151371242e-08	47.0
gene:AT1G09433	75	65	16	11	39.9740956852684	-2.2292461637543	0.598869289903235	-3.72242524594057	0.0001973183373458	0.0022520382138401	0.008443920254355	121.0
gene:AT1G09623	174	163	69	56	111.773010264079	-1.28840547107852	0.373278564626748	-3.45159243838936	0.0005572888240531	0.0055960079948914	0.0209819908744009	136.0
gene:AT1G09627	825	643	337	336	519.052601216858	-0.988123149912809	0.2398861449412	-4.11913389226799	3.80299132603445e-05	0.000500183906786	0.0018754180082101	105.0
gene:AT2G04725	315	224	37	74	154.779931871433	-2.16479480816826	0.374397593359864	-5.78207458210742	7.378498011625931e-09	1.85267377346462e-07	6.94652049167256e-07	55.0
gene:AT2G04805	120	75	5	12	50.0881727639642	-3.40177636617715	0.619228122421572	-5.49357537715513	3.93876877828398e-08	8.63403124255583e-07	3.2372928149134e-06	63.0
gene:AT2G07042	799	674	86	41	379.825391927384	-3.37769842703124	0.332785335996874	-10.1497814406791	3.32106339106313e-24	3.8219904525484896e-22	1.43303885324374e-21	12.0
gene:AT2G19572	2749	2205	456	545	1421.92957644474	-2.17716311833748	0.20660443532771	-10.5378333959003	5.78154962704592e-26	7.98432003495041e-24	2.99368639688438e-23	10.0
gene:AT2G21188	208	142	25	21	94.1826275807978	-2.78705062484219	0.440536529397817	-6.32649153669934	2.50798049030007e-10	8.2464787073914e-09	3.0919816616128e-08	42.0
gene:AT2G08340	939	876	492	375	652.797061847669	-0.918994399002564	0.245466296993899	-3.74387201117636	0.0001812059830724	0.002102903047252	0.0078847443726799	119.0
gene:AT2G08435	1053	977	302	501	681.964798120459	-1.2212496846444	0.243817439549541	-5.00886928720397	5.47507402903245e-07	9.94878583433397e-06	3.73025438451711e-05	76.0
gene:AT2G08440	190	172	75	75	123.907437811627	-1.13533493216782	0.349240691850771	-3.25086669068031	0.0011505379198972	0.0102509217250202	0.0384353893498584	155.0
gene:AT2G08475	771	553	168	189	403.086108347683	-1.75811164939039	0.262561015640783	-6.69601176358833	2.14184489192723e-11	7.99429133986893e-10	2.9974250947024803e-09	37.0
gene:AT2G33815	904	1006	151	273	557.204231871272	-2.05771250492904	0.264674028738433	-7.77451612739306	7.573634196842e-15	4.04659308817307e-13	1.5172526437769798e-12	25.0
gene:AT2G35945	1583	1320	518	709	996.776638776287	-1.1180008427497	0.21650719684023	-5.16380452505105	2.41980396552082e-07	4.77392753769179e-06	1.78996356192383e-05	70.0
gene:AT2G08820	108	52	1	0	37.8238004152018	-7.18275014300802	1.53978556017379	-4.66477302345745	3.08957873543045e-06	4.90426233750512e-05	0.0001838832033569	87.0
gene:AT2G08915	1362	1011	497	358	780.84285344655	-1.32246907193801	0.261540555674813	-5.0564589056785	4.2711285270252e-07	8.08003903537233e-06	3.02957582368993e-05	73.0
gene:AT2G39675	675	562	111	148	357.201646152904	-2.12936835507789	0.262726474740783	-8.10488686828693	5.2794619112623e-16	3.47187471402535e-14	1.30176446554839e-13	21.0
gene:AT2G42247	325	371	63	104	206.341315878538	-1.94091004448291	0.316439168277372	-6.13359608751601	8.59144861487434e-10	2.43152413810572e-08	9.11689499428776e-08	48.0
gene:AT2G42365	639	502	105	137	330.263498537133	-2.10978670494535	0.271398192667833	-7.77376844040941	7.61849531444604e-15	4.04659308817307e-13	1.5172526437769798e-12	26.0
gene:AT2G09395	400	390	191	193	285.067696532804	-0.905433671068848	0.262541850539066	-3.44872129608959	0.0005632477272193	0.0055960079948914	0.0209819908744009	139.0
gene:AT2G09455	106	129	32	38	73.3212821795257	-1.61843490132424	0.440255180327229	-3.67612914882978	0.0002367996760108	0.0025953996235789	0.0097313390665401	126.0
gene:AT2G09735	467	531	203	196	338.12671818289	-1.18636060041411	0.257864004171818	-4.60072201323464	4.21029003827733e-06	6.47002121185975e-05	0.000242590657748	89.0
gene:AT3G01055	34	41	4	4	19.7215566335828	-3.09587352547918	0.883233247760546	-3.50515963176071	0.0004563335808644	0.0046681235198059	0.017502928012712	135.0
gene:AT3G12502	1614	850	107	193	654.66841794931	-2.92077913207463	0.314190323700673	-9.29620969122283	1.4554164035206e-20	1.2562062832887099e-18	4.71009133589353e-18	16.0
gene:AT3G02705	98	81	1	1	42.5970096633941	-6.35114143387435	1.14511873892291	-5.54627325359132	2.91822642960015e-08	6.71678449879635e-07	2.51842940874493e-06	60.0
gene:AT3G03125	196	155	7	3	85.1490634758222	-4.9904395106607	0.605966378071996	-8.23550561755387	1.78800857071384e-16	1.23461991807791e-14	4.62915418957813e-14	20.0
gene:AT3G15536	233	127	0	0	84.5184361543785	-9.79807487497804	1.50705964448039	-6.50145129349294	7.954879324784309e-11	2.8168431660326e-09	1.05616320881367e-08	39.0
gene:AT3G21781	773	536	76	64	343.929183903222	-3.0832281549622	0.298951267814555	-10.3134807806695	6.12421893954128e-25	7.68867850500591e-23	2.88283687899498e-22	11.0
gene:AT3G22121	36692	45436	15961	16019	27600.0237444801	-1.22554878888363	0.190442900302966	-6.4352558532451	1.23265516344467e-10	4.25574195179271e-09	1.59567210907912e-08	40.0
gene:AT3G07925	372	336	111	89	218.533583880181	-1.680569276586	0.303930453288314	-5.52945339436512	3.21230126277879e-08	7.27243941622543e-07	2.72676982601124e-06	61.0
gene:AT3G08635	110	96	27	27	62.39726854927	-1.79623789181701	0.472379884653385	-3.80252832555525	0.0001432268847592	0.0016905669047227	0.006338707771654	117.0
gene:AT3G57157	232	158	16	30	103.30374946432	-2.96364005871261	0.439238712999618	-6.74721961202719	1.50705085834018e-11	5.78121454268832e-10	2.1676414845793e-09	36.0
gene:AT3G57965	410	455	184	250	314.742524976631	-0.871087560594222	0.262184073736366	-3.32242743878534	0.0008923787772229	0.0082709737674155	0.0310116597883255	149.0
