	WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT4G28520	2	4	188	199	96.9978690140646	5.99389011592342	0.682746526019196	8.77908548414188	1.64809232169512e-18	4.196043051035791e-15	5.697249144559831e-15	8.0
gene:AT5G09440	602	784	1408	1925	1160.76749445829	1.23674585368502	0.170811561852254	7.24041066233422	4.47328171329856e-13	5.69448762102906e-10	7.73178786132947e-10	16.0
gene:AT3G44300	860	886	1949	1971	1409.14509770679	1.14010567329865	0.166308629144167	6.85536089838332	7.1132708186464585e-12	6.5855954560996e-09	8.941704749530361e-09	22.0
gene:AT5G24030	668	943	1335	2861	1410.56813142297	1.33433407320381	0.256294319510346	5.20625691491359	1.92687823721319e-07	7.52443989825935e-05	0.0001021643683161	52.0
gene:AT4G30270	3091	3121	5086	5606	4201.6735277842	0.750715628649312	0.14612161208101	5.13760844790787	2.78256893553672e-07	0.0001000582105429	0.0001358557449216	56.0
gene:AT2G27380	0	4	54	61	29.2424588905346	4.8494782784798	0.956190962082459	5.07166295309701	3.94354378407201e-07	0.0001338701663232	0.0001817645055808	60.0
gene:AT4G33720	0	0	17	80	22.8413916749911	7.95234582422242	1.66890222888488	4.76501600068926	1.88838663560439e-06	0.0004931110127434	0.000669529902662	78.0
gene:AT3G62150	378	475	681	1019	627.450907136715	0.959502354262089	0.202373598075379	4.74124274800263	2.12411244248432e-06	0.0005407990278565	0.0007342791199612	80.0
gene:AT3G24480	1257	1791	2251	2949	2031.07250393538	0.74896342831843	0.163816529693085	4.57196492760306	4.83171824746112e-06	0.0010042085435131	0.001363481307485	98.0
gene:AT1G76160	1697	2367	2894	5389	3014.22393576807	0.986617754362471	0.217214935406892	4.54212668440278	5.56895568138931e-06	0.0011208724596283	0.0015218837328663	100.0
gene:AT4G02380	2444	3189	4992	4393	3737.62117506647	0.730681744261405	0.171261672281576	4.26646391178564	1.98595602053563e-05	0.0031601525176773	0.0042907510740557	128.0
gene:AT4G25140	0	0	23	28	12.523844832829	7.0816320405171	1.70621627209948	4.15048910054248	3.31765567496955e-05	0.0049324095465532	0.0066970633351301	137.0
gene:AT5G64570	2017	1860	2779	3756	2579.97347932801	0.704681206876388	0.174284209648064	4.04328773271752	5.27068734938135e-05	0.0072536054008242	0.0098487066653473	148.0
gene:AT5G26200	37	49	129	124	84.1134426908324	1.5443370496827	0.389145514266949	3.96853360263406	7.23162612719705e-05	0.009322389934098	0.0126576342118756	158.0
gene:AT5G11090	503	632	1122	914	791.010863432628	0.838271690944257	0.211343606461773	3.9663924780042	7.29686703280818e-05	0.0093473325612727	0.0126915004900824	159.0
gene:AT2G23120	857	1070	1383	1581	1211.14438504102	0.598846830818267	0.153438919538093	3.90283529511947	9.50724010494901e-05	0.0116652690637109	0.0158387183796605	166.0
gene:AT5G14920	2056	2252	2728	5154	2987.89956364202	0.8159261057146	0.215669008488391	3.78323298017351	0.0001548043856972	0.0173343378750653	0.0235359934178579	181.0
gene:AT2G43150	6532	9369	10939	12479	9715.55654056419	0.544794562995307	0.146250998725264	3.72506559096198	0.0001952644437814	0.0210431015393628	0.0285716306496012	189.0
gene:AT5G07440	4114	4495	6709	6288	5386.28071266919	0.574713217906744	0.155681723718437	3.69159079293187	0.0002228558144585	0.0231708505352457	0.0314606182026817	195.0
gene:AT1G75750	1760	2068	2346	4848	2692.86477867715	0.854414355974821	0.234364479919191	3.64566489030003	0.0002667013389461	0.0259912577591178	0.0352900742993128	209.0
gene:ATCG00170	271	316	834	441	469.695894852055	1.13135934326892	0.317627249823666	3.56190894797915	0.0003681680779175	0.0337785919415504	0.0458634603369784	222.0
gene:AT4G02420	60	68	116	217	112.643041574927	1.3289619338462	0.373770975864906	3.55555144636627	0.000377187125456	0.0344508850730467	0.0467762778228155	223.0
gene:AT3G58620	314	364	456	838	483.068945312723	0.882704848555619	0.249911702384732	3.53206688655468	0.0004123250491664	0.0361992956957896	0.0491502122185321	232.0
