	WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT1G01010	117	165	462	429	280.348268681991	1.44776642068166	0.230350084682643	6.28507006053968	3.27705870963212e-10	3.5887675641454703e-09	4.295121261368541e-09	2110.0
gene:AT1G01040	710	771	1322	1180	974.916991169915	0.53186591619292	0.147902421302661	3.59605956081363	0.0003230738584368	0.0014906684598441	0.0017840670038079	5008.0
gene:AT1G01300	766	857	1416	1421	1090.27738065783	0.583710230295267	0.140161329582572	4.16455974007717	3.11953939751327e-05	0.0001757436992323	0.0002103341845444	4101.0
gene:AT1G01340	84	90	390	207	183.883512936279	1.54918152100925	0.324280741256153	4.77728500005351	1.77677862139435e-06	1.22372648597792e-05	1.46458458344742e-05	3355.0
gene:AT1G01470	939	1253	2222	1915	1537.59385720571	0.702373380780584	0.138789662742082	5.06070385145205	4.17711590746385e-07	3.13276914228391e-06	3.74937164624839e-06	3081.0
gene:AT1G01480	53	61	410	274	187.829323322341	2.3611324484474	0.303338937160876	7.78380932743616	7.037279450729111e-15	1.15572435158491e-13	1.38319803276413e-13	1407.0
gene:AT1G01490	945	1098	1854	1719	1371.52882614596	0.585699091399689	0.132102749299414	4.43366314861615	9.26453397847881e-06	5.69804595796406e-05	6.81955515503943e-05	3757.0
gene:AT1G01560	19	31	777	467	298.962063993514	4.42127422410706	0.327742519538611	13.4900843208603	1.78895835965649e-41	1.01566242792586e-39	1.21556863479853e-39	407.0
gene:AT1G01630	433	558	1026	913	711.434205181606	0.752538605323888	0.161981087387405	4.64584240951579	3.38691487524285e-06	2.23157804454624e-05	2.67080498645112e-05	3507.0
gene:AT1G01640	120	127	304	262	196.884856332303	0.970712225291785	0.261900589282271	3.70641481927164	0.0002102138924533	0.0010075528755276	0.0012058629321295	4821.0
gene:AT1G01650	531	664	1225	1122	860.430094952805	0.756748498262289	0.150772268687204	5.01914911045253	5.19008532880889e-07	3.84752331385264e-06	4.60480621649694e-06	3117.0
gene:AT1G01730	316	378	648	602	474.035055689761	0.629713967722285	0.180860285759122	3.48177027963433	0.0004981108120474	0.002205373928718	0.0026394432855281	5219.0
gene:AT1G01800	767	895	1661	1660	1211.50916261248	0.778884428287624	0.135679852334433	5.74060492318179	9.43389482663095e-09	8.7792592734177e-08	1.05072235775465e-07	2483.0
gene:AT1G02120	1093	1301	1924	1716	1480.32362548393	0.384701725056199	0.131700159150118	2.92104221846611	0.0034886254903472	0.0125975416792396	0.0150770335889285	6399.0
gene:AT1G02170	379	438	785	704	562.303720771007	0.644689271819053	0.171888733169786	3.75061971736246	0.0001763980585071	0.000858313744483	0.0010272500369445	4748.0
gene:AT1G02205	1158	1333	2718	2963	1979.10413167663	0.969673482601049	0.127641158513736	7.59687152554868	3.03375451945346e-14	4.76877317557898e-13	5.70737967588336e-13	1470.0
gene:AT1G02220	62	126	980	666	427.708662046277	2.92967510410681	0.26040307944733	11.2505393957884	2.3018006961517798e-29	8.4828881476841e-28	1.01525196574286e-27	627.0
gene:AT1G02230	7	8	98	76	44.062257605328	3.31374698884054	0.610351567219203	5.42924302453775	5.65935764838028e-08	4.79892760297699e-07	5.74346920242042e-07	2725.0
gene:AT1G02305	1498	1721	2732	2607	2094.69983855016	0.508825352587598	0.120357485365924	4.22761701144395	2.36179358036609e-05	0.0001359590539649	0.0001627189872073	4014.0
gene:AT1G02310	8	13	69	48	32.4592505004454	2.26698002673697	0.646476996303114	3.50666773868324	0.0004537553465694	0.0020323560366697	0.0024323714110054	5159.0
gene:AT1G02450	2	4	205	145	82.0509905041646	5.64892547643159	0.700725252853378	8.06154117241953	7.53385101859419e-16	1.3268650570629301e-14	1.58802324633554e-14	1312.0
gene:AT1G02470	39	33	238	157	110.366221217152	2.21971380892976	0.379953596312724	5.84206553239939	5.15575155422325e-09	4.93104102497668e-08	5.90158564702169e-08	2416.0
gene:AT1G02475	799	904	1378	1587	1141.72175439467	0.579781024786364	0.147914037824277	3.91971602773193	8.86533652270706e-05	0.0004579730181761	0.0005481128583399	4473.0
gene:AT1G02500	6188	6899	14147	13391	9863.85235559493	0.85021520553323	0.103467138983268	8.21724862490613	2.08225094144208e-16	3.8186168653890704e-15	4.570210300442921e-15	1260.0
gene:AT1G02850	2996	3789	6259	6009	4641.77328151074	0.638817352114961	0.109573481670067	5.83003608517689	5.54153911765709e-09	5.26947919307417e-08	6.3066363908974e-08	2430.0
gene:AT1G02880	214	261	469	353	316.344869014616	0.571121619680491	0.224191461613736	2.54747266273899	0.0108506354256719	0.0335060313752505	0.0401008048505887	7483.0
gene:AT1G02920	228	356	30950	23146	12597.7845244322	6.32362718588844	0.15490814302235	40.821786786096	0.0	0.0	0.0	4.5
gene:AT1G02930	263	372	45756	36115	19007.5436663817	6.79658230729753	0.139005576865445	48.8943138869637	0.0	0.0	0.0	4.5
gene:AT1G02940	4	2	679	605	297.358260124661	7.51829610897244	0.625741323461833	12.0150225453841	2.96288824394229e-33	1.2749247421373301e-31	1.52585985821646e-31	537.0
gene:AT1G03010	14	28	60	75	42.1923278887277	1.48879810978165	0.554097718503098	2.68688727649639	0.0072121287332629	0.023668606538774	0.0283271438884232	7041.0
gene:AT1G03030	166	219	385	394	282.381806615172	0.803042077221672	0.223216274759898	3.59759644804333	0.0003211714163953	0.0014824826046037	0.0017742699801062	5006.0
gene:AT1G03060	1267	1696	2555	1967	1831.13191336372	0.395278997266317	0.147745442478763	2.67540568855878	0.0074638870058178	0.0243874486769561	0.0291874710330731	7072.0
gene:AT1G03080	1479	2167	3811	2969	2529.41140034661	0.685605588520765	0.149158915678715	4.59647742410213	4.29693506935052e-06	2.78277126254155e-05	3.33048596813029e-05	3568.0
gene:AT1G03210	137	216	427	447	295.080567765778	1.10278539263394	0.232701558226014	4.73905461158471	2.14717635035682e-06	1.46442750672063e-05	1.75266121514515e-05	3388.0
gene:AT1G03230	869	1115	1731	1768	1336.98390063697	0.603962741523255	0.135254520256988	4.46537934832572	7.99270046816411e-06	4.97005731210624e-05	5.94828125530351e-05	3716.0
gene:AT1G03250	359	400	826	858	592.341054677438	0.928010284314922	0.169790410947247	5.46562246441142	4.61285188842906e-08	3.95213824938563e-07	4.73001182701171e-07	2697.0
gene:AT1G03290	632	637	1231	1038	865.0445229544	0.609228081729673	0.16182927647058	3.76463452730341	0.0001667928536648	0.0008153337147523	0.0009758105284752	4727.0
gene:AT1G03370	502	676	1131	900	781.677906772624	0.571484374709642	0.169266628293579	3.37623771720938	0.0007348439819321	0.003136320629942	0.0037536221500432	5414.0
gene:AT1G03900	1032	1168	1947	1922	1482.89519043402	0.592877745653747	0.129521950739251	4.57743063835802	4.707217928663e-06	3.03148508020111e-05	3.62815250326575e-05	3588.0
gene:AT1G03905	26	43	118	123	73.8172809246522	1.59928574093419	0.419421789368484	3.81307261919369	0.0001372497634261	0.0006839401085806	0.0008185555763534	4637.0
gene:AT1G03970	487	561	811	817	656.68307571929	0.415065248440359	0.16138873514605	2.5718353146813	0.0101160999821317	0.0315882057144751	0.0378055060818717	7400.0
gene:AT1G04120	1112	1483	4213	3525	2473.90528781191	1.361978185033	0.132471837267706	10.2812659137553	8.55958573733533e-25	2.51957130742175e-23	3.0154820836434203e-23	785.0
gene:AT1G04200	283	486	789	690	543.728517149446	0.742398036047461	0.204034770766392	3.63858588052849	0.0002741392118609	0.0012843744461621	0.0015371694858101	4932.0
gene:AT1G04220	140	209	315	356	247.506007123062	0.736272130518355	0.245650230262553	2.9972376974018	0.002724381974717	0.0101065212133366	0.0120957218226002	6228.0
gene:AT1G04370	0	0	24	4	6.38980073583384	6.01265665165457	2.00694770468619	2.99592093885412	0.002736173649655	0.0101451804432892	0.0121419900964713	6232.0
gene:AT1G04410	8629	9732	19985	20943	14371.2800499493	0.935018239424018	0.103845777866821	9.00391194164053	2.1781486213911603e-19	4.80252673611503e-18	5.747776729443939e-18	1048.0
gene:AT1G04500	2	0	22	23	10.9598362917622	4.23301000405	1.40522389079869	3.01233848340287	0.0025924335307769	0.0096805691007857	0.0115859323357524	6188.0
gene:AT1G04555	331	373	640	916	548.733385138357	0.925858314430424	0.207652632340553	4.4586880695642	8.24628242534939e-06	5.11672524174405e-05	6.12381687628994e-05	3724.0
gene:AT1G04580	6	10	90	11	27.2594912567763	2.43871617483948	0.883391518059335	2.76062892271927	0.005769018332969	0.0195003959362075	0.0233385315971705	6836.0
gene:AT1G04690	1464	1851	2770	2603	2124.64081918135	0.480710918541378	0.122031181909119	3.93924660091696	8.17378821659557e-05	0.0004247171673507	0.000508311475444	4447.0
gene:AT1G04750	852	1065	1494	1458	1193.3272620809	0.406456204549008	0.136492096482074	2.97787355476944	0.0029025570213452	0.0106849426624542	0.0127879901904259	6277.0
gene:AT1G04780	1279	1443	2681	2359	1892.22651986739	0.665877558967056	0.127619552666864	5.2176766416448	1.81181407657075e-07	1.42885965417476e-06	1.7100927743196e-06	2930.0
gene:AT1G04800	238	305	486	424	354.717462738291	0.528557495780219	0.20474223244145	2.5815753275591	0.0098350525362589	0.030869133245767	0.0369449032722415	7362.0
gene:AT1G04850	815	1050	1995	1835	1380.74502998832	0.822810034739929	0.135095527483051	6.09057938534019	1.1250277900518901e-09	1.16261257355675e-08	1.39144201851006e-08	2236.0
gene:AT1G04910	383	516	767	795	599.958613736291	0.584817269126546	0.171584467612573	3.40833454952942	0.0006536070767273	0.0028145543648787	0.003368524731065	5366.0
gene:AT1G04980	186	227	593	462	353.383065864444	1.13317529869736	0.214920696496252	5.27252757491936	1.34557612173022e-07	1.07846782673674e-06	1.29073561035204e-06	2883.0
gene:AT1G04990	491	589	1962	2042	1212.62491204182	1.67237710745892	0.139638554248805	11.976471086052	4.71990498615155e-33	2.0196823058333997e-31	2.4172031924448404e-31	540.0
gene:AT1G05000	269	324	1016	690	551.11464444118	1.30276838531274	0.204772211306631	6.36203700199312	1.99095461510945e-10	2.2321682819667203e-09	2.67151139645084e-09	2061.0
gene:AT1G05010	4604	5410	15376	12585	9122.55979378294	1.25997377616293	0.116714114484402	10.7953847889692	3.61943190823923e-27	1.2068429019290602e-25	1.4443779137425101e-25	693.0
gene:AT1G05170	119	176	267	297	208.492658532635	0.727450792516293	0.260635396170035	2.79106676685508	0.0052534634199166	0.0179787381515543	0.021517375842006	6751.0
gene:AT1G05180	414	614	846	869	668.544821163988	0.531220349093064	0.174262783967073	3.04838667786599	0.0023007366974428	0.0086811108536596	0.0103897572449023	6124.0
gene:AT1G05205	131	205	279	337	231.259205619251	0.670678947754998	0.259634199931187	2.5831687348306	0.0097897430448584	0.0307478037974098	0.0367996933404322	7357.0
gene:AT1G05300	56	89	421	436	235.991312929067	2.35567641824486	0.262842112870383	8.96232492015665	3.17903488998605e-19	6.9169453110082595e-18	8.27836251248251e-18	1062.0
gene:AT1G05350	243	342	554	559	412.341123375557	0.717455988697213	0.196707613564656	3.64732190938503	0.0002649878552766	0.0012455399454593	0.0014906914437909	4916.0
gene:AT1G05500	491	683	987	908	749.32936219553	0.47932531830869	0.16282162128015	2.9438677402921	0.0032413848608452	0.011798120656074	0.0141202677432694	6348.0
gene:AT1G05620	186	231	531	572	365.981752889385	1.18714026687759	0.203892981630265	5.82236944786224	5.80191178128378e-09	5.50574026817759e-08	6.58939919143338e-08	2435.0
gene:AT1G05675	84	166	324	207	187.70030104922	0.88874517404026	0.319553761259935	2.78120705115821	0.0054157184268848	0.0184549144204502	0.0220872747780997	6780.0
gene:AT1G05710	162	234	816	753	466.770301610631	1.77532939162029	0.194799079958313	9.11364361679844	7.96606590627537e-20	1.79933416320924e-18	2.15348536303075e-18	1023.0
gene:AT1G05720	158	183	369	355	258.3771887348	0.865777683270311	0.229084651050476	3.77929153830366	0.0001572751981147	0.0007727318738758	0.0009248236453038	4703.0
gene:AT1G05870	207	241	393	439	312.162269295458	0.674176135317247	0.215703831103491	3.12547130882338	0.0017752038614738	0.0068963745169932	0.0082537429033386	5948.0
gene:AT1G05940	511	659	843	975	732.163398752176	0.422593569124721	0.166604400064273	2.53650905355256	0.0111963847621523	0.0344356266070883	0.0412133662448187	7513.0
gene:AT1G06010	107	147	219	259	178.010566039149	0.701647220867022	0.277008837737243	2.53294164402282	0.0113109781627861	0.0347187529765541	0.0415522185297357	7528.0
gene:AT1G06180	168	120	1038	762	492.862114947458	2.39856475584488	0.239103867200908	10.0314762112546	1.10846785035972e-23	3.0896702796456097e-22	3.69778991576576e-22	829.0
gene:AT1G06210	419	503	724	731	582.549515665374	0.439908681590595	0.16783299298128	2.62110967442296	0.0087644061293119	0.0279877186885036	0.0334963586934941	7236.0
gene:AT1G06290	1069	1391	2451	2167	1720.74541293553	0.693536662594666	0.132083705245225	5.25073597312444	1.51492694147103e-07	1.20376261473766e-06	1.44069135372701e-06	2908.0
gene:AT1G06350	31	24	282	323	154.582348688343	3.22872631876113	0.343064225089999	9.41143401913769	4.89413459123152e-21	1.19670653967817e-19	1.43224647746569e-19	945.0
gene:AT1G06490	91	145	256	196	166.522731086695	0.730305913037646	0.296121459955703	2.46623771592539	0.013654068486629	0.040840429041855	0.0488787841412776	7725.0
gene:AT1G06550	345	460	937	667	583.704449265667	0.778637875044913	0.195888387551246	3.97490573473231	7.0407137302973e-05	0.0003696654673164	0.000442424308592	4401.0
gene:AT1G06620	281	362	793	650	504.002434920095	0.94949236717603	0.18692825346054	5.07944812835084	3.78532858558829e-07	2.85375489811382e-06	3.4154408494109e-06	3065.0
gene:AT1G06650	1297	1529	2146	2078	1731.52973931413	0.360271507767229	0.124262354398859	2.89928119831711	0.0037401929059086	0.0133970915326043	0.0160339536215939	6451.0
gene:AT1G06800	128	155	299	259	204.322176140395	0.760204571782384	0.254807761868329	2.98344354272542	0.0028502461445962	0.0105091172272515	0.0125775581823535	6267.0
gene:AT1G07000	228	344	800	549	462.025495886143	1.02764522875603	0.221102222402791	4.64782858167714	3.35447488988179e-06	2.21272769855833e-05	2.64824444989097e-05	3503.0
gene:AT1G07010	376	386	731	776	553.097862379909	0.758123452756823	0.178016911225925	4.25871591376322	2.05604567261485e-05	0.0001193095111931	0.0001427924235965	3982.0
gene:AT1G07020	175	180	341	306	244.79717970701	0.639133661433518	0.237729035175324	2.68849642603462	0.0071774604009627	0.0235749221727145	0.028215020240032	7035.0
gene:AT1G07090	108	133	255	237	177.879324930299	0.811745133412757	0.26861420227888	3.02197399290894	0.0025113212342417	0.0094065650445168	0.0112579978494011	6169.0
gene:AT1G07140	1998	2256	3321	3153	2634.97154619863	0.383658564090654	0.116438720134216	3.29493972149832	0.0009844279392989	0.0040743643907185	0.0048762949420228	5583.0
gene:AT1G07220	204	252	582	521	376.126658528164	1.05627733200085	0.200186257959169	5.27647273478831	1.31694096475673e-07	1.05735075999422e-06	1.26546220918511e-06	2878.0
gene:AT1G07380	219	245	475	483	345.584115244204	0.824263603646405	0.20465214696364	4.02763233064372	5.63413577413657e-05	0.0003014308296665	0.0003607594925532	4319.0
gene:AT1G07390	119	131	543	547	318.496214931014	1.90228300085578	0.219113176447859	8.68173713555035	3.8976940482457695e-18	7.92119757016843e-17	9.48027518946674e-17	1137.0
gene:AT1G07620	23	37	343	253	152.970003565712	3.10006443453666	0.343761147007218	9.01807682900116	1.9142006352140802e-19	4.2326731175016e-18	5.06576254228185e-18	1045.0
gene:AT1G07630	343	412	1079	925	663.790599400917	1.18857812011367	0.167384480683181	7.10088602756054	1.23959575052194e-12	1.7244635163943698e-11	2.0638784154536e-11	1661.0
gene:AT1G07650	486	697	1428	1224	925.40384468546	0.954093693048271	0.161498951140597	5.90773925347454	3.4683440405756104e-09	3.38441831695864e-08	4.05055128556243e-08	2368.0
gene:AT1G07670	1095	1369	2531	2081	1720.99866611366	0.68649077307717	0.137138312305055	5.00582777736186	5.56224731812605e-07	4.10891460293921e-06	4.91764544701969e-06	3128.0
gene:AT1G07700	378	473	744	799	583.554393268304	0.642875919115733	0.17141041681164	3.75050671408247	0.0001764775793022	0.0008584984052498	0.0010274710432849	4750.0
gene:AT1G07705	332	402	702	673	513.523937372725	0.687252643511795	0.175531646339448	3.91526347438665	9.03055367872316e-05	0.0004660911410637	0.0005578288183718	4477.0
gene:AT1G07750	438	481	1083	1085	746.974423846982	1.01544582189102	0.157476338717241	6.44824378165353	1.13153655423606e-10	1.3040606064205802e-09	1.56073034450864e-09	2005.0
gene:AT1G07770	3012	3153	6420	6772	4703.84020544564	0.871919947977363	0.117320233698131	7.43196565923015	1.06995582542684e-13	1.6054200816972798e-12	1.9214044384532097e-12	1540.0
gene:AT1G07810	1063	1206	1733	1614	1380.77320413982	0.338809038184555	0.132018319204082	2.56637897094269	0.0102766481547253	0.0319599608225085	0.0382504313215247	7430.0
gene:AT1G07890	6362	7815	19175	19443	12698.4812665835	1.22898765067987	0.10180760752091	12.0716681258565	1.4908128494291e-33	6.47522791574402e-32	7.74970476521836e-32	532.0
gene:AT1G07900	3	0	172	64	54.927098626045	5.99569279002353	1.57485401858806	3.80714194411428	0.0001405820643544	0.0006982867070159	0.0008357259221243	4652.0
gene:AT1G08050	72	78	558	399	260.446087818682	2.44791252563706	0.263761286339117	9.28078778964469	1.68230058600121e-20	3.96662445313572e-19	4.747349255700361e-19	980.0
gene:AT1G08165	26	7	128	48	49.652857935467	2.12901063339209	0.656494942355096	3.24299624572052	0.0011827976973918	0.0048050116725798	0.0057507507597349	5688.0
gene:AT1G08230	251	262	820	665	480.101954388448	1.30640706627835	0.193857972653651	6.73899065586739	1.59490657505842e-11	1.99423735010145e-10	2.38675007214505e-10	1848.0
gene:AT1G08260	252	342	619	423	397.974305589306	0.595382954671013	0.222695616304709	2.67352795061922	0.0075058021112918	0.0245070749449795	0.0293306425586796	7077.0
gene:AT1G08290	30	39	113	110	69.823728196658	1.47694267456371	0.420239853882028	3.51452310131996	0.0004405443523595	0.0019762489516545	0.0023652211346348	5151.0
gene:AT1G08310	42	83	918	735	413.236149300042	3.52070913297636	0.249275789471231	14.1237508080691	2.71165690818505e-45	1.7453553252766599e-43	2.08888222272584e-43	359.0
gene:AT1G08430	180	195	1102	1057	598.41788562533	2.30225827969503	0.17687900248139	13.0160066904338	9.92259380784686e-39	5.15239045208803e-37	6.16650183721359e-37	445.0
gene:AT1G08440	4	2	41	33	18.6956193744653	3.3819665807414	0.940926799866215	3.5942929686159	0.000325273669923	0.0014999199143709	0.0017951393617487	5011.0
gene:AT1G08450	647	840	3710	3032	1949.06669702099	1.96457131784255	0.139259358638973	14.107283970305	3.4251762794165203e-45	2.19239745951461e-43	2.62391274258349e-43	361.0
gene:AT1G08480	607	657	1124	1167	868.498324580958	0.634616084857534	0.151722721189883	4.1827359796909	2.8802180695452e-05	0.0001633207335778	0.0001954660876399	4075.0
