	ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT1G01120	512	614	642	1241	753.409768501689	0.908718522028563	0.2759242947541	3.29336176373452	0.0009899700856143	0.0049962020226243	0.0062835948399507	4357.0
gene:AT1G01180	166	147	257	244	206.837890453578	0.883803770018218	0.279465802377025	3.16247556051915	0.001564338658009	0.0074438958560832	0.0093619964482232	4621.0
gene:AT1G01240	286	242	296	436	315.413273305896	0.655835080701908	0.25335844927706	2.58856605166825	0.0096376461644018	0.0352381445808167	0.0443181085261943	6014.0
gene:AT1G01390	0	6	52	50	28.7208405968592	4.28213149242032	0.951692808028165	4.49948918001448	6.81169466031624e-06	5.67142574349466e-05	7.13280635482945e-05	2641.0
gene:AT1G01430	635	798	1325	1272	1028.7616000109	1.05980721661537	0.212099900634013	4.99673603545961	5.83087952008748e-07	5.90853501231353e-06	7.43101258654467e-06	2170.0
gene:AT1G01440	374	267	457	626	434.703154940464	0.946024019574397	0.248276080556973	3.81037117007858	0.0001387583067176	0.0008705153798613	0.0010948248137735	3505.0
gene:AT1G01450	122	110	173	182	148.577854900657	0.813660116113405	0.304301490340308	2.67386175205211	0.0074983355623693	0.028600329693138	0.035969899388955	5765.0
gene:AT1G01540	1211	1044	1402	2236	1479.25985608015	0.869625796554803	0.209710845752636	4.14678503361991	3.37176356446144e-05	0.0002450155618603	0.000308149773216	3026.0
gene:AT1G01580	16	36	59	79	48.642182180566	1.58934522504174	0.579436093065475	2.74291719839784	0.0060896038782208	0.0240014876641329	0.0301860539975258	5579.0
gene:AT1G01610	471	532	974	1211	812.615576231185	1.31315305137196	0.188608751315297	6.96231241771364	3.3473214857691997e-12	6.827852704135339e-11	8.587214813445939e-11	1078.0
gene:AT1G01620	2051	2174	6603	7948	4845.04022873323	1.97602524395968	0.145228973611472	13.6062742496968	3.67506760100036e-42	4.81018223085697e-40	6.049642530099109e-40	168.0
gene:AT1G01750	25	32	65	78	51.2349270203207	1.51803947585865	0.497338736656835	3.05232503316165	0.0022707606972082	0.0103464063346273	0.0130124092584527	4826.0
gene:AT1G01790	975	916	1898	2666	1643.91292140294	1.45636657442338	0.176453085465512	8.2535625295599	1.53741376600277e-16	4.68879213601039e-15	5.89697332854461e-15	721.0
gene:AT1G01990	351	408	463	513	436.44028040923	0.558096052089384	0.218233806876589	2.55733087406107	0.0105478835407936	0.0379287661277583	0.0477020340744534	6115.0
gene:AT1G02110	387	369	495	512	444.428838552443	0.61410783421309	0.209063587142013	2.93742130137631	0.0033095415932443	0.0143226746888112	0.0180132597443755	5081.0
gene:AT1G02150	1366	1231	1906	2110	1672.3872255239	0.826829416084793	0.157622810135098	5.24562032218636	1.55757368674103e-07	1.73023999428301e-06	2.17607835926584e-06	1979.0
gene:AT1G02280	692	736	1037	1083	897.713999327063	0.769248665816732	0.180757153679791	4.25570247238705	2.08393679027319e-05	0.0001578494181237	0.0001985231551326	2903.0
gene:AT1G02380	33	23	141	151	90.8345801640945	2.58329607479504	0.414155281437932	6.23750605286483	4.44601910175418e-10	7.151683542682711e-09	8.994488533943811e-09	1367.0
gene:AT1G02570	0	0	6	16	5.68236673302038	6.05862868353158	2.07701385923114	2.91699001265901	0.0035342708936196	0.0151580032533258	0.019063831005081	5127.0
gene:AT1G02610	98	70	508	269	251.390042364917	2.44618928091346	0.402597401877186	6.07601854733202	1.232031658231e-09	1.86449718739446e-08	2.34493017951675e-08	1453.0
gene:AT1G02620	0	1	187	123	84.3762936540766	8.49839392569433	1.50808932242316	5.63520595188575	1.74849249388761e-08	2.25267789967792e-07	2.83313508188607e-07	1705.0
gene:AT1G02630	0	0	14	19	8.7222152598436	6.67405709909197	1.85278213005758	3.60218127691277	0.00031555818101	0.001823030254202	0.0022927782836853	3806.0
gene:AT1G02640	140	156	1763	1630	978.48064921232	3.7243814869638	0.215591812774277	17.2751527019405	7.23815970110702e-67	2.2737127666806002e-64	2.8595900933445e-64	70.0
gene:AT1G02660	278	122	1957	1156	940.474418298624	3.19806487416756	0.730799160978541	4.37612006818036	1.20810483260495e-05	9.52834188097213e-05	0.0001198355062614	2788.0
gene:AT1G02840	1287	1098	1349	1606	1338.27034299795	0.503909480555364	0.168132441993849	2.99709844560396	0.0027256267863491	0.012137263549014	0.0152647243370769	4938.0
gene:AT1G02860	224	166	414	412	311.253605462197	1.28745083797182	0.260683552051857	4.93874979007389	7.86250178910981e-07	7.78426617923168e-06	9.79007145330174e-06	2221.0
gene:AT1G02900	99	124	163	240	158.094125742776	1.03491178318651	0.324928795321517	3.18504176326528	0.0014473311936035	0.0069594064325714	0.0087526665556761	4573.0
gene:AT1G02910	674	829	844	1037	848.708890360306	0.513185677102922	0.200340520820218	2.56156705094845	0.0104201125194876	0.0375250334410436	0.0471942698536569	6106.0
