	WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G05147.1	199	178	1406	790	610.130346261099	2.34004496835153	0.253695960323379	9.22381643510894	2.8670965869751703e-20	1.72563375828568e-18	6.95091728804793e-18	16.0
transcript:AT1G05213.1	446	529	1273	1119	814.184788348889	1.11140510849007	0.167845046347078	6.62161399861547	3.5529785589630494e-11	8.3451667128815e-10	3.36146434883357e-09	41.0
transcript:AT1G05317.1	16	22	177	141	83.9175420432009	2.88538670827861	0.433214668883234	6.66040860462257	2.7306733510109002e-11	6.57409609255874e-10	2.64807048214282e-09	40.0
transcript:AT1G05333.2	274	315	607	491	411.156275125901	0.712832976586641	0.208580057300009	3.41755096730722	0.0006318726190791	0.0051627982051783	0.0207959441722604	117.0
transcript:AT1G05347.1	731	944	2562	2201	1549.06411597908	1.32870885842482	0.1516800274958	8.759946054609	1.95343837813818e-18	9.90084820077405e-17	3.9880986677884297e-16	19.0
transcript:AT1G05787.1	3	18	358	314	161.612232919505	4.87763317140652	0.918485208179591	5.31051902411563	1.09313472419645e-07	1.87980132035926e-06	7.57190999135365e-06	56.0
transcript:AT1G05837.1	49	60	184	169	110.924151184967	1.5138087500397	0.344485703395779	4.39440224983875	1.11077970804996e-05	0.0001304488852258	0.0005254529862836	82.0
transcript:AT1G05933.1	22	30	189	165	96.024273891587	2.58857335377026	0.394110592499413	6.56813950965837	5.0947798017718097e-11	1.16816022597768e-09	4.70539305977925e-09	42.0
transcript:AT1G28685.1	315	402	1046	1084	685.076414450657	1.39273652766867	0.176155950540609	7.90627011687352	2.6521537176157504e-15	1.06417667919332e-13	4.28654344609646e-13	24.0
transcript:AT1G06207.1	30	49	108	119	73.5057130249916	1.35540138719634	0.421398787894015	3.21643399585959	0.0012979438604326	0.0096893018418345	0.0390288700358007	129.0
transcript:AT1G06983.1	0	0	17	22	9.10035245602278	6.54327325256298	1.80227436188797	3.63056446395241	0.0002828020582969	0.0025692300201885	0.0103489545673015	106.0
transcript:AT1G08317.1	180	245	501	467	336.981459212626	1.01147479079991	0.219787640340839	4.60205491642455	4.18342858730807e-06	5.30084438102325e-05	0.0002135199932916	76.0
transcript:AT1G08857.2	43	73	173	130	100.621421277654	1.21657904451308	0.375617884499673	3.23887411839715	0.0012000252431173	0.0090283149150158	0.0363663899847836	128.0
transcript:AT1G08947.1	0	4	25	30	13.8019459825001	3.64809765335848	1.16061832773931	3.14323629583238	0.0016709089496478	0.0120080993918725	0.0483690732513741	134.0
