	ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G04133.1	0	0	50	31	21.1241968403124	7.93152920998332	1.63508190687884	4.85084519412459	1.229364727379e-06	2.49419189881701e-05	9.17058803365988e-05	52.0
transcript:AT1G04157.1	21	6	117	71	55.3978164775839	2.94978439940631	0.619598698480897	4.76079824996155	1.92828738556591e-06	3.76730220698525e-05	0.0001385153105298	54.0
transcript:AT1G04433.1	37	52	108	122	79.9306905158045	1.49744313930992	0.430945650181466	3.4747842069629	0.0005112644550346	0.005993155556239	0.0220354980119918	90.0
transcript:AT1G04853.1	51	43	115	108	79.5984172111872	1.38050658268352	0.426347442118939	3.23798490691635	0.0012037717773165	0.0125740517333563	0.0462319873684255	101.0
transcript:AT1G05753.1	111	94	366	248	207.913647594659	1.72893917934058	0.333442989672594	5.18511179688683	2.15885323902939e-07	4.95128297212176e-06	1.82047645960761e-05	46.0
transcript:AT1G06573.1	537	537	810	860	681.57796803751	0.766835353916005	0.208613754619407	3.67586190716432	0.0002370477298375	0.0031656374047922	0.01163934359544	79.0
transcript:AT1G07737.1	934	1248	1896	1989	1511.57595363083	0.962759754743775	0.207504821613213	4.6396982357275	3.48918296381072e-06	6.23913224884798e-05	0.0002293989951969	59.0
transcript:AT1G09193.1	833	1088	1664	1982	1385.55613341626	1.0500732843057	0.206274327170396	5.09066396536234	3.56811874714269e-07	8.00928782603305e-06	2.944836727695e-05	47.0
transcript:AT1G77992.1	60	41	135	131	92.2721675714665	1.53018518811812	0.412136763171696	3.71280925375891	0.0002049713691051	0.0028453262421826	0.0104616307994564	76.0
transcript:AT1G78265.1	308	290	667	706	493.447840225728	1.32920503523316	0.226124636547287	5.87819644744987	4.14760532322452e-09	1.3259768533339e-07	4.87532152993573e-07	33.0
transcript:AT1G09927.1	3120	3906	4893	4926	4178.19882628902	0.615010668795953	0.189100401032604	3.25229700961826	0.001144763314462	0.0121992454217926	0.0448539080484677	99.0
transcript:AT2G07475.1	537	479	722	786	626.042888361963	0.698788133416689	0.214843624876821	3.25254302433844	0.0011437727872494	0.0121992454217926	0.0448539080484677	98.0
transcript:AT2G08220.1	16	8	70	116	52.8815425896233	3.06832385897703	0.584436437533912	5.25005571508192	1.52053213437398e-07	3.6458213676467e-06	1.3404873066447e-05	44.0
transcript:AT2G08420.1	1072	1163	2042	2095	1589.47253738746	1.01966028263691	0.187431583424369	5.4401732301875	5.32287878359717e-08	1.36966758943781e-06	5.0359626345301e-06	41.0
transcript:AT2G08680.1	44	59	162	370	158.245778755221	2.47151036994633	0.40215670506549	6.14564009207271	7.96416849834854e-10	2.8007325885859e-08	1.02976698683647e-07	30.0
transcript:AT2G09350.1	72	51	137	171	107.718722535047	1.44843776657162	0.384896588413431	3.76318681478101	0.0001677617845907	0.0023917389559891	0.0087938913841535	74.0
transcript:AT3G01142.1	142	125	279	288	208.585434827343	1.21744331651752	0.291878369618736	4.17106385138371	3.03180887508539e-05	0.000498955176306	0.001834547041603	64.0
transcript:AT3G03105.1	858	954	1933	1642	1350.2519939521	1.11894639189633	0.209960998450864	5.32930591944288	9.8588811148561e-08	2.41886501771469e-06	8.89362787082019e-06	43.0
transcript:AT3G03145.1	76	132	242	203	163.990762586147	1.23572975114465	0.360338639768866	3.42935676267549	0.0006050136840531	0.0067188361755374	0.0247036640046537	95.0
transcript:AT3G03265.1	124	98	876	1345	617.413811410427	3.43868082758933	0.258274206387834	13.3140698627322	1.91745539913318e-40	5.05728861521377e-38	1.8594523733093999e-37	4.0
transcript:AT3G03295.1	0	0	21	13	8.86729483926781	6.67909258055945	1.84874479153045	3.61277154702911	0.0003029415899103	0.0038048021113743	0.0139894098483613	84.0
transcript:AT3G03975.1	97	119	214	198	157.048204012552	1.06641250042856	0.328869239610287	3.24266417160897	0.0011841770206435	0.0124930675677893	0.0459342266307627	100.0
transcript:AT3G04255.1	253	259	464	497	367.247152291976	1.03801549780742	0.241847893804929	4.29201793522614	1.77056643313946e-05	0.0003012818688648	0.0011077463216367	62.0
transcript:AT3G07785.1	8	6	33	56	25.8806519114991	2.78195746973036	0.767630171612697	3.62408562431282	0.0002899855324243	0.0036859606832254	0.0135524563888451	83.0
transcript:AT3G09905.1	664	693	1228	1564	1032.92317739806	1.16400337974757	0.199624158460355	5.83097451092694	5.510460248558641e-09	1.7098634006557e-07	6.28678685416441e-07	34.0
transcript:AT3G09985.1	209	235	380	377	299.254577568484	0.902118120572571	0.260799700442289	3.4590458464587	0.0005420926233	0.0062163882345816	0.0228562748454427	92.0
transcript:AT4G03585.1	631	664	1361	1432	1022.35214600518	1.23922239699161	0.19622012488837	6.31547043248804	2.69340881457376e-10	1.05242455532419e-08	3.8695306636043e-08	27.0
transcript:AT4G20362.1	13773	15986	22518	23235	18761.0313442443	0.751747997370218	0.173632790402681	4.32952782493905	1.49429389903736e-05	0.0002584393546695	0.0009502239400599	61.0
transcript:AT4G26542.1	243	275	947	1092	644.648652333952	2.10372744840336	0.218383667087475	9.63317209780481	5.79135135203446e-22	4.69990436645873e-20	1.72805014573397e-19	13.0
transcript:AT4G08015.1	40	37	93	104	68.6568761994974	1.48332363074897	0.449781631507216	3.29787507279558	0.0009741946737399	0.010595622482429	0.0389577437055376	97.0
transcript:AT4G08815.1	127	199	539	367	312.284787058792	1.62111631240935	0.320561830448594	5.05710960703201	4.25658615303641e-07	9.35562164886127e-06	3.43985368492255e-05	48.0
transcript:AT4G08985.1	2	8	83	44	35.599535243631	3.82111597601999	0.787073970149499	4.85483718295778	1.20485696402299e-06	2.49240019028285e-05	9.16400032048072e-05	51.0
transcript:AT4G09375.1	28	25	114	111	70.4262693199417	2.21883662832003	0.461847055838965	4.80426712754382	1.55319353472228e-06	3.09173430024907e-05	0.0001136761834186	53.0
