	WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
gene:AT1G05147	199	178	1406	790	609.294277046875	2.35901053013055	0.255223958869752	9.24290392084394	2.39896378321657e-20	1.2812243612586299e-18	4.60067943314644e-18	27.0
gene:AT1G05213	446	529	1273	1119	812.221649437794	1.12996116610091	0.172278028291048	6.55893950789791	5.419177848611509e-11	1.2603958802738402e-09	4.525887564533931e-09	62.0
gene:AT1G17255	77	71	170	247	136.669150261981	1.32514393077462	0.341427698753033	3.88118461277258	0.0001039488932719	0.0010706736007008	0.0038446240668718	140.0
gene:AT1G05317	16	22	177	141	83.9219426923071	2.90283614772168	0.432496633313433	6.71181212552463	1.9222209156656797e-11	4.698038237949e-10	1.6869932036130302e-09	59.0
gene:AT1G05333	278	319	609	492	412.569164412911	0.715715522020051	0.210904991815477	3.39354472295392	0.0006899429163982	0.005717802789921	0.0205317495466098	174.0
gene:AT1G05347	731	944	2562	2201	1546.08973290468	1.34675754721794	0.157808247943205	8.53413915160274	1.41202813125386e-17	6.170135046266879e-16	2.21560050413106e-15	33.0
gene:AT1G05787	3	18	358	314	161.84629295953	4.88933966087722	0.925114365074841	5.28511916521983	1.25622955281948e-07	2.23639878415517e-06	8.0305637339497e-06	81.0
gene:AT1G05837	49	60	184	169	110.749523553872	1.53217756900963	0.344807675421636	4.44357152762352	8.84777230538823e-06	0.0001119165584593	0.0004018751315552	114.0
gene:AT1G05933	22	30	189	165	96.0161511852133	2.60628896938715	0.393939468040547	6.61596306242383	3.69140541227717e-11	8.72624033525193e-10	3.1334585614379e-09	61.0
gene:AT1G28685	315	402	1046	1084	684.004565972432	1.41132307278545	0.181655170794399	7.7692424972742	7.89568805924896e-15	3.16266171706583e-13	1.13566313252198e-12	36.0
gene:AT1G06207	30	49	108	119	73.4161128670879	1.37282903612828	0.421701612561761	3.25545123668983	0.0011321233575865	0.0091202339756415	0.0327493561205769	179.0
gene:AT1G06983	0	0	17	22	9.12220291358794	6.56301387802836	1.79529744100992	3.65566937717931	0.0002565117780435	0.0024175815943713	0.0086811633118272	153.0
gene:AT1G48315	342	324	767	722	522.716812313857	0.98655283262075	0.199327688118519	4.949401871526	7.44418980102896e-07	1.19272463256486e-05	4.282890532192e-05	90.0
gene:AT1G07867	51	43	137	212	106.634322381316	1.72092445373533	0.388963950769515	4.42438033224081	9.67194976218662e-06	0.0001202323410092	0.0004317358264534	116.0
gene:AT1G07893	448	554	899	771	650.506008406042	0.573880214563082	0.182805217911009	3.13929887298104	0.0016935262484395	0.0125879631456173	0.0452014377031945	194.0
gene:AT1G08043	139	170	708	637	394.179836308553	1.95851806296446	0.215195939716107	9.10109208170097	8.942802247119731e-20	4.6055431572666596e-18	1.6537796441280702e-17	28.0
gene:AT1G55525	2	0	41	81	29.2066598153866	5.75604454161712	1.20089269605904	4.79313810510021	1.64192511039693e-06	2.45032768276491e-05	8.79874947389506e-05	96.0
gene:AT1G58590	79	67	165	232	131.550547990562	1.2699448693491	0.346609354984875	3.66390823295729	0.0002483958106584	0.0023564918353253	0.0084617993920351	152.0
gene:AT1G08317	180	245	501	467	336.201163040847	1.02942751948868	0.223693682320456	4.60195169041008	4.18550297834092e-06	5.69386348562981e-05	0.0002044578719042	106.0
gene:AT1G08597	55	68	175	143	106.150445143373	1.20631761049435	0.350633676407192	3.44039289909351	0.0005808702806695	0.004993679169753	0.0179315331074766	167.0
gene:AT1G08857	111	180	944	530	417.318909836718	2.18381705050878	0.276960628642764	7.88493679123456	3.1469476734677903e-15	1.29654244146873e-13	4.65568430091893e-13	35.0
gene:AT1G08947	0	4	25	30	13.8291044133995	3.66123057946339	1.15337883962577	3.17435213277481	0.0015017138409386	0.0114575204160502	0.0411421918961913	189.0
