Geneid	WT_AGO1-1	WT_AGO1-2	ago1-1	ago1-2
gene:AT1G01010	117	165	462	429
gene:AT1G01020	147	164	185	152
gene:AT1G01030	59	100	87	81
gene:AT1G01040	710	771	1322	1180
gene:AT1G01050	673	856	993	1133
gene:AT1G01060	48	58	58	37
gene:AT1G01070	66	70	125	119
gene:AT1G01080	811	1162	820	851
gene:AT1G01090	2495	2855	2374	2640
gene:AT1G01100	1430	1908	1958	2108
gene:AT1G01110	74	93	128	119
gene:AT1G01120	663	782	512	614
gene:AT1G01130	35	47	31	46
gene:AT1G01140	845	963	1332	1230
gene:AT1G01150	20	7	0	0
gene:AT1G01160	382	398	445	385
gene:AT1G01170	621	726	545	793
gene:AT1G01180	260	319	166	147
gene:AT1G01190	43	97	75	142
gene:AT1G01200	22	18	28	60
gene:AT1G01210	157	190	151	200
gene:AT1G01220	471	586	620	643
gene:AT1G01225	24	48	44	53
gene:AT1G01230	309	296	368	421
gene:AT1G01240	293	327	286	242
gene:AT1G01250	20	34	28	18
gene:AT1G01260	300	344	408	331
gene:AT1G01280	0	0	0	0
gene:AT1G01290	184	195	275	293
gene:AT1G01300	766	857	1416	1421
gene:AT1G01305	0	0	0	0
gene:AT1G01310	20	49	0	0
gene:AT1G01320	8744	11099	8208	8183
gene:AT1G01335	0	0	0	0
gene:AT1G01340	84	90	390	207
gene:AT1G01350	327	427	400	477
gene:AT1G01355	0	0	0	0
gene:AT1G01360	212	267	181	207
gene:AT1G01370	17	48	63	46
gene:AT1G01380	6	16	6	8
gene:AT1G01390	62	86	0	6
gene:AT1G01400	2	0	0	0
gene:AT1G01410	0	0	0	0
gene:AT1G01420	73	56	89	74
gene:AT1G01430	1133	1320	635	798
gene:AT1G01440	523	539	374	267
gene:AT1G01450	154	145	122	110
gene:AT1G01453	6	20	2	0
gene:AT1G01460	0	0	0	0
gene:AT1G01470	939	1253	2222	1915
gene:AT1G01480	53	61	410	274
gene:AT1G01490	945	1098	1854	1719
gene:AT1G01500	336	372	328	370
gene:AT1G01510	553	650	808	772
gene:AT1G01520	1	2	4	0
gene:AT1G01530	0	0	0	0
gene:AT1G01540	1197	1594	1211	1044
gene:AT1G01550	2448	2865	3515	3344
gene:AT1G01560	19	31	777	467
gene:AT1G01570	40	80	39	41
gene:AT1G01580	55	59	16	36
gene:AT1G01590	6	15	15	13
gene:AT1G01600	107	113	115	133
gene:AT1G01610	876	928	471	532
gene:AT1G01620	4857	5545	2051	2174
gene:AT1G01630	433	558	1026	913
gene:AT1G01640	120	127	304	262
gene:AT1G01650	531	664	1225	1122
gene:AT1G01660	6	27	21	17
gene:AT1G01670	17	15	22	34
gene:AT1G01680	3	12	26	20
gene:AT1G01690	82	84	95	145
gene:AT1G01695	0	8	2	0
gene:AT1G01700	21	26	48	37
gene:AT1G01710	335	496	532	571
gene:AT1G01715	33	54	71	59
gene:AT1G01720	790	752	1236	1091
gene:AT1G01725	69	124	101	114
gene:AT1G01730	316	378	648	602
gene:AT1G01740	85	102	68	87
gene:AT1G01750	67	112	25	32
gene:AT1G01760	47	86	39	40
gene:AT1G01770	493	549	566	582
gene:AT1G01780	192	291	199	238
gene:AT1G01790	2047	2711	975	916
gene:AT1G01800	767	895	1661	1660
gene:AT1G01810	17	8	12	8
gene:AT1G01820	815	951	1075	961
gene:AT1G01830	209	235	342	322
gene:AT1G01840	38	24	14	10
gene:AT1G01860	181	218	104	112
gene:AT1G01880	39	44	42	54
gene:AT1G01900	165	149	157	219
gene:AT1G01910	684	811	859	854
gene:AT1G01920	256	267	301	291
gene:AT1G01930	355	400	372	322
gene:AT1G01940	190	209	235	220
gene:AT1G01950	351	445	460	413
gene:AT1G01960	1915	2319	2766	2381
gene:AT1G01970	544	594	438	612
gene:AT1G01980	0	0	0	4
gene:AT1G01990	412	438	351	408
gene:AT1G02000	261	279	240	244
gene:AT1G02010	151	145	155	169
gene:AT1G02020	279	300	271	303
gene:AT1G02030	2	6	8	14
gene:AT1G02040	4	6	0	0
gene:AT1G02050	135	146	143	207
gene:AT1G02060	117	167	178	221
gene:AT1G02065	47	40	34	38
gene:AT1G02067	0	0	0	0
gene:AT1G02070	1	12	4	2
gene:AT1G02080	1922	2613	2937	2393
gene:AT1G02090	427	511	565	546
gene:AT1G02100	454	505	484	530
gene:AT1G02110	458	469	387	369
gene:AT1G02120	1093	1301	1924	1716
gene:AT1G02130	536	589	622	616
gene:AT1G02140	1170	1351	1562	1590
gene:AT1G02145	224	296	325	362
gene:AT1G02150	1767	2051	1366	1231
gene:AT1G02160	268	246	288	223
gene:AT1G02170	379	438	785	704
gene:AT1G02180	75	47	71	61
gene:AT1G02190	12	25	35	36
gene:AT1G02205	1158	1333	2718	2963
gene:AT1G02210	0	0	0	0
gene:AT1G02220	62	126	980	666
gene:AT1G02230	7	8	98	76
gene:AT1G02250	8	0	15	5
gene:AT1G02260	215	248	421	343
gene:AT1G02270	278	347	488	465
gene:AT1G02280	823	865	692	736
gene:AT1G02290	183	206	300	218
gene:AT1G02300	270	297	223	174
gene:AT1G02305	1498	1721	2732	2607
gene:AT1G02310	8	13	69	48
gene:AT1G02320	0	0	0	0
gene:AT1G02330	335	483	469	426
gene:AT1G02335	171	186	144	123
gene:AT1G02340	69	90	26	33
gene:AT1G02350	16	23	7	17
gene:AT1G02360	162	156	315	200
gene:AT1G02370	176	166	154	131
gene:AT1G02380	116	103	33	23
gene:AT1G02390	65	92	48	28
gene:AT1G02400	44	99	70	79
gene:AT1G02405	0	8	2	2
gene:AT1G02410	261	269	373	412
gene:AT1G02420	125	114	87	68
gene:AT1G02430	40	29	46	48
gene:AT1G02440	13	0	20	36
gene:AT1G02450	2	4	205	145
gene:AT1G02460	16	14	55	44
gene:AT1G02470	39	33	238	157
gene:AT1G02475	799	904	1378	1587
gene:AT1G02490	10	4	4	0
gene:AT1G02500	6188	6899	14147	13391
gene:AT1G02510	0	0	0	0
gene:AT1G02520	171	233	157	127
gene:AT1G02530	2	12	17	11
gene:AT1G02540	0	0	0	0
gene:AT1G02550	0	0	0	0
gene:AT1G02560	3620	4279	3486	4093
gene:AT1G02570	4	14	0	0
gene:AT1G02575	2	0	0	0
gene:AT1G02580	0	0	7	8
gene:AT1G02590	0	0	0	0
gene:AT1G02610	659	741	98	70
gene:AT1G02620	92	153	0	1
gene:AT1G02630	14	12	0	0
gene:AT1G02640	1068	1315	140	156
gene:AT1G02650	37	34	20	34
gene:AT1G02660	2225	2529	278	122
gene:AT1G02670	36	37	45	26
gene:AT1G02680	158	214	161	144
gene:AT1G02690	257	274	332	322
gene:AT1G02700	8	9	20	28
gene:AT1G02705	16	8	13	11
gene:AT1G02710	0	0	0	0
gene:AT1G02720	229	246	187	254
gene:AT1G02730	923	876	982	837
gene:AT1G02740	112	149	144	163
gene:AT1G02750	298	274	262	275
gene:AT1G02770	5	17	4	15
gene:AT1G02780	6676	7886	8718	8963
gene:AT1G02790	0	0	0	3
gene:AT1G02800	20	36	14	24
gene:AT1G02810	183	169	223	246
gene:AT1G02813	0	2	0	0
gene:AT1G02816	477	391	432	435
gene:AT1G02820	66	71	52	45
gene:AT1G02830	0	0	0	0
gene:AT1G02840	1216	1491	1287	1098
gene:AT1G02850	2996	3789	6259	6009
gene:AT1G02860	336	366	224	166
gene:AT1G02870	279	284	307	287
gene:AT1G02880	214	261	469	353
gene:AT1G02890	1554	1949	1652	1456
gene:AT1G02900	171	225	99	124
gene:AT1G02910	823	1035	674	829
gene:AT1G02920	228	356	30950	23146
gene:AT1G02930	263	372	45756	36115
gene:AT1G02940	4	2	679	605
gene:AT1G02950	94	114	117	104
gene:AT1G02960	196	245	282	299
gene:AT1G02965	0	0	0	0
gene:AT1G02970	31	64	68	55
gene:AT1G02980	0	2	1	6
gene:AT1G02990	380	535	660	541
gene:AT1G03000	523	606	495	407
gene:AT1G03010	14	28	60	75
gene:AT1G03020	36	42	3	0
gene:AT1G03030	166	219	385	394
gene:AT1G03040	748	938	1182	988
gene:AT1G03050	6	0	1	0
gene:AT1G03055	46	62	14	6
gene:AT1G03060	1267	1696	2555	1967
gene:AT1G03070	16	25	12	0
gene:AT1G03080	1479	2167	3811	2969
gene:AT1G03090	2229	2130	602	550
gene:AT1G03100	144	147	75	84
gene:AT1G03103	6	3	0	0
gene:AT1G03106	0	2	10	0
gene:AT1G03110	191	235	205	206
gene:AT1G03120	2	5	8	0
gene:AT1G03130	3324	3306	2035	2772
gene:AT1G03140	708	758	842	732
gene:AT1G03150	171	184	226	246
gene:AT1G03160	889	1153	1040	1147
gene:AT1G03165	13	10	6	4
gene:AT1G03170	0	2	12	6
gene:AT1G03180	30	24	50	62
gene:AT1G03190	196	196	224	238
gene:AT1G03200	22	31	23	27
gene:AT1G03210	137	216	427	447
gene:AT1G03220	3871	4754	4948	4123
gene:AT1G03230	869	1115	1731	1768
gene:AT1G03240	0	1	1	4
gene:AT1G03250	359	400	826	858
gene:AT1G03260	102	135	167	173
gene:AT1G03270	40	65	56	67
gene:AT1G03280	522	680	751	708
gene:AT1G03290	632	637	1231	1038
gene:AT1G03300	0	0	0	0
gene:AT1G03310	725	873	1007	1270
gene:AT1G03320	3	2	0	1
gene:AT1G03325	0	0	0	0
gene:AT1G03330	260	361	376	471
gene:AT1G03340	56	48	50	48
gene:AT1G03350	854	976	1244	1079
gene:AT1G03360	215	252	152	186
gene:AT1G03365	402	480	508	379
gene:AT1G03370	502	676	1131	900
gene:AT1G03380	813	962	1194	1032
gene:AT1G03390	0	2	0	0
gene:AT1G03395	0	0	0	0
gene:AT1G03400	298	370	437	365
gene:AT1G03410	495	526	385	434
gene:AT1G03430	255	279	315	251
gene:AT1G03440	854	867	250	256
gene:AT1G03445	6	6	6	10
gene:AT1G03457	137	189	89	49
gene:AT1G03470	126	150	151	185
gene:AT1G03475	2205	2557	2445	2733
gene:AT1G03490	0	0	0	0
gene:AT1G03495	116	129	91	93
gene:AT1G03510	40	37	18	36
gene:AT1G03520	307	350	158	168
gene:AT1G03530	437	437	358	305
gene:AT1G03540	37	34	37	45
gene:AT1G03550	174	177	162	149
gene:AT1G03560	184	244	223	234
gene:AT1G03590	480	567	575	485
gene:AT1G03600	3789	4310	2895	3677
