Geneid	WT_AGO1-1	WT_AGO1-2	deltaN-1	deltaN-2
gene:AT1G01010	117	165	151	200
gene:AT1G01020	147	164	141	188
gene:AT1G01030	59	100	119	76
gene:AT1G01040	710	771	731	969
gene:AT1G01050	673	856	688	899
gene:AT1G01060	48	58	44	54
gene:AT1G01070	66	70	55	75
gene:AT1G01080	811	1162	755	953
gene:AT1G01090	2495	2855	2915	2856
gene:AT1G01100	1430	1908	1780	1858
gene:AT1G01110	74	93	91	96
gene:AT1G01120	663	782	642	1241
gene:AT1G01130	35	47	45	39
gene:AT1G01140	845	963	865	628
gene:AT1G01150	20	7	2	0
gene:AT1G01160	382	398	403	463
gene:AT1G01170	621	726	821	892
gene:AT1G01180	260	319	257	244
gene:AT1G01190	43	97	33	75
gene:AT1G01200	22	18	6	28
gene:AT1G01210	157	190	156	156
gene:AT1G01220	471	586	507	549
gene:AT1G01225	24	48	28	34
gene:AT1G01230	309	296	382	485
gene:AT1G01240	293	327	296	436
gene:AT1G01250	20	34	40	22
gene:AT1G01260	300	344	415	396
gene:AT1G01280	0	0	0	0
gene:AT1G01290	184	195	189	215
gene:AT1G01300	766	857	797	1022
gene:AT1G01305	0	0	0	0
gene:AT1G01310	20	49	9	0
gene:AT1G01320	8744	11099	8264	8373
gene:AT1G01335	0	0	0	0
gene:AT1G01340	84	90	78	125
gene:AT1G01350	327	427	279	395
gene:AT1G01355	0	0	1	0
gene:AT1G01360	212	267	266	229
gene:AT1G01370	17	48	13	27
gene:AT1G01380	6	16	8	7
gene:AT1G01390	62	86	52	50
gene:AT1G01400	2	0	0	0
gene:AT1G01410	0	0	0	0
gene:AT1G01420	73	56	60	68
gene:AT1G01430	1133	1320	1325	1272
gene:AT1G01440	523	539	457	626
gene:AT1G01450	154	145	173	182
gene:AT1G01453	6	20	0	2
gene:AT1G01460	0	0	0	0
gene:AT1G01470	939	1253	1092	1313
gene:AT1G01480	53	61	41	61
gene:AT1G01490	945	1098	934	1144
gene:AT1G01500	336	372	305	325
gene:AT1G01510	553	650	695	752
gene:AT1G01520	1	2	4	6
gene:AT1G01530	0	0	0	0
gene:AT1G01540	1197	1594	1402	2236
gene:AT1G01550	2448	2865	2687	2899
gene:AT1G01560	19	31	10	34
gene:AT1G01570	40	80	52	59
gene:AT1G01580	55	59	59	79
gene:AT1G01590	6	15	4	22
gene:AT1G01600	107	113	128	109
gene:AT1G01610	876	928	974	1211
gene:AT1G01620	4857	5545	6603	7948
gene:AT1G01630	433	558	393	540
gene:AT1G01640	120	127	97	105
gene:AT1G01650	531	664	611	762
gene:AT1G01660	6	27	4	2
gene:AT1G01670	17	15	5	14
gene:AT1G01680	3	12	3	2
gene:AT1G01690	82	84	82	69
gene:AT1G01695	0	8	4	2
gene:AT1G01700	21	26	16	23
gene:AT1G01710	335	496	404	480
gene:AT1G01715	33	54	70	62
gene:AT1G01720	790	752	799	494
gene:AT1G01725	69	124	78	82
gene:AT1G01730	316	378	355	329
gene:AT1G01740	85	102	73	103
gene:AT1G01750	67	112	65	78
gene:AT1G01760	47	86	55	103
gene:AT1G01770	493	549	568	539
gene:AT1G01780	192	291	176	252
gene:AT1G01790	2047	2711	1898	2666
gene:AT1G01800	767	895	907	1115
gene:AT1G01810	17	8	16	10
gene:AT1G01820	815	951	943	1133
gene:AT1G01830	209	235	289	274
gene:AT1G01840	38	24	26	28
gene:AT1G01860	181	218	153	174
gene:AT1G01880	39	44	28	34
gene:AT1G01900	165	149	137	155
gene:AT1G01910	684	811	685	849
gene:AT1G01920	256	267	247	334
gene:AT1G01930	355	400	332	298
gene:AT1G01940	190	209	175	203
gene:AT1G01950	351	445	398	399
gene:AT1G01960	1915	2319	2546	2698
gene:AT1G01970	544	594	509	607
gene:AT1G01980	0	0	0	0
gene:AT1G01990	412	438	463	513
gene:AT1G02000	261	279	272	274
gene:AT1G02010	151	145	112	171
gene:AT1G02020	279	300	328	302
gene:AT1G02030	2	6	12	12
gene:AT1G02040	4	6	0	3
gene:AT1G02050	135	146	127	165
gene:AT1G02060	117	167	185	223
gene:AT1G02065	47	40	28	62
gene:AT1G02067	0	0	0	0
gene:AT1G02070	1	12	2	6
gene:AT1G02080	1922	2613	2422	2586
gene:AT1G02090	427	511	358	363
gene:AT1G02100	454	505	538	612
gene:AT1G02110	458	469	495	512
gene:AT1G02120	1093	1301	1063	1308
gene:AT1G02130	536	589	580	582
gene:AT1G02140	1170	1351	1144	1386
gene:AT1G02145	224	296	269	366
gene:AT1G02150	1767	2051	1906	2110
gene:AT1G02160	268	246	239	251
gene:AT1G02170	379	438	375	488
gene:AT1G02180	75	47	62	49
gene:AT1G02190	12	25	28	8
gene:AT1G02205	1158	1333	705	901
gene:AT1G02210	0	0	0	0
gene:AT1G02220	62	126	96	122
gene:AT1G02230	7	8	2	15
gene:AT1G02250	8	0	0	2
gene:AT1G02260	215	248	341	373
gene:AT1G02270	278	347	254	328
gene:AT1G02280	823	865	1037	1083
gene:AT1G02290	183	206	233	244
gene:AT1G02300	270	297	194	209
gene:AT1G02305	1498	1721	1534	1696
gene:AT1G02310	8	13	4	2
gene:AT1G02320	0	0	0	0
gene:AT1G02330	335	483	355	394
gene:AT1G02335	171	186	148	155
gene:AT1G02340	69	90	68	31
gene:AT1G02350	16	23	23	18
gene:AT1G02360	162	156	126	133
gene:AT1G02370	176	166	142	214
gene:AT1G02380	116	103	141	151
gene:AT1G02390	65	92	45	37
gene:AT1G02400	44	99	85	72
gene:AT1G02405	0	8	0	4
gene:AT1G02410	261	269	245	281
gene:AT1G02420	125	114	104	100
gene:AT1G02430	40	29	40	44
gene:AT1G02440	13	0	4	4
gene:AT1G02450	2	4	0	14
gene:AT1G02460	16	14	12	7
gene:AT1G02470	39	33	16	10
gene:AT1G02475	799	904	806	817
gene:AT1G02490	10	4	5	0
gene:AT1G02500	6188	6899	6974	7261
gene:AT1G02510	0	0	0	0
gene:AT1G02520	171	233	138	322
gene:AT1G02530	2	12	11	9
gene:AT1G02540	0	0	0	0
gene:AT1G02550	0	0	0	0
gene:AT1G02560	3620	4279	3855	4366
gene:AT1G02570	4	14	6	16
gene:AT1G02575	2	0	0	4
gene:AT1G02580	0	0	0	0
gene:AT1G02590	0	0	0	0
gene:AT1G02610	659	741	508	269
gene:AT1G02620	92	153	187	123
