Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
gene:AT1G01010	462	429	151	200
gene:AT1G01020	185	152	141	188
gene:AT1G01030	87	81	119	76
gene:AT1G01040	1322	1180	731	969
gene:AT1G01050	993	1133	688	899
gene:AT1G01060	58	37	44	54
gene:AT1G01070	125	119	55	75
gene:AT1G01080	820	851	755	953
gene:AT1G01090	2374	2640	2915	2856
gene:AT1G01100	1958	2108	1780	1858
gene:AT1G01110	128	119	91	96
gene:AT1G01120	512	614	642	1241
gene:AT1G01130	31	46	45	39
gene:AT1G01140	1332	1230	865	628
gene:AT1G01150	0	0	2	0
gene:AT1G01160	445	385	403	463
gene:AT1G01170	545	793	821	892
gene:AT1G01180	166	147	257	244
gene:AT1G01190	75	142	33	75
gene:AT1G01200	28	60	6	28
gene:AT1G01210	151	200	156	156
gene:AT1G01220	620	643	507	549
gene:AT1G01225	44	53	28	34
gene:AT1G01230	368	421	382	485
gene:AT1G01240	286	242	296	436
gene:AT1G01250	28	18	40	22
gene:AT1G01260	408	331	415	396
gene:AT1G01280	0	0	0	0
gene:AT1G01290	275	293	189	215
gene:AT1G01300	1416	1421	797	1022
gene:AT1G01305	0	0	0	0
gene:AT1G01310	0	0	9	0
gene:AT1G01320	8208	8183	8264	8373
gene:AT1G01335	0	0	0	0
gene:AT1G01340	390	207	78	125
gene:AT1G01350	400	477	279	395
gene:AT1G01355	0	0	1	0
gene:AT1G01360	181	207	266	229
gene:AT1G01370	63	46	13	27
gene:AT1G01380	6	8	8	7
gene:AT1G01390	0	6	52	50
gene:AT1G01400	0	0	0	0
gene:AT1G01410	0	0	0	0
gene:AT1G01420	89	74	60	68
gene:AT1G01430	635	798	1325	1272
gene:AT1G01440	374	267	457	626
gene:AT1G01450	122	110	173	182
gene:AT1G01453	2	0	0	2
gene:AT1G01460	0	0	0	0
gene:AT1G01470	2222	1915	1092	1313
gene:AT1G01480	410	274	41	61
gene:AT1G01490	1854	1719	934	1144
gene:AT1G01500	328	370	305	325
gene:AT1G01510	808	772	695	752
gene:AT1G01520	4	0	4	6
gene:AT1G01530	0	0	0	0
gene:AT1G01540	1211	1044	1402	2236
gene:AT1G01550	3515	3344	2687	2899
gene:AT1G01560	777	467	10	34
gene:AT1G01570	39	41	52	59
gene:AT1G01580	16	36	59	79
gene:AT1G01590	15	13	4	22
gene:AT1G01600	115	133	128	109
gene:AT1G01610	471	532	974	1211
gene:AT1G01620	2051	2174	6603	7948
gene:AT1G01630	1026	913	393	540
gene:AT1G01640	304	262	97	105
gene:AT1G01650	1225	1122	611	762
gene:AT1G01660	21	17	4	2
gene:AT1G01670	22	34	5	14
gene:AT1G01680	26	20	3	2
gene:AT1G01690	95	145	82	69
gene:AT1G01695	2	0	4	2
gene:AT1G01700	48	37	16	23
gene:AT1G01710	532	571	404	480
gene:AT1G01715	71	59	70	62
gene:AT1G01720	1236	1091	799	494
gene:AT1G01725	101	114	78	82
gene:AT1G01730	648	602	355	329
gene:AT1G01740	68	87	73	103
gene:AT1G01750	25	32	65	78
gene:AT1G01760	39	40	55	103
gene:AT1G01770	566	582	568	539
gene:AT1G01780	199	238	176	252
gene:AT1G01790	975	916	1898	2666
gene:AT1G01800	1661	1660	907	1115
gene:AT1G01810	12	8	16	10
gene:AT1G01820	1075	961	943	1133
gene:AT1G01830	342	322	289	274
gene:AT1G01840	14	10	26	28
gene:AT1G01860	104	112	153	174
gene:AT1G01880	42	54	28	34
gene:AT1G01900	157	219	137	155
gene:AT1G01910	859	854	685	849
gene:AT1G01920	301	291	247	334
gene:AT1G01930	372	322	332	298
gene:AT1G01940	235	220	175	203
gene:AT1G01950	460	413	398	399
gene:AT1G01960	2766	2381	2546	2698
gene:AT1G01970	438	612	509	607
gene:AT1G01980	0	4	0	0
gene:AT1G01990	351	408	463	513
gene:AT1G02000	240	244	272	274
gene:AT1G02010	155	169	112	171
gene:AT1G02020	271	303	328	302
gene:AT1G02030	8	14	12	12
gene:AT1G02040	0	0	0	3
gene:AT1G02050	143	207	127	165
gene:AT1G02060	178	221	185	223
gene:AT1G02065	34	38	28	62
gene:AT1G02067	0	0	0	0
