Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT1G03987.1	0	0	1	0
transcript:AT1G03993.1	141	144	84	123
transcript:AT1G03997.1	0	0	0	0
transcript:AT1G04003.1	0	0	0	0
transcript:AT1G04007.1	94	75	88	86
transcript:AT1G04013.1	139	196	199	225
transcript:AT1G04017.1	19	21	13	13
transcript:AT1G04023.1	11	9	10	26
transcript:AT1G01448.1	0	0	0	0
transcript:AT1G01448.2	0	0	0	0
transcript:AT1G01448.3	0	0	0	0
transcript:AT1G04033.1	0	0	0	1
transcript:AT1G04037.1	2	2	8	6
transcript:AT1G04043.1	0	0	0	0
transcript:AT1G04047.1	14	35	17	7
transcript:AT1G04053.1	22	32	60	78
transcript:AT1G04063.1	0	1	0	1
transcript:AT1G04067.1	13	9	22	28
transcript:AT1G04073.1	16	10	20	26
transcript:AT1G04077.1	80	125	57	84
transcript:AT1G04083.1	55	37	42	46
transcript:AT1G04087.1	0	0	0	0
transcript:AT1G04093.1	1	0	3	0
transcript:AT1G04097.1	129	122	70	102
transcript:AT1G04103.1	14	6	0	0
transcript:AT1G04103.2	9	0	2	0
transcript:AT1G04117.1	134	103	126	129
transcript:AT1G04123.1	10	5	2	1
transcript:AT1G04127.1	0	0	0	0
transcript:AT1G04133.1	0	0	50	31
transcript:AT1G04137.1	0	0	0	0
transcript:AT1G04143.1	0	0	0	0
transcript:AT1G04147.1	3	6	23	24
transcript:AT1G04153.1	0	0	0	0
transcript:AT1G02952.1	91	80	54	132
transcript:AT1G02952.2	0	0	0	0
transcript:AT1G04157.1	21	6	117	71
transcript:AT1G04163.1	40	49	75	36
transcript:AT1G04167.1	0	0	1	0
transcript:AT1G04173.1	5	3	3	2
transcript:AT1G04177.1	0	1	0	0
transcript:AT1G04183.1	379	415	426	569
transcript:AT1G03545.1	0	0	0	0
transcript:AT1G03545.2	6	7	9	3
transcript:AT1G04203.1	0	1	4	2
transcript:AT1G04207.1	0	0	0	0
transcript:AT1G04233.1	279	275	193	199
transcript:AT1G04237.1	57	52	70	134
transcript:AT1G04243.1	0	0	0	0
transcript:AT1G04247.1	236	250	62	179
transcript:AT1G04253.1	0	0	0	0
transcript:AT1G04295.1	213	196	191	119
transcript:AT1G04257.1	0	0	0	0
transcript:AT1G04283.1	0	0	0	0
transcript:AT1G04287.1	0	0	0	0
transcript:AT1G04293.1	0	0	0	0
transcript:AT1G04297.1	32	27	11	23
transcript:AT1G04303.1	32	35	26	32
transcript:AT1G04307.1	0	0	0	0
transcript:AT1G04313.1	19	11	6	5
transcript:AT1G04323.1	7	7	1	4
transcript:AT1G04327.1	0	0	0	0
transcript:AT1G04333.1	0	0	0	0
transcript:AT1G04337.1	0	0	0	0
transcript:AT1G04343.1	130	138	67	89
transcript:AT1G04347.1	54	70	29	51
transcript:AT1G04353.1	121	140	135	177
transcript:AT1G04357.1	0	1	0	2
transcript:AT1G04363.1	0	0	0	0
transcript:AT1G04367.1	1	3	0	2
transcript:AT1G04373.1	0	0	0	0
transcript:AT1G04377.1	0	0	0	0
transcript:AT1G04383.1	0	0	0	0
transcript:AT1G04387.1	0	0	0	0
transcript:AT1G05562.1	3379	2828	3248	1534
transcript:AT1G04397.1	0	0	0	0
transcript:AT1G04403.1	0	0	0	0
transcript:AT1G04407.1	0	0	0	0
transcript:AT1G04413.1	31	26	14	17
transcript:AT1G04417.1	0	1	0	0
transcript:AT1G04427.1	3	11	13	9
transcript:AT1G04433.1	37	52	108	122
transcript:AT1G04437.1	25	10	10	16
transcript:AT1G06002.1	934	872	454	544
transcript:AT1G04443.1	0	0	0	0
transcript:AT1G04447.1	0	0	0	0
transcript:AT1G06265.1	15	23	17	31
transcript:AT1G06265.2	0	0	0	0
transcript:AT1G06265.3	0	0	0	0
transcript:AT1G04453.1	0	0	0	0
transcript:AT1G04463.1	74	50	77	68
transcript:AT1G04467.1	249	284	280	299
transcript:AT1G04473.1	30	31	8	23
transcript:AT1G04477.1	57	53	65	77
transcript:AT1G04483.1	1	3	11	4
transcript:AT1G04487.1	602	553	483	452
transcript:AT1G04493.1	10	11	12	13
transcript:AT1G04497.1	12	10	11	6
transcript:AT1G04503.1	916	1115	972	1251
transcript:AT1G04507.1	20	17	18	9
transcript:AT1G04513.1	224	165	83	102
transcript:AT1G04523.1	0	1	0	0
transcript:AT1G04533.1	0	1	1	0
transcript:AT1G04537.1	227	222	142	158
transcript:AT1G04557.1	0	0	0	0
transcript:AT1G07119.1	0	0	0	0
transcript:AT1G07119.2	0	0	0	0
transcript:AT1G07119.3	0	0	0	0
transcript:AT1G07119.4	0	0	0	0
transcript:AT1G07119.5	0	0	0	0
transcript:AT1G04563.1	0	0	0	0
transcript:AT1G07128.1	144	126	117	118
transcript:AT1G04567.1	15	21	9	18
transcript:AT1G04573.1	0	0	0	0
transcript:AT1G04577.1	6	4	1	1
transcript:AT1G04583.1	0	0	2	2
transcript:AT1G04587.1	42	53	27	45
transcript:AT1G04593.1	0	0	0	0
transcript:AT1G04597.1	0	0	0	0
transcript:AT1G04603.1	0	0	0	0
transcript:AT1G04607.1	0	0	0	0
transcript:AT1G04623.1	0	0	0	0
transcript:AT1G07728.2	0	0	0	0
transcript:AT1G07728.1	0	0	0	0
transcript:AT1G04643.2	0	0	0	0
transcript:AT1G04643.1	0	0	0	0
transcript:AT1G04647.1	167	168	260	149
transcript:AT1G04653.1	0	0	0	0
transcript:AT1G08592.1	19	20	26	36
transcript:AT1G08592.2	0	0	0	0
transcript:AT1G04657.1	12	5	2	4
transcript:AT1G04667.1	0	0	0	0
transcript:AT1G04673.1	0	0	0	0
transcript:AT1G04677.1	0	0	0	0
transcript:AT1G04683.1	0	0	0	0
transcript:AT1G04687.1	0	0	0	0
