Geneid	WT_AGO1-1	WT_AGO1-2	deltaN-1	deltaN-2
transcript:at1g01046	7	7	5	13
transcript:at1g01183	0	0	0	0
transcript:at1g04027	2	2	9	7
transcript:at1g04393	0	1	0	2
transcript:at1g04423	0	2	1	0
transcript:at1g07051	0	0	0	0
transcript:at1g11735	2	2	0	4
transcript:at1g12294	2	0	1	2
transcript:at1g04993	0	0	0	0
transcript:at1g14071	9	6	6	4
transcript:at1g18075	6	6	10	12
transcript:at1g18879	0	0	1	0
transcript:at1g19371	2	2	5	2
transcript:at1g19464	0	2	0	1
transcript:at1g20375	1	0	0	0
transcript:at1g05627	0	0	0	0
transcript:at1g21202	0	0	0	0
transcript:at1g05637	0	0	0	0
transcript:at1g26973	0	0	0	0
transcript:at1g26975	0	0	0	0
transcript:at1g26985	0	1	0	0
transcript:at1g29265	0	0	0	0
transcript:at1g31173	30	28	34	39
transcript:at1g31358	0	0	0	0
transcript:at1g06523	0	0	0	0
transcript:at1g32582	2	1	0	0
transcript:at1g06597	7	2	1	1
transcript:at1g32713	0	0	0	0
transcript:at1g06623	0	0	0	0
transcript:at1g32992	0	0	0	0
transcript:at1g06643	453	495	556	637
transcript:at1g06647	483	547	541	646
transcript:at1g06653	0	0	0	0
transcript:at1g06903	0	0	0	0
transcript:at1g35501	0	0	0	0
transcript:at1g07137	0	0	0	1
transcript:at1g07243	1	0	0	0
transcript:at1g07283	0	0	0	0
transcript:at1g07357	0	0	0	0
transcript:at1g48267	6	2	0	0
transcript:at1g48742	0	0	1	0
transcript:at1g07613	15	3	5	12
transcript:at1g07633	0	2	0	2
transcript:at1g07727	0	0	0	0
transcript:at1g52185	0	0	0	0
transcript:at1g07867	51	43	51	66
transcript:at1g53683	0	0	0	0
transcript:at1g53687	0	0	0	0
transcript:at1g08053	0	0	0	0
transcript:at1g55591	0	0	0	0
transcript:at1g08157	0	0	0	0
transcript:at1g08163	0	0	0	0
transcript:at1g08287	0	6	0	9
transcript:at1g60025	0	0	0	0
transcript:at1g60072	0	0	0	0
transcript:at1g60073	0	0	0	0
transcript:at1g08303	0	0	0	0
transcript:at1g08337	0	0	0	0
transcript:at1g08343	0	0	0	0
transcript:at1g61224	0	2	0	0
transcript:at1g61226	0	2	0	0
transcript:at1g61732	0	0	0	0
transcript:at1g62035	2	1	7	1
transcript:at1g62355	4	8	2	7
transcript:at1g63005	0	0	0	0
transcript:at1g08597	55	68	91	115
transcript:at1g08783	0	0	0	0
transcript:at1g08793	0	1	1	1
transcript:at1g08813	2	1	0	1
transcript:at1g66725	33	36	17	13
transcript:at1g66783	0	0	0	1
transcript:at1g66795	0	0	0	0
transcript:at1g67195	125	166	138	109
transcript:at1g67481	0	0	0	0
transcript:at1g69792	0	0	0	0
transcript:at1g69795	0	1	0	0
transcript:at1g69797	0	0	0	0
transcript:at1g70645	0	0	0	1
transcript:at1g09213	0	0	0	0
transcript:at1g71002	0	0	0	0
transcript:at1g73687	2	0	0	0
transcript:at1g09473	32	40	19	30
transcript:at1g76062	20	18	15	18
transcript:at1g76135	2	2	2	0
transcript:at1g09687	39	27	51	28
transcript:at1g77235	2	0	1	0
transcript:at1g78206	4	3	2	2
transcript:at1g78478	5	6	6	4
transcript:at1g09817	0	0	0	0
transcript:at2g03855	24	26	25	27
transcript:at2g02741	5	13	2	1
transcript:at2g03445	0	0	0	0
transcript:at2g04935	0	0	0	0
transcript:at2g05415	0	0	0	0
transcript:at2g05455	0	0	0	0
transcript:at2g10606	0	3	4	1
transcript:at2g05605	0	0	0	0
transcript:at2g05615	0	0	0	0
transcript:at2g05815	1	0	3	1
transcript:at2g16145	0	0	0	0
transcript:at2g06665	0	0	0	0
transcript:at2g07195	0	1	0	0
transcript:at2g19425	0	0	0	0
transcript:at2g07205	0	0	0	0
transcript:at2g07315	0	0	0	0
transcript:at2g22496	0	3	0	0
transcript:at2g22668	0	1	0	0
transcript:at2g07895	0	0	0	0
transcript:at2g23347	2	4	1	2
transcript:at2g07915	0	0	0	0
transcript:at2g07910	0	0	0	0
transcript:at2g24103	0	0	0	0
transcript:at2g08015	0	0	0	0
transcript:at2g08035	0	0	0	0
transcript:at2g25011	0	0	0	0
transcript:at2g25095	1	7	4	2
transcript:at2g25171	0	0	0	0
