Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:at1g01046	4	11	5	13
transcript:at1g01183	0	0	0	0
transcript:at1g04027	5	3	9	7
transcript:at1g04393	1	0	0	2
transcript:at1g04423	1	4	1	0
transcript:at1g07051	0	0	0	0
transcript:at1g11735	1	0	0	4
transcript:at1g12294	2	0	1	2
transcript:at1g04993	0	0	0	0
transcript:at1g14071	2	6	6	4
transcript:at1g18075	9	7	10	12
transcript:at1g18879	0	0	1	0
transcript:at1g19371	0	0	5	2
transcript:at1g19464	0	0	0	1
transcript:at1g20375	0	0	0	0
transcript:at1g05627	0	0	0	0
transcript:at1g21202	0	0	0	0
transcript:at1g05637	0	0	0	0
transcript:at1g26973	0	0	0	0
transcript:at1g26975	0	0	0	0
transcript:at1g26985	0	0	0	0
transcript:at1g29265	0	0	0	0
transcript:at1g31173	32	49	34	39
transcript:at1g31358	0	0	0	0
transcript:at1g06523	0	0	0	0
transcript:at1g32582	0	0	0	0
transcript:at1g06597	0	0	1	1
transcript:at1g32713	0	0	0	0
transcript:at1g06623	0	0	0	0
transcript:at1g32992	0	0	0	0
transcript:at1g06643	606	685	556	637
transcript:at1g06647	652	719	541	646
transcript:at1g06653	0	0	0	0
transcript:at1g06903	0	0	0	0
transcript:at1g35501	0	0	0	0
transcript:at1g07137	1	6	0	1
transcript:at1g07243	1	0	0	0
transcript:at1g07283	0	0	0	0
transcript:at1g07357	0	0	0	0
transcript:at1g48267	0	0	0	0
transcript:at1g48742	0	0	1	0
transcript:at1g07613	12	15	5	12
transcript:at1g07633	0	0	0	2
transcript:at1g07727	0	0	0	0
transcript:at1g52185	0	2	0	0
transcript:at1g07867	137	212	51	66
transcript:at1g53683	0	0	0	0
transcript:at1g53687	0	0	0	0
transcript:at1g08053	0	0	0	0
transcript:at1g55591	0	0	0	0
transcript:at1g08157	0	0	0	0
transcript:at1g08163	0	0	0	0
transcript:at1g08287	4	4	0	9
transcript:at1g60025	0	0	0	0
transcript:at1g60072	0	0	0	0
transcript:at1g60073	0	0	0	0
transcript:at1g08303	0	0	0	0
transcript:at1g08337	0	0	0	0
transcript:at1g08343	0	0	0	0
transcript:at1g61224	1	1	0	0
transcript:at1g61226	0	0	0	0
transcript:at1g61732	0	0	0	0
transcript:at1g62035	0	0	7	1
transcript:at1g62355	7	6	2	7
transcript:at1g63005	0	0	0	0
transcript:at1g08597	175	143	91	115
transcript:at1g08783	0	0	0	0
transcript:at1g08793	1	3	1	1
transcript:at1g08813	0	0	0	1
transcript:at1g66725	61	57	17	13
transcript:at1g66783	1	1	0	1
transcript:at1g66795	0	1	0	0
transcript:at1g67195	116	120	138	109
transcript:at1g67481	0	0	0	0
transcript:at1g69792	0	0	0	0
transcript:at1g69795	0	0	0	0
transcript:at1g69797	0	0	0	0
transcript:at1g70645	1	1	0	1
transcript:at1g09213	0	0	0	0
transcript:at1g71002	0	0	0	0
transcript:at1g73687	0	0	0	0
transcript:at1g09473	44	39	19	30
transcript:at1g76062	28	22	15	18
transcript:at1g76135	0	0	2	0
transcript:at1g09687	20	39	51	28
transcript:at1g77235	0	0	1	0
transcript:at1g78206	3	3	2	2
transcript:at1g78478	6	1	6	4
transcript:at1g09817	0	0	0	0
transcript:at2g03855	25	21	25	27
transcript:at2g02741	6	4	2	1
transcript:at2g03445	0	0	0	0
transcript:at2g04935	0	0	0	0
transcript:at2g05415	0	0	0	0
transcript:at2g05455	0	1	0	0
transcript:at2g10606	1	2	4	1
transcript:at2g05605	0	0	0	0
transcript:at2g05615	0	0	0	0
transcript:at2g05815	0	1	3	1
transcript:at2g16145	0	0	0	0
transcript:at2g06665	0	0	0	0
transcript:at2g07195	0	1	0	0
transcript:at2g19425	0	0	0	0
transcript:at2g07205	0	0	0	0
transcript:at2g07315	0	0	0	0
transcript:at2g22496	0	3	0	0
transcript:at2g22668	0	0	0	0
transcript:at2g07895	0	0	0	0
transcript:at2g23347	0	7	1	2
transcript:at2g07915	0	0	0	0
transcript:at2g07910	0	0	0	0
transcript:at2g24103	0	0	0	0
transcript:at2g08015	0	0	0	0
transcript:at2g08035	0	0	0	0
transcript:at2g25011	0	0	0	0
transcript:at2g25095	5	1	4	2
transcript:at2g25171	0	0	0	0
transcript:at2g26211	3	2	3	2
transcript:at2g28056	0	0	0	0
transcript:at2g08235	55	33	45	40
transcript:at2g08275	0	0	0	0
transcript:at2g32273	0	0	0	0
transcript:at2g32698	0	0	0	0
transcript:at2g08555	6	9	8	9
transcript:at2g34202	7	16	4	2
transcript:at2g34204	0	0	0	0
transcript:at2g34208	0	0	0	0
transcript:at2g08855	1	0	2	0
transcript:at2g38325	0	0	0	0
transcript:at2g39175	0	0	0	0
transcript:at2g09080	0	0	0	0
transcript:at2g39885	0	2	0	0
transcript:at2g09120	0	0	0	0
transcript:at2g09150	0	0	0	0
transcript:at2g40805	0	0	0	0
transcript:at2g41616	0	0	0	0
transcript:at2g09340	26	64	20	20
transcript:at2g09670	1	4	0	2
transcript:at2g46255	0	0	0	0
transcript:at2g46685	1	2	3	5
transcript:at2g47015	39	22	26	32
transcript:at2g47275	0	0	1	0
transcript:at2g47585	0	0	0	2
transcript:at2g09995	0	0	1	2
transcript:at3g04765	0	0	0	0
transcript:at3g09285	0	0	0	0
transcript:at3g10745	0	1	2	2
transcript:at3g11435	0	0	0	0
transcript:at3g13405	2	0	6	17
transcript:at3g13724	0	0	1	0
transcript:at3g14385	0	0	0	0
transcript:at3g03235	0	0	0	0
transcript:at3g03245	0	0	0	0
transcript:at3g03255	0	0	0	0
transcript:at3g03625	3	0	7	4
transcript:at3g18217	4	15	3	11
transcript:at3g18827	0	0	0	0
transcript:at3g18895	0	0	0	0
transcript:at3g22886	2	0	4	3
transcript:at3g23125	0	0	0	1
transcript:at3g23326	0	2	2	0
transcript:at3g04655	0	0	0	0
transcript:at3g26812	0	0	0	0
transcript:at3g26813	0	0	0	1
transcript:at3g26815	0	2	2	0
transcript:at3g26816	0	0	0	0
transcript:at3g26818	5	4	0	3
transcript:at3g26819	2	0	0	0
transcript:at3g05515	0	0	0	0
transcript:at3g05985	0	0	0	0
transcript:at3g06345	121	49	145	104
transcript:at3g06445	0	2	0	0
transcript:at3g06595	0	0	0	0
transcript:at3g44444	0	0	0	0
transcript:at3g07065	0	0	0	0
transcript:at3g07095	0	0	0	0
transcript:at3g07515	0	0	0	0
transcript:at3g07685	0	0	0	0
transcript:at3g07695	0	0	0	0
transcript:at3g07755	0	0	0	0
transcript:at3g48057	0	0	0	0
transcript:at3g48201	0	2	0	1
transcript:at3g08150	0	1	0	0
transcript:at3g51375	1	0	0	0
transcript:at3g08285	0	0	0	0
transcript:at3g53015	0	0	0	0
transcript:at3g53016	0	0	0	0
transcript:at3g55512	0	0	0	0
transcript:at3g55734	0	0	0	0
transcript:at3g59884	4	7	1	0
transcript:at3g09515	0	0	0	1
transcript:at3g09615	2	5	0	6
transcript:at3g61897	9	5	1	1
transcript:at3g63375	1	1	5	6
transcript:at4g00885	0	0	0	0
transcript:at4g04095	0	0	0	0
transcript:at4g04125	3875	3769	1590	1304
transcript:at4g03039	0	0	0	0
transcript:at4g04365	0	0	0	0
transcript:at4g03438	0	1	0	0
transcript:at4g03445	5	2	8	13
transcript:at4g03455	0	2	0	0
transcript:at4g04825	0	0	0	0
transcript:at4g04835	1	6	0	2
transcript:at4g05105	0	0	0	0
transcript:at4g05508	0	0	0	1
transcript:at4g05305	0	0	0	0
transcript:at4g08116	0	0	0	0
transcript:at4g05415	0	0	0	0
transcript:at4g05455	0	0	0	0
transcript:at4g10345	0	0	0	0
transcript:at4g05800	0	0	0	0
transcript:at4g05855	0	0	0	0
transcript:at4g05860	0	0	0	0
transcript:at4g05925	0	0	0	0
transcript:at4g05930	0	0	0	0
transcript:at4g06075	5	0	2	7
transcript:at4g13493	37	29	35	40
transcript:at4g13494	44	32	35	58
transcript:at4g13554	11	3	0	0
transcript:at4g13555	4	2	0	0
transcript:at4g06110	0	0	5	1
transcript:at4g13564	0	0	2	7
transcript:at4g06130	0	0	1	0
transcript:at4g14504	4	1	5	0
transcript:at4g06260	2	0	0	0
transcript:at4g14811	0	0	0	0
transcript:at4g17788	3	0	0	2
transcript:at4g06865	2	3	7	4
transcript:at4g19395	0	4	10	1
transcript:at4g06915	0	0	0	0
transcript:at4g07000	0	0	0	0
transcript:at4g07005	0	0	0	0
transcript:at4g21362	0	0	0	0
transcript:at4g21595	0	0	0	0
transcript:at4g07080	3	6	0	0
transcript:at4g07100	0	0	0	0
transcript:at4g23375	0	0	0	0
transcript:at4g23387	0	0	0	2
transcript:at4g23713	0	0	0	0
transcript:at4g24415	43	47	15	20
transcript:at4g07565	0	0	0	0
transcript:at4g27765	0	0	1	0
transcript:at4g08335	20	21	20	26
transcript:at4g30972	0	0	0	0
transcript:at4g31877	2	0	1	2
transcript:at4g32445	0	0	0	0
transcript:at4g09735	0	0	0	0
transcript:at4g09925	98	127	61	75
transcript:at5g01747	0	0	1	1
transcript:at5g02035	0	0	0	0
transcript:at5g03552	38	36	36	42
transcript:at5g04275	0	0	0	0
transcript:at5g08185	5	3	3	4
transcript:at5g08210	38	43	23	51
transcript:at5g08712	0	1	0	0
transcript:at5g08717	0	0	0	0
transcript:at5g01735	0	0	0	0
transcript:at5g01745	0	1	0	0
transcript:at5g01755	0	0	0	0
transcript:at5g10945	0	0	1	0
transcript:at5g01915	20	11	9	12
transcript:at5g11977	0	0	2	0
transcript:at5g13887	0	0	2	2
transcript:at5g14545	6	20	55	70
transcript:at5g14565	3	13	4	5
transcript:at5g15833	0	2	0	0
transcript:at5g03145	0	0	0	0
transcript:at5g03225	0	0	0	0
transcript:at5g03265	5	9	3	0
transcript:at5g03305	0	0	0	0
transcript:at5g03425	0	0	0	0
transcript:at5g03475	6	0	7	2
transcript:at5g23065	1	0	2	0
transcript:at5g24825	0	0	0	0
transcript:at5g04145	0	0	0	0
transcript:at5g26038	187	181	85	76
transcript:at5g26147	0	0	0	0
transcript:at5g04255	1	0	0	0
transcript:at5g04415	302	490	126	165
transcript:at5g27807	0	0	0	2
transcript:at5g04915	0	0	0	0
transcript:at5g04935	0	0	0	3
transcript:at5g04955	0	0	0	0
transcript:at5g04965	0	0	0	0
transcript:at5g04975	0	0	0	0
transcript:at5g04985	0	0	0	0
transcript:at5g04995	0	0	0	0
transcript:at5g05005	0	0	0	0
transcript:at5g05035	0	0	0	0
transcript:at5g35407	0	0	0	0
transcript:at5g05185	0	0	0	0
transcript:at5g05315	0	0	0	0
transcript:at5g05505	0	0	0	0
transcript:at5g05915	0	0	0	0
transcript:at5g39635	0	0	2	0
transcript:at5g39693	0	0	1	0
transcript:at5g40384	0	0	4	0
transcript:at5g06105	0	0	0	0
transcript:at5g06175	0	0	0	0
transcript:at5g41663	0	0	1	1
transcript:at5g41905	0	0	1	0
transcript:at5g43603	0	0	0	0
transcript:at5g06605	4	0	0	0
transcript:at5g45307	0	0	0	0
transcript:at5g46845	1	0	8	0
transcript:at5g07055	0	0	0	0
transcript:at5g07065	1	0	0	0
transcript:at5g07075	0	0	0	0
transcript:at5g07655	0	0	0	0
transcript:at5g50717	0	0	0	0
transcript:at5g07875	0	0	0	0
transcript:at5g52797	0	0	0	0
transcript:at5g07965	24	29	15	28
