Geneid	WT_AGO1-1	WT_AGO1-2	deltaN-1	deltaN-2
transcript:AT1G04057.1	1	4	4	3
transcript:AT1G04425.1	59	41	27	60
transcript:AT1G10682.1	630	728	660	612
transcript:AT1G11175.1	225	268	329	277
transcript:AT1G11185.1	70	72	72	54
transcript:AT1G11592.2	0	2	1	2
transcript:AT1G11592.1	1	0	0	0
transcript:AT1G04867.1	0	0	0	0
transcript:AT1G14518.1	1	3	0	0
transcript:AT1G15405.1	45	19	38	31
transcript:AT1G16635.1	6	8	2	0
transcript:AT1G05257.1	9	9	3	10
transcript:AT1G05353.1	16	10	10	10
transcript:AT1G18745.1	77	86	75	126
transcript:AT1G05463.1	26	42	41	39
transcript:AT1G19968.1	4	3	0	6
transcript:AT1G05547.1	2	0	0	0
transcript:AT1G21529.1	2	4	12	3
transcript:AT1G05697.1	0	0	0	0
transcript:AT1G22403.2	3	8	7	6
transcript:AT1G22403.1	0	0	0	0
transcript:AT1G23052.1	245	282	217	354
transcript:AT1G05813.1	0	0	0	0
transcript:AT1G24068.1	0	0	4	0
transcript:AT1G25175.2	0	0	0	0
transcript:AT1G25175.3	0	0	0	0
transcript:AT1G25175.4	0	0	0	0
transcript:AT1G25175.1	0	0	0	0
transcript:AT1G25175.5	0	0	0	0
transcript:AT1G26235.1	5	2	0	0
transcript:AT1G26558.1	0	0	0	0
transcript:AT1G26558.2	0	0	0	0
transcript:AT1G31258.1	33	33	47	40
transcript:AT1G31935.1	62	75	78	128
transcript:AT1G32172.1	4	5	2	4
transcript:AT1G06677.1	0	0	1	0
transcript:AT1G33615.6	9	1	4	5
transcript:AT1G33615.1	0	0	0	0
transcript:AT1G33615.5	0	0	0	0
transcript:AT1G33615.4	0	0	0	0
transcript:AT1G33615.2	0	0	0	0
transcript:AT1G33615.3	0	0	0	0
transcript:AT1G34392.1	0	0	0	0
transcript:AT1G34418.1	339	392	319	366
transcript:AT1G06797.1	0	0	0	0
transcript:AT1G43765.1	14	25	8	23
transcript:AT1G07257.1	0	0	0	0
transcript:AT1G46554.1	146	185	127	133
transcript:AT1G07507.1	0	0	0	0
transcript:AT1G07543.1	0	4	5	1
transcript:AT1G49832.2	0	0	0	0
transcript:AT1G49832.1	0	0	0	0
transcript:AT1G49952.1	6	2	2	10
transcript:AT1G50055.1	109	74	84	108
transcript:AT1G07647.1	29	22	20	38
transcript:AT1G50659.1	191	212	173	233
transcript:AT1G07757.1	10	9	4	6
transcript:AT1G52347.1	0	0	0	0
transcript:AT1G52347.2	0	0	0	0
transcript:AT1G52615.2	0	0	0	0
transcript:AT1G52615.1	0	0	0	0
transcript:AT1G07847.1	17	29	23	29
transcript:AT1G07963.1	26	21	34	42
transcript:AT1G07977.1	0	0	0	0
transcript:AT1G55525.1	2	0	3	2
transcript:AT1G57835.1	0	0	0	0
transcript:AT1G58590.2	7	6	3	5
transcript:AT1G58590.1	1	1	1	1
transcript:AT1G58808.1	0	0	0	0
transcript:AT1G08253.1	0	0	0	0
transcript:AT1G08427.1	27	22	39	39
transcript:AT1G08493.1	0	0	0	0
transcript:AT1G08547.1	27	33	40	54
transcript:AT1G64563.1	40	53	63	55
transcript:AT1G64572.1	64	114	55	83
transcript:AT1G64618.1	5	2	0	0
transcript:AT1G08747.1	70	104	100	90
transcript:AT1G08747.2	266	297	244	272
transcript:AT1G66173.1	18	14	9	29
transcript:AT1G08823.1	0	0	0	0
transcript:AT1G67105.1	64	54	88	60
transcript:AT1G67238.1	0	0	0	0
transcript:AT1G08933.1	0	0	0	0
transcript:AT1G68568.1	161	158	111	84
transcript:AT1G68568.2	0	0	0	0
transcript:AT1G68568.3	0	0	0	0
transcript:AT1G68872.4	2	4	5	1
transcript:AT1G68872.1	0	0	0	0
transcript:AT1G68872.2	0	0	0	0
transcript:AT1G68872.3	0	0	0	0
transcript:AT1G69252.2	0	0	0	0
transcript:AT1G69252.1	0	1	0	0
transcript:AT1G09073.1	0	0	0	0
transcript:AT1G70185.1	2	7	3	6
transcript:AT1G70518.1	95	80	75	101
transcript:AT1G70581.1	10	16	10	4
transcript:AT1G09277.1	0	0	0	0
transcript:AT1G09583.1	0	0	0	0
transcript:AT1G77138.1	13	27	14	21
transcript:AT1G78865.1	66	67	47	52
transcript:AT1G09837.1	31	55	30	59
