Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT1G04057.1	3	4	4	3
transcript:AT1G04425.1	109	66	27	60
transcript:AT1G10682.1	924	967	660	612
transcript:AT1G11175.1	163	151	329	277
transcript:AT1G11185.1	79	62	72	54
transcript:AT1G11592.2	3	0	1	2
transcript:AT1G11592.1	0	0	0	0
transcript:AT1G04867.1	0	0	0	0
transcript:AT1G14518.1	0	0	0	0
transcript:AT1G15405.1	20	57	38	31
transcript:AT1G16635.1	1	12	2	0
transcript:AT1G05257.1	12	6	3	10
transcript:AT1G05353.1	4	0	10	10
transcript:AT1G18745.1	130	104	75	126
transcript:AT1G05463.1	50	31	41	39
transcript:AT1G19968.1	0	0	0	6
transcript:AT1G05547.1	0	0	0	0
transcript:AT1G21529.1	36	14	12	3
transcript:AT1G05697.1	0	0	0	0
transcript:AT1G22403.2	9	12	7	6
transcript:AT1G22403.1	0	0	0	0
transcript:AT1G23052.1	48	64	217	354
transcript:AT1G05813.1	4	0	0	0
transcript:AT1G24068.1	0	2	4	0
transcript:AT1G25175.2	0	0	0	0
transcript:AT1G25175.3	0	0	0	0
transcript:AT1G25175.4	0	0	0	0
transcript:AT1G25175.1	0	0	0	0
transcript:AT1G25175.5	0	0	0	0
transcript:AT1G26235.1	5	2	0	0
transcript:AT1G26558.1	0	0	0	0
transcript:AT1G26558.2	0	0	0	0
transcript:AT1G31258.1	51	61	47	40
transcript:AT1G31935.1	28	4	78	128
transcript:AT1G32172.1	10	2	2	4
transcript:AT1G06677.1	0	0	1	0
transcript:AT1G33615.6	5	6	4	5
transcript:AT1G33615.1	0	0	0	0
transcript:AT1G33615.5	0	0	0	0
transcript:AT1G33615.4	0	0	0	0
transcript:AT1G33615.2	0	0	0	0
transcript:AT1G33615.3	0	0	0	0
transcript:AT1G34392.1	0	0	0	0
transcript:AT1G34418.1	396	379	319	366
transcript:AT1G06797.1	0	0	0	0
transcript:AT1G43765.1	12	10	8	23
transcript:AT1G07257.1	0	0	0	0
transcript:AT1G46554.1	144	126	127	133
transcript:AT1G07507.1	0	0	0	0
transcript:AT1G07543.1	2	5	5	1
transcript:AT1G49832.2	0	0	0	0
transcript:AT1G49832.1	0	0	0	0
transcript:AT1G49952.1	6	2	2	10
transcript:AT1G50055.1	101	140	84	108
transcript:AT1G07647.1	14	14	20	38
transcript:AT1G50659.1	283	183	173	233
transcript:AT1G07757.1	7	6	4	6
transcript:AT1G52347.1	0	0	0	0
transcript:AT1G52347.2	0	0	0	0
transcript:AT1G52615.2	0	0	0	0
transcript:AT1G52615.1	0	0	0	0
transcript:AT1G07847.1	21	24	23	29
transcript:AT1G07963.1	59	61	34	42
transcript:AT1G07977.1	1	0	0	0
transcript:AT1G55525.1	41	81	3	2
transcript:AT1G57835.1	0	0	0	0
