Geneid	WT_AGO1-1	WT_AGO1-2	deltaN-1	deltaN-2
gene:AT1G03987	0	0	1	0
gene:AT1G03993	52	87	84	123
gene:AT1G01046	7	7	5	13
gene:AT1G03997	0	0	0	0
gene:AT1G04003	0	0	0	0
gene:AT1G04007	81	68	88	86
gene:AT1G04013	146	196	199	225
gene:AT1G01183	0	0	0	0
gene:AT1G04017	17	35	13	13
gene:AT1G04023	10	13	10	26
gene:AT1G01270	0	0	0	0
gene:AT1G01448	260	275	336	329
gene:AT1G04027	2	2	9	7
gene:AT1G04033	0	0	0	1
gene:AT1G04037	4	4	8	6
gene:AT1G04043	0	0	0	0
gene:AT1G04047	4	33	17	7
gene:AT1G04053	67	106	60	78
gene:AT1G04057	1	4	4	3
gene:AT1G04063	0	0	0	1
gene:AT1G04067	32	16	22	28
gene:AT1G04073	12	33	20	26
gene:AT1G01870	0	0	0	0
gene:AT1G01890	0	0	0	0
gene:AT1G04077	101	59	57	84
gene:AT1G04083	45	36	42	46
gene:AT1G04087	0	0	0	0
gene:AT1G04093	0	0	3	0
gene:AT1G04097	62	81	70	102
gene:AT1G04103	4	1	2	0
gene:AT1G04117	133	129	126	129
gene:AT1G04123	1	0	2	1
gene:AT1G02480	0	0	0	0
gene:AT1G04127	0	0	0	0
gene:AT1G02600	0	0	0	0
gene:AT1G04133	27	47	50	31
gene:AT1G04137	0	0	0	0
gene:AT1G04143	0	0	0	0
gene:AT1G02760	0	0	0	0
gene:AT1G04147	30	21	23	24
gene:AT1G04153	0	0	0	0
gene:AT1G02952	64	86	55	143
gene:AT1G04157	58	54	117	71
gene:AT1G04163	69	89	75	36
gene:AT1G04167	0	0	1	0
gene:AT1G04173	4	5	3	2
gene:AT1G04177	0	2	0	0
gene:AT1G04183	433	482	426	569
gene:AT1G04187	4	3	3	6
gene:AT1G04193	2	2	2	4
gene:AT1G03502	6	3	3	3
gene:AT1G03506	8	11	3	5
gene:AT1G04197	3	2	7	7
gene:AT1G03515	0	0	0	0
gene:AT1G03545	133	142	131	135
gene:AT1G03570	0	0	0	0
gene:AT1G03640	0	0	0	0
gene:AT1G04203	0	2	4	2
gene:AT1G04207	0	0	0	0
gene:AT1G04213	2	0	1	1
gene:AT1G03743	1	0	1	0
gene:AT1G03746	0	0	0	0
gene:AT1G04217	16	11	17	13
gene:AT1G03935	14	11	11	11
