Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
gene:AT1G03987	0	0	1	0
gene:AT1G03993	141	144	84	123
gene:AT1G01046	4	11	5	13
gene:AT1G03997	0	0	0	0
gene:AT1G04003	0	0	0	0
gene:AT1G04007	94	75	88	86
gene:AT1G04013	139	196	199	225
gene:AT1G01183	0	0	0	0
gene:AT1G04017	19	21	13	13
gene:AT1G04023	11	9	10	26
gene:AT1G01270	0	0	0	0
gene:AT1G01448	197	244	336	329
gene:AT1G04027	5	3	9	7
gene:AT1G04033	0	0	0	1
gene:AT1G04037	2	2	8	6
gene:AT1G04043	0	0	0	0
gene:AT1G04047	14	35	17	7
gene:AT1G04053	22	32	60	78
gene:AT1G04057	3	4	4	3
gene:AT1G04063	0	1	0	1
gene:AT1G04067	13	9	22	28
gene:AT1G04073	16	10	20	26
gene:AT1G01870	0	0	0	0
gene:AT1G01890	0	0	0	0
gene:AT1G04077	80	125	57	84
gene:AT1G04083	55	37	42	46
gene:AT1G04087	0	0	0	0
gene:AT1G04093	1	0	3	0
gene:AT1G04097	129	122	70	102
gene:AT1G04103	23	6	2	0
gene:AT1G04117	134	103	126	129
gene:AT1G04123	10	5	2	1
gene:AT1G02480	0	0	0	0
gene:AT1G04127	0	0	0	0
gene:AT1G02600	0	0	0	0
gene:AT1G04133	0	0	50	31
gene:AT1G04137	0	0	0	0
gene:AT1G04143	0	0	0	0
gene:AT1G02760	0	0	0	0
gene:AT1G04147	3	6	23	24
gene:AT1G04153	0	0	0	0
gene:AT1G02952	97	84	55	143
gene:AT1G04157	21	6	117	71
gene:AT1G04163	40	49	75	36
gene:AT1G04167	0	0	1	0
gene:AT1G04173	5	3	3	2
gene:AT1G04177	0	1	0	0
gene:AT1G04183	379	415	426	569
gene:AT1G04187	8	10	3	6
gene:AT1G04193	0	1	2	4
gene:AT1G03502	6	2	3	3
gene:AT1G03506	2	2	3	5
gene:AT1G04197	1	1	7	7
gene:AT1G03515	0	0	0	0
gene:AT1G03545	131	118	131	135
gene:AT1G03570	0	0	0	0
gene:AT1G03640	0	0	0	0
gene:AT1G04203	0	1	4	2
gene:AT1G04207	0	0	0	0
gene:AT1G04213	3	1	1	1
gene:AT1G03743	0	0	1	0
gene:AT1G03746	0	0	0	0
gene:AT1G04217	8	8	17	13
gene:AT1G03935	3	8	11	11
gene:AT1G04223	3	3	11	3
gene:AT1G04227	2	1	1	6
gene:AT1G04233	279	275	193	199
gene:AT1G04237	57	52	70	134
gene:AT1G04243	0	0	0	0
gene:AT1G04247	236	250	62	179
gene:AT1G04253	0	0	0	0
gene:AT1G04295	213	196	191	119
gene:AT1G04320	0	0	0	0
gene:AT1G04257	0	0	0	0
gene:AT1G04425	109	66	27	60
gene:AT1G04263	3	10	4	2
gene:AT1G04267	3	1	6	5
gene:AT1G04273	5	1	5	4
gene:AT1G04277	8	8	3	8
gene:AT1G04283	0	0	0	0
gene:AT1G04720	0	0	0	0
gene:AT1G04287	0	0	0	0
gene:AT1G04293	0	0	0	0
gene:AT1G04297	32	27	11	23
gene:AT1G04303	32	35	26	32
gene:AT1G04307	0	0	0	0
gene:AT1G04313	19	11	6	5
gene:AT1G04323	7	7	1	4
gene:AT1G04327	0	0	0	0
gene:AT1G04333	0	0	0	0
gene:AT1G04337	0	0	0	0
gene:AT1G04343	130	138	67	89
gene:AT1G04347	54	70	29	51
gene:AT1G04353	121	140	135	177
gene:AT1G04357	0	1	0	2
gene:AT1G04363	0	0	0	0
gene:AT1G04367	1	3	0	2
gene:AT1G04373	0	0	0	0
gene:AT1G04377	0	0	0	0
gene:AT1G04383	0	0	0	0
gene:AT1G04387	0	0	0	0
gene:AT1G05390	0	0	0	0
gene:AT1G05562	3379	2828	3248	1534
gene:AT1G04393	1	0	0	2
gene:AT1G04397	0	0	0	0
gene:AT1G04403	0	0	0	0
gene:AT1G04407	0	0	0	0
gene:AT1G04413	31	26	14	17
gene:AT1G04417	0	1	0	0
gene:AT1G04423	1	4	1	0
gene:AT1G04427	3	11	13	9
gene:AT1G04433	37	52	108	122
gene:AT1G04437	25	10	10	16
gene:AT1G05980	0	0	0	0
gene:AT1G06002	934	872	454	544
gene:AT1G04443	0	0	0	0
gene:AT1G04447	0	0	0	0
gene:AT1G06265	76	104	63	78
gene:AT1G04453	0	0	0	0
gene:AT1G04463	74	50	77	68
gene:AT1G04467	249	284	280	299
gene:AT1G06480	0	0	0	0
gene:AT1G04473	30	31	8	23
gene:AT1G04477	57	53	65	77
gene:AT1G04483	1	3	11	4
gene:AT1G06610	0	0	0	0
gene:AT1G04487	602	553	483	452
gene:AT1G04493	10	11	12	13
gene:AT1G04497	12	10	11	6
gene:AT1G04503	916	1115	972	1251
gene:AT1G04507	20	17	18	9
gene:AT1G04513	224	165	83	102
gene:AT1G04517	2	0	0	0
gene:AT1G06860	0	0	0	0
gene:AT1G04523	0	1	0	0
gene:AT1G04527	0	0	0	0
gene:AT1G06880	0	0	0	0
gene:AT1G04533	0	1	1	0
gene:AT1G04537	227	222	142	158
gene:AT1G04547	0	0	0	2
gene:AT1G07051	0	0	0	0
gene:AT1G04557	0	0	0	0
gene:AT1G07100	0	0	0	0
gene:AT1G07119	21	32	38	44
gene:AT1G04563	0	0	0	0
gene:AT1G07128	144	126	117	118
gene:AT1G04567	15	21	9	18
gene:AT1G04573	0	0	0	0
gene:AT1G04577	6	4	1	1
gene:AT1G04583	0	0	2	2
gene:AT1G04587	42	53	27	45
gene:AT1G04593	0	0	0	0
gene:AT1G04597	0	0	0	0
gene:AT1G07580	0	0	0	0
gene:AT1G04603	0	0	0	0
gene:AT1G04607	0	0	0	0
gene:AT1G07702	30	28	16	16
gene:AT1G04623	0	0	0	0
gene:AT1G07728	233	297	254	264
gene:AT1G07760	0	0	0	0
gene:AT1G08115	4	13	13	16
gene:AT1G04643	14	5	16	19
gene:AT1G08240	0	0	0	0
gene:AT1G04647	167	168	260	149
gene:AT1G04653	0	0	0	0
gene:AT1G08592	190	253	289	396
gene:AT1G04657	12	5	2	4
gene:AT1G04667	0	0	0	0
gene:AT1G08870	0	0	0	0
gene:AT1G04673	0	0	0	0
gene:AT1G04677	0	0	0	0
gene:AT1G04683	0	0	0	0
gene:AT1G08950	0	0	0	0
gene:AT1G09110	0	0	0	0
gene:AT1G04687	0	0	0	0
gene:AT1G04693	0	0	0	0
gene:AT1G04697	8	10	6	5
gene:AT1G09421	124	84	73	57
gene:AT1G04703	0	0	2	0
gene:AT1G04707	0	16	14	8
gene:AT1G04713	3	0	0	0
gene:AT1G04717	0	0	0	0
gene:AT1G04723	19	16	30	36
gene:AT1G04733	119	200	78	63
gene:AT1G04737	70	95	38	35
gene:AT1G04743	0	4	0	0
gene:AT1G04747	0	0	0	0
gene:AT1G04753	0	0	0	0
gene:AT1G04763	0	0	0	0
gene:AT1G04767	0	5	15	25
gene:AT1G04773	139	85	72	114
gene:AT1G04783	0	0	0	0
gene:AT1G04787	0	0	0	0
gene:AT1G04793	0	0	0	0
gene:AT1G10440	0	0	0	0
gene:AT1G04797	2	0	2	4
gene:AT1G04803	11	31	7	15
gene:AT1G04807	0	2	0	0
gene:AT1G04813	0	0	0	0
gene:AT1G10682	924	967	660	612
gene:AT1G04817	2	2	0	0
gene:AT1G04823	31	27	40	66
gene:AT1G04827	74	63	44	50
gene:AT1G11010	0	0	0	0
gene:AT1G11030	0	0	0	0
gene:AT1G04833	571	513	617	408
gene:AT1G04837	265	237	176	197
gene:AT1G11175	163	151	329	277
gene:AT1G11185	79	62	72	54
gene:AT1G04847	0	0	0	2
gene:AT1G04853	51	43	115	108
gene:AT1G11550	0	0	0	0
gene:AT1G04857	0	2	0	0
gene:AT1G11592	137	133	145	171
gene:AT1G11640	0	1	0	0
gene:AT1G04863	0	0	0	0
gene:AT1G04867	0	0	0	0
gene:AT1G04873	53	43	75	60
gene:AT1G04877	1	3	10	6
gene:AT1G11735	1	0	0	4
gene:AT1G04883	35	40	34	58
gene:AT1G04887	0	0	0	0
gene:AT1G04893	10	13	15	16
gene:AT1G04897	2	0	0	0
gene:AT1G04907	4	0	2	0
gene:AT1G04913	26	20	17	14
gene:AT1G04917	45	48	34	47
gene:AT1G12013	2	6	0	2
gene:AT1G12015	0	0	0	0
gene:AT1G04923	0	0	0	0
gene:AT1G04927	55	56	29	46
gene:AT1G04933	21	23	14	18
gene:AT1G04937	0	0	0	0
gene:AT1G12294	2	0	1	2
gene:AT1G04943	0	0	0	0
gene:AT1G04947	0	0	0	0
gene:AT1G04953	72	35	54	49
gene:AT1G04957	0	0	0	0
gene:AT1G12510	0	0	0	0
gene:AT1G12590	0	0	0	0
gene:AT1G04963	0	0	0	0
gene:AT1G04967	0	0	0	0
gene:AT1G04973	36	48	41	60
gene:AT1G04977	293	322	245	291
gene:AT1G04983	0	1	0	0
gene:AT1G13010	0	0	0	1
gene:AT1G04987	0	0	0	0
gene:AT1G13240	0	0	0	0
gene:AT1G04993	0	0	0	0
gene:AT1G04997	0	0	5	0
gene:AT1G05003	0	0	0	0
gene:AT1G05007	0	0	0	0
gene:AT1G05013	0	0	0	0
gene:AT1G13448	21	20	42	37
gene:AT1G05017	17	10	28	19
gene:AT1G05023	39	26	43	31
gene:AT1G05027	0	0	0	0
gene:AT1G13720	0	0	0	0
gene:AT1G05033	38	61	53	77
gene:AT1G13840	0	0	0	0
gene:AT1G13850	0	0	0	0
gene:AT1G05037	0	0	0	0
gene:AT1G05043	39	38	11	13
gene:AT1G05047	105	150	164	145
gene:AT1G14071	2	6	6	4
gene:AT1G05053	0	0	0	0
gene:AT1G05057	18	48	28	25
gene:AT1G05067	0	0	0	0
gene:AT1G05073	0	0	0	0
gene:AT1G05077	43	30	9	8
gene:AT1G05083	17	15	20	24
gene:AT1G05093	4	0	2	4
gene:AT1G14518	0	0	0	0
gene:AT1G05097	0	0	0	0
gene:AT1G05103	0	0	0	0
gene:AT1G05107	1	2	0	3
gene:AT1G05113	0	0	0	0
gene:AT1G05117	0	0	0	0
gene:AT1G05123	48	58	32	49
gene:AT1G05127	0	0	0	0
gene:AT1G05133	0	0	0	0
gene:AT1G15002	164	195	330	286
gene:AT1G05137	0	0	0	0
gene:AT1G05143	47	39	38	28
gene:AT1G05147	1406	790	615	150
gene:AT1G15090	0	2	0	0
gene:AT1G05153	69	50	30	32
gene:AT1G15175	41	66	79	70
gene:AT1G05163	1	1	3	6
gene:AT1G15405	0	0	0	0
gene:AT1G15450	0	0	0	0
gene:AT1G05173	0	0	0	0
gene:AT1G15650	0	0	0	0
gene:AT1G05177	0	0	0	0
gene:AT1G05183	117	102	195	154
gene:AT1G05187	79	44	65	78
gene:AT1G05193	0	0	0	0
