Geneid	WT_AGO1-1	WT_AGO1-2	ago1-1	ago1-2
transcript:AT2G01010.1	87122	23182	104526	109761
transcript:AT2G01020.1	1087	1078	1366	1387
transcript:AT3G41768.1	108143	29055	128718	134377
transcript:AT3G41979.1	1249	1137	1444	1335
transcript:ATMG00020.1	4592	3509	5399	4384
transcript:ATMG01380.1	23	29	53	36
transcript:ATMG01390.1	10994	10772	19036	17492
transcript:ATCG00920.1	29279	5391	21575	24108
transcript:ATCG00950.1	36195	11992	25509	25943
transcript:ATCG00960.1	69	16	41	43
transcript:ATCG00970.1	34	4	2	13
transcript:ATCG01160.1	26	8	7	17
transcript:ATCG01170.1	59	16	46	63
transcript:ATCG01180.1	36653	12006	25515	25663
transcript:ATCG01210.1	29271	5244	21474	23104
