Geneid	WT_AGO1-1	WT_AGO1-2	deltaN-1	deltaN-2
transcript:AT2G01010.1	87122	23182	87679	85615
transcript:AT2G01020.1	1087	1078	1349	1445
transcript:AT3G41768.1	108143	29055	109574	105925
transcript:AT3G41979.1	1249	1137	1492	1558
transcript:ATMG00020.1	4592	3509	5435	5541
transcript:ATMG01380.1	23	29	40	40
transcript:ATMG01390.1	10994	10772	12361	11468
transcript:ATCG00920.1	29279	5391	30295	26684
transcript:ATCG00950.1	36195	11992	44163	35899
transcript:ATCG00960.1	69	16	88	59
transcript:ATCG00970.1	34	4	12	11
transcript:ATCG01160.1	26	8	14	4
transcript:ATCG01170.1	59	16	63	58
transcript:ATCG01180.1	36653	12006	43602	35741
transcript:ATCG01210.1	29271	5244	30119	26568
