Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT2G01010.1	104526	109761	87679	85615
transcript:AT2G01020.1	1366	1387	1349	1445
transcript:AT3G41768.1	128718	134377	109574	105925
transcript:AT3G41979.1	1444	1335	1492	1558
transcript:ATMG00020.1	5399	4384	5435	5541
transcript:ATMG01380.1	53	36	40	40
transcript:ATMG01390.1	19036	17492	12361	11468
transcript:ATCG00920.1	21575	24108	30295	26684
transcript:ATCG00950.1	25509	25943	44163	35899
transcript:ATCG00960.1	41	43	88	59
transcript:ATCG00970.1	2	13	12	11
transcript:ATCG01160.1	7	17	14	4
transcript:ATCG01170.1	46	63	63	58
transcript:ATCG01180.1	25515	25663	43602	35741
transcript:ATCG01210.1	21474	23104	30119	26568
