Geneid	WT_AGO1-1	WT_AGO1-2	ago1-1	ago1-2
transcript:AT1G04263.1	10	3	3	10
transcript:AT1G08115.1	7	9	4	13
transcript:AT1G04733.1	61	83	119	200
transcript:AT1G04897.1	4	0	2	0
transcript:AT1G04907.1	0	2	4	0
transcript:AT1G05057.1	10	11	18	48
transcript:AT1G05273.1	39	34	73	90
transcript:AT1G05673.1	0	0	0	0
transcript:AT1G05853.1	0	0	4	1
transcript:AT1G06873.1	2	1	0	0
transcript:AT1G06877.1	1	8	1	0
transcript:AT1G07537.1	0	0	0	0
transcript:AT1G07827.1	0	0	0	1
transcript:AT1G07883.1	4	2	5	4
transcript:AT1G61275.1	19	5	14	13
transcript:AT1G08367.1	0	0	0	0
transcript:AT1G08737.1	3	2	2	1
transcript:AT1G08987.1	1	0	0	0
transcript:AT1G09143.1	61	38	38	38
transcript:AT1G09237.1	0	0	0	0
transcript:AT1G09893.1	47	49	53	61
transcript:AT1G09947.1	0	0	0	0
transcript:AT2G04375.1	6	29	21	51
transcript:AT2G04455.1	15	18	26	36
transcript:AT2G06455.1	0	0	0	0
transcript:AT2G07295.1	0	0	0	0
transcript:AT3G01695.1	8	11	16	22
transcript:AT3G01715.1	15	12	10	22
transcript:AT3G06900.1	0	2	3	6
transcript:AT3G13855.1	1	2	8	9
transcript:AT3G14735.1	1	2	0	12
transcript:AT3G04905.1	0	0	0	0
transcript:AT3G05115.1	0	0	0	0
transcript:AT3G07265.1	50	37	30	43
transcript:AT3G08575.1	0	0	0	0
transcript:AT3G08605.1	32	39	32	22
transcript:AT3G08615.1	0	0	0	2
transcript:AT3G56705.1	18	4	20	36
transcript:AT3G08695.1	9	14	22	11
transcript:AT3G56825.1	26	35	54	71
transcript:AT3G08735.1	0	0	0	0
transcript:AT3G57645.1	0	2	4	8
transcript:AT3G08945.1	24	16	22	8
transcript:AT3G57765.1	111	136	77	63
transcript:AT3G09005.1	5	7	2	3
transcript:AT4G03995.1	1	8	12	16
transcript:AT4G04185.1	0	0	0	2
transcript:AT4G04615.1	2	4	1	9
transcript:AT4G06375.1	4	5	15	16
transcript:AT4G06405.1	0	0	0	0
transcript:AT4G07120.1	8	6	8	3
transcript:AT4G07145.1	0	0	0	1
transcript:AT4G07875.1	7	1	6	3
transcript:AT4G08755.1	29	15	26	30
transcript:AT4G09135.1	5	0	7	32
transcript:AT5G09585.1	14	10	33	47
transcript:AT5G01845.1	0	0	0	0
transcript:AT5G02245.1	1	0	0	0
transcript:AT5G02255.1	0	0	0	2
transcript:AT5G04085.1	0	0	0	0
transcript:AT5G04105.1	8	10	10	3
transcript:AT5G04305.1	0	0	0	0
transcript:AT5G04315.1	0	0	0	2
transcript:AT5G04455.1	2	0	0	0
transcript:AT5G04465.1	0	0	0	0
transcript:AT5G40395.1	4	0	5	12
transcript:AT5G06055.1	12	11	12	7
transcript:AT5G46315.1	4	0	2	12
transcript:AT5G06815.1	0	0	0	0
transcript:AT5G07335.1	2	1	2	0
transcript:AT5G07345.1	2	1	0	0
transcript:AT5G07405.1	6	8	16	19
transcript:AT5G07415.1	45	37	83	81
transcript:AT5G07775.1	0	0	0	0
transcript:AT5G08025.1	0	4	6	3
transcript:AT5G08115.1	0	0	0	0
transcript:AT5G08810.1	9	11	14	6
transcript:AT5G61455.1	7	9	24	36
transcript:AT5G09010.1	0	0	0	0
transcript:AT5G09080.1	0	0	0	0
transcript:AT5G09140.1	1	3	0	1
transcript:AT5G09945.1	0	0	0	0
