Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT1G04263.1	3	10	4	2
transcript:AT1G08115.1	4	13	13	16
transcript:AT1G04733.1	119	200	78	63
transcript:AT1G04897.1	2	0	0	0
transcript:AT1G04907.1	4	0	2	0
transcript:AT1G05057.1	18	48	28	25
transcript:AT1G05273.1	73	90	36	27
transcript:AT1G05673.1	0	0	0	0
transcript:AT1G05853.1	4	1	2	2
transcript:AT1G06873.1	0	0	1	0
transcript:AT1G06877.1	1	0	0	5
transcript:AT1G07537.1	0	0	0	0
transcript:AT1G07827.1	0	1	0	0
transcript:AT1G07883.1	5	4	3	9
transcript:AT1G61275.1	14	13	16	7
transcript:AT1G08367.1	0	0	0	0
transcript:AT1G08737.1	2	1	2	2
transcript:AT1G08987.1	0	0	0	0
transcript:AT1G09143.1	38	38	38	54
transcript:AT1G09237.1	0	0	0	0
transcript:AT1G09893.1	53	61	55	35
transcript:AT1G09947.1	0	0	0	0
transcript:AT2G04375.1	21	51	26	21
transcript:AT2G04455.1	26	36	13	5
transcript:AT2G06455.1	0	0	0	0
transcript:AT2G07295.1	0	0	0	0
transcript:AT3G01695.1	16	22	8	6
transcript:AT3G01715.1	10	22	6	7
transcript:AT3G06900.1	3	6	1	2
transcript:AT3G13855.1	8	9	3	5
transcript:AT3G14735.1	0	12	0	1
transcript:AT3G04905.1	0	0	0	0
transcript:AT3G05115.1	0	0	0	0
transcript:AT3G07265.1	30	43	31	51
transcript:AT3G08575.1	0	0	0	0
transcript:AT3G08605.1	32	22	27	26
transcript:AT3G08615.1	0	2	0	0
transcript:AT3G56705.1	20	36	19	18
transcript:AT3G08695.1	22	11	18	17
transcript:AT3G56825.1	54	71	59	38
transcript:AT3G08735.1	0	0	0	0
transcript:AT3G57645.1	4	8	2	0
transcript:AT3G08945.1	22	8	11	19
transcript:AT3G57765.1	77	63	94	91
transcript:AT3G09005.1	2	3	22	1
transcript:AT4G03995.1	12	16	9	2
transcript:AT4G04185.1	0	2	2	2
transcript:AT4G04615.1	1	9	4	4
transcript:AT4G06375.1	15	16	6	6
transcript:AT4G06405.1	0	0	0	0
transcript:AT4G07120.1	8	3	13	16
transcript:AT4G07145.1	0	1	0	3
transcript:AT4G07875.1	6	3	4	1
transcript:AT4G08755.1	26	30	16	18
transcript:AT4G09135.1	7	32	6	8
transcript:AT5G09585.1	33	47	8	19
transcript:AT5G01845.1	0	0	0	0
transcript:AT5G02245.1	0	0	0	0
transcript:AT5G02255.1	0	2	1	1
transcript:AT5G04085.1	0	0	0	0
transcript:AT5G04105.1	10	3	8	4
transcript:AT5G04305.1	0	0	2	0
transcript:AT5G04315.1	0	2	1	0
transcript:AT5G04455.1	0	0	0	0
transcript:AT5G04465.1	0	0	0	0
transcript:AT5G40395.1	5	12	0	0
transcript:AT5G06055.1	12	7	11	3
transcript:AT5G46315.1	2	12	1	1
transcript:AT5G06815.1	0	0	0	0
transcript:AT5G07335.1	2	0	0	0
transcript:AT5G07345.1	0	0	1	1
transcript:AT5G07405.1	16	19	14	10
transcript:AT5G07415.1	83	81	30	54
transcript:AT5G07775.1	0	0	0	0
transcript:AT5G08025.1	6	3	5	4
transcript:AT5G08115.1	0	0	0	0
transcript:AT5G08810.1	14	6	6	5
transcript:AT5G61455.1	24	36	11	2
transcript:AT5G09010.1	0	0	0	0
transcript:AT5G09080.1	0	0	0	0
transcript:AT5G09140.1	0	1	7	6
transcript:AT5G09945.1	0	0	0	0
