Geneid	WT_AGO1-1	WT_AGO1-2	ago1-1	ago1-2
transcript:AT1G04187.1	4	3	8	10
transcript:AT1G04193.1	2	2	0	1
transcript:AT1G03502.1	6	3	6	2
transcript:AT1G03506.1	8	11	2	2
transcript:AT1G04197.1	3	2	1	1
transcript:AT1G04213.1	2	0	3	1
transcript:AT1G03743.1	1	0	0	0
transcript:AT1G03746.1	0	0	0	0
transcript:AT1G04217.1	16	11	8	8
transcript:AT1G03935.1	14	11	3	8
transcript:AT1G04223.1	7	9	3	3
transcript:AT1G04227.1	2	4	2	1
transcript:AT1G04267.1	7	7	3	1
transcript:AT1G04273.1	4	6	5	1
transcript:AT1G04277.1	3	5	8	8
transcript:AT1G04517.1	0	1	2	0
transcript:AT1G04527.1	0	0	0	0
transcript:AT1G04547.1	0	1	0	0
transcript:AT1G07702.1	11	30	30	28
transcript:AT1G12013.1	1	2	2	6
transcript:AT1G12015.1	0	0	0	0
transcript:AT1G05137.1	0	1	0	1
transcript:AT1G05247.1	3	2	1	6
transcript:AT1G05417.1	13	15	23	24
transcript:AT1G05423.1	13	8	24	13
transcript:AT1G05427.1	19	15	26	16
transcript:AT1G05433.1	6	8	10	9
transcript:AT1G19373.1	0	0	3	1
transcript:AT1G19376.1	0	0	0	0
transcript:AT1G20015.1	2	1	1	2
transcript:AT1G05563.1	16	19	13	26
transcript:AT1G05907.1	0	0	0	1
transcript:AT1G05917.1	3	8	16	12
transcript:AT1G26233.1	0	1	0	3
transcript:AT1G05993.1	1	2	3	0
transcript:AT1G05997.1	5	2	5	3
transcript:AT1G06033.1	8	8	5	5
transcript:AT1G06087.1	10	0	1	1
transcript:AT1G29071.1	4	0	4	3
transcript:AT1G06233.1	29	44	25	21
transcript:AT1G06237.1	31	46	33	19
transcript:AT1G06243.1	42	38	30	26
transcript:AT1G06247.1	16	15	16	14
transcript:AT1G06253.1	63	102	71	82
transcript:AT1G06263.1	12	12	0	3
transcript:AT1G06267.1	3	7	2	2
transcript:AT1G06273.1	2	9	3	3
transcript:AT1G06277.1	1	7	5	2
transcript:AT1G06283.1	22	35	13	4
transcript:AT1G06397.1	70	80	77	82
transcript:AT1G06453.1	18	33	15	14
transcript:AT1G06457.1	2	11	3	6
transcript:AT1G06463.1	16	17	12	11
transcript:AT1G06467.1	0	0	0	4
transcript:AT1G06547.1	9	13	10	9
transcript:AT1G32385.1	6	4	5	4
transcript:AT1G06553.1	2	5	5	7
transcript:AT1G06667.1	0	0	2	1
transcript:AT1G06673.1	0	0	2	0
transcript:AT1G07393.1	0	0	0	0
transcript:AT1G07487.1	0	0	0	0
transcript:AT1G07593.1	0	0	0	1
transcript:AT1G07897.1	37	32	82	55
transcript:AT1G07903.1	14	21	32	37
transcript:AT1G07957.1	1	0	3	2
transcript:AT1G08107.1	3	1	4	6
transcript:AT1G08113.1	0	0	1	2
transcript:AT1G08117.1	0	0	1	1
transcript:AT1G08123.1	3	0	0	1
transcript:AT1G08327.1	0	0	0	1
transcript:AT1G08347.1	0	0	0	0
transcript:AT1G08353.1	0	0	0	0
transcript:AT1G08643.1	5	4	17	38
transcript:AT1G08937.1	4	2	3	2
transcript:AT1G09027.1	75	69	33	68
transcript:AT1G09083.1	16	9	14	13
transcript:AT1G09087.1	10	6	11	6
transcript:AT1G09333.1	99	180	62	48
transcript:AT1G74453.1	45	48	42	33
transcript:AT1G74456.1	45	39	33	34
transcript:AT1G09467.1	22	30	30	22
transcript:AT1G09533.1	17	13	12	3
transcript:AT1G75163.1	8	6	16	3
transcript:AT1G75166.1	18	21	13	15
transcript:AT1G09787.1	0	1	6	4
transcript:AT1G09867.1	6	10	9	13
transcript:AT1G09873.1	0	1	2	4
transcript:AT1G09877.1	10	4	8	5
transcript:AT1G09883.1	3	5	8	8
transcript:AT2G05765.1	21	18	21	37
transcript:AT2G04955.1	47	31	56	75
transcript:AT2G04965.1	25	15	25	33
transcript:AT2G05525.1	0	0	0	0
transcript:AT2G05565.1	0	0	0	0
transcript:AT2G06855.1	1	0	1	1
transcript:AT2G06865.1	0	0	1	4
transcript:AT2G17295.1	0	0	1	0
transcript:AT2G20721.1	17	17	16	8
transcript:AT2G20722.1	11	8	4	7
transcript:AT2G20723.1	9	8	4	11
transcript:AT2G07605.1	0	2	5	4
transcript:AT2G07615.1	0	3	1	0
transcript:AT2G08370.1	0	0	0	0
transcript:AT2G08375.1	1	0	0	0
transcript:AT2G08390.1	0	0	0	0
transcript:AT2G08580.1	1	0	0	2
transcript:AT2G08585.1	3	0	2	5
transcript:AT2G35382.1	0	0	0	0
transcript:AT2G35384.1	0	0	0	0
transcript:AT2G35387.1	0	0	1	0
transcript:AT2G08725.1	0	0	1	0
transcript:AT2G35742.1	1	1	1	4
transcript:AT2G08755.1	0	3	3	2
transcript:AT2G08760.1	9	8	6	1
transcript:AT2G08765.1	43	42	36	19
transcript:AT2G35744.1	38	36	21	32
transcript:AT2G35747.1	33	61	41	24
transcript:AT2G08770.1	73	74	77	56
transcript:AT2G08860.1	15	6	10	17
transcript:AT2G08900.1	0	2	2	1
transcript:AT2G08905.1	0	3	0	0
transcript:AT2G08910.1	1	1	1	0
transcript:AT2G43137.1	1	0	0	0
transcript:AT2G43138.1	0	0	2	1
transcript:AT2G43139.1	0	1	0	2
transcript:AT2G43141.1	0	0	0	0
transcript:AT2G09460.1	5	8	11	9
