Geneid	WT_AGO1-1	WT_AGO1-2	deltaN-1	deltaN-2
transcript:AT1G04187.1	4	3	3	6
transcript:AT1G04193.1	2	2	2	4
transcript:AT1G03502.1	6	3	3	3
transcript:AT1G03506.1	8	11	3	5
transcript:AT1G04197.1	3	2	7	7
transcript:AT1G04213.1	2	0	1	1
transcript:AT1G03743.1	1	0	1	0
transcript:AT1G03746.1	0	0	0	0
transcript:AT1G04217.1	16	11	17	13
transcript:AT1G03935.1	14	11	11	11
transcript:AT1G04223.1	7	9	11	3
transcript:AT1G04227.1	2	4	1	6
transcript:AT1G04267.1	7	7	6	5
transcript:AT1G04273.1	4	6	5	4
transcript:AT1G04277.1	3	5	3	8
transcript:AT1G04517.1	0	1	0	0
transcript:AT1G04527.1	0	0	0	0
transcript:AT1G04547.1	0	1	0	2
transcript:AT1G07702.1	11	30	16	16
transcript:AT1G12013.1	1	2	0	2
transcript:AT1G12015.1	0	0	0	0
transcript:AT1G05137.1	0	1	1	0
transcript:AT1G05247.1	3	2	1	0
transcript:AT1G05417.1	13	15	14	17
transcript:AT1G05423.1	13	8	12	16
transcript:AT1G05427.1	19	15	17	20
transcript:AT1G05433.1	6	8	5	14
transcript:AT1G19373.1	0	0	0	1
transcript:AT1G19376.1	0	0	1	0
transcript:AT1G20015.1	2	1	2	0
transcript:AT1G05563.1	16	19	21	21
transcript:AT1G05907.1	0	0	0	0
transcript:AT1G05917.1	3	8	6	0
transcript:AT1G26233.1	0	1	3	2
transcript:AT1G05993.1	1	2	0	0
transcript:AT1G05997.1	5	2	0	0
transcript:AT1G06033.1	8	8	6	5
transcript:AT1G06087.1	10	0	0	0
transcript:AT1G29071.1	4	0	1	5
transcript:AT1G06233.1	29	44	16	31
transcript:AT1G06237.1	31	46	28	20
transcript:AT1G06243.1	42	38	27	34
transcript:AT1G06247.1	16	15	16	17
transcript:AT1G06253.1	63	102	84	95
transcript:AT1G06263.1	12	12	13	10
transcript:AT1G06267.1	3	7	2	9
transcript:AT1G06273.1	2	9	1	12
transcript:AT1G06277.1	1	7	6	6
transcript:AT1G06283.1	22	35	24	22
transcript:AT1G06397.1	70	80	73	107
transcript:AT1G06453.1	18	33	22	32
transcript:AT1G06457.1	2	11	2	11
transcript:AT1G06463.1	16	17	8	8
transcript:AT1G06467.1	0	0	0	0
transcript:AT1G06547.1	9	13	8	4
transcript:AT1G32385.1	6	4	3	7
transcript:AT1G06553.1	2	5	1	4
transcript:AT1G06667.1	0	0	0	0
transcript:AT1G06673.1	0	0	0	0
transcript:AT1G07393.1	0	0	0	0
transcript:AT1G07487.1	0	0	0	0
transcript:AT1G07593.1	0	0	0	0
transcript:AT1G07897.1	37	32	26	23
transcript:AT1G07903.1	14	21	18	11
transcript:AT1G07957.1	1	0	1	0
transcript:AT1G08107.1	3	1	0	0
transcript:AT1G08113.1	0	0	0	0
transcript:AT1G08117.1	0	0	0	0
transcript:AT1G08123.1	3	0	1	0
transcript:AT1G08327.1	0	0	1	0
transcript:AT1G08347.1	0	0	0	0
transcript:AT1G08353.1	0	0	0	0
transcript:AT1G08643.1	5	4	7	7
transcript:AT1G08937.1	4	2	0	5
transcript:AT1G09027.1	75	69	59	89
transcript:AT1G09083.1	16	9	9	13
transcript:AT1G09087.1	10	6	5	4
transcript:AT1G09333.1	99	180	123	151
transcript:AT1G74453.1	45	48	43	38
transcript:AT1G74456.1	45	39	39	42
transcript:AT1G09467.1	22	30	35	38
transcript:AT1G09533.1	17	13	14	8
transcript:AT1G75163.1	8	6	9	3
transcript:AT1G75166.1	18	21	21	24
transcript:AT1G09787.1	0	1	2	4
transcript:AT1G09867.1	6	10	12	10
transcript:AT1G09873.1	0	1	3	0
transcript:AT1G09877.1	10	4	7	4
transcript:AT1G09883.1	3	5	8	9
transcript:AT2G05765.1	21	18	18	17
transcript:AT2G04955.1	47	31	28	43
transcript:AT2G04965.1	25	15	18	15
transcript:AT2G05525.1	0	0	0	0
transcript:AT2G05565.1	0	0	0	0
transcript:AT2G06855.1	1	0	0	3
transcript:AT2G06865.1	0	0	5	4
transcript:AT2G17295.1	0	0	1	0
transcript:AT2G20721.1	17	17	17	19
transcript:AT2G20722.1	11	8	3	14
transcript:AT2G20723.1	9	8	8	11
transcript:AT2G07605.1	0	2	0	4
transcript:AT2G07615.1	0	3	0	0
transcript:AT2G08370.1	0	0	0	0
transcript:AT2G08375.1	1	0	0	0
transcript:AT2G08390.1	0	0	0	0
transcript:AT2G08580.1	1	0	1	8
transcript:AT2G08585.1	3	0	5	5
transcript:AT2G35382.1	0	0	0	1
transcript:AT2G35384.1	0	0	0	0
transcript:AT2G35387.1	0	0	1	0
transcript:AT2G08725.1	0	0	1	1
transcript:AT2G35742.1	1	1	2	0
transcript:AT2G08755.1	0	3	2	1
transcript:AT2G08760.1	9	8	4	14
transcript:AT2G08765.1	43	42	32	45
transcript:AT2G35744.1	38	36	41	35
transcript:AT2G35747.1	33	61	21	34
transcript:AT2G08770.1	73	74	78	44
transcript:AT2G08860.1	15	6	7	8
transcript:AT2G08900.1	0	2	0	0
transcript:AT2G08905.1	0	3	1	1
transcript:AT2G08910.1	1	1	4	1
transcript:AT2G43137.1	1	0	0	0
transcript:AT2G43138.1	0	0	3	0
transcript:AT2G43139.1	0	1	0	0
transcript:AT2G43141.1	0	0	0	1
transcript:AT2G09460.1	5	8	13	23
transcript:AT2G09465.1	18	13	8	18
transcript:AT2G09680.1	3	3	4	0
transcript:AT2G09685.1	13	18	9	7
transcript:AT2G09690.1	26	15	11	11
transcript:AT2G09695.1	7	10	12	7
transcript:AT2G09700.1	24	14	4	2
transcript:AT2G09705.1	1	3	2	1
transcript:AT2G09815.1	0	0	0	0
transcript:AT3G01313.1	2	1	0	0
transcript:AT3G01316.1	2	1	0	0
transcript:AT3G00985.1	6	1	1	2
transcript:AT3G01145.1	12	5	8	4
transcript:AT3G01155.1	23	10	11	8
transcript:AT3G02045.1	13	11	12	13
transcript:AT3G02205.1	33	30	19	10
transcript:AT3G02385.1	0	2	1	0
transcript:AT3G02435.1	7	3	7	8
transcript:AT3G02445.1	7	7	5	7
transcript:AT3G13525.1	0	0	0	0
transcript:AT3G02725.1	1	1	0	0
transcript:AT3G02795.1	3	2	0	0
transcript:AT3G14475.1	9	9	5	13
transcript:AT3G03175.1	2	0	0	2
transcript:AT3G03415.1	0	0	0	0
transcript:AT3G03425.1	0	0	0	0
transcript:AT3G03445.1	0	2	0	0
transcript:AT3G03585.1	4	4	2	0
transcript:AT3G21805.1	1	8	3	12
transcript:AT3G04155.1	4	9	4	6
transcript:AT3G04165.1	10	11	9	13
transcript:AT3G04175.1	5	10	8	12
transcript:AT3G24612.1	0	1	0	0
transcript:AT3G24614.1	0	0	0	0
transcript:AT3G24615.1	0	0	4	0
transcript:AT3G04985.1	0	2	0	0
