Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT1G04187.1	8	10	3	6
transcript:AT1G04193.1	0	1	2	4
transcript:AT1G03502.1	6	2	3	3
transcript:AT1G03506.1	2	2	3	5
transcript:AT1G04197.1	1	1	7	7
transcript:AT1G04213.1	3	1	1	1
transcript:AT1G03743.1	0	0	1	0
transcript:AT1G03746.1	0	0	0	0
transcript:AT1G04217.1	8	8	17	13
transcript:AT1G03935.1	3	8	11	11
transcript:AT1G04223.1	3	3	11	3
transcript:AT1G04227.1	2	1	1	6
transcript:AT1G04267.1	3	1	6	5
transcript:AT1G04273.1	5	1	5	4
transcript:AT1G04277.1	8	8	3	8
transcript:AT1G04517.1	2	0	0	0
transcript:AT1G04527.1	0	0	0	0
transcript:AT1G04547.1	0	0	0	2
transcript:AT1G07702.1	30	28	16	16
transcript:AT1G12013.1	2	6	0	2
transcript:AT1G12015.1	0	0	0	0
transcript:AT1G05137.1	0	1	1	0
transcript:AT1G05247.1	1	6	1	0
transcript:AT1G05417.1	23	24	14	17
transcript:AT1G05423.1	24	13	12	16
transcript:AT1G05427.1	26	16	17	20
transcript:AT1G05433.1	10	9	5	14
transcript:AT1G19373.1	3	1	0	1
transcript:AT1G19376.1	0	0	1	0
transcript:AT1G20015.1	1	2	2	0
transcript:AT1G05563.1	13	26	21	21
transcript:AT1G05907.1	0	1	0	0
transcript:AT1G05917.1	16	12	6	0
transcript:AT1G26233.1	0	3	3	2
transcript:AT1G05993.1	3	0	0	0
transcript:AT1G05997.1	5	3	0	0
transcript:AT1G06033.1	5	5	6	5
transcript:AT1G06087.1	1	1	0	0
transcript:AT1G29071.1	4	3	1	5
transcript:AT1G06233.1	25	21	16	31
transcript:AT1G06237.1	33	19	28	20
transcript:AT1G06243.1	30	26	27	34
transcript:AT1G06247.1	16	14	16	17
transcript:AT1G06253.1	71	82	84	95
transcript:AT1G06263.1	0	3	13	10
transcript:AT1G06267.1	2	2	2	9
transcript:AT1G06273.1	3	3	1	12
transcript:AT1G06277.1	5	2	6	6
transcript:AT1G06283.1	13	4	24	22
transcript:AT1G06397.1	77	82	73	107
transcript:AT1G06453.1	15	14	22	32
transcript:AT1G06457.1	3	6	2	11
transcript:AT1G06463.1	12	11	8	8
transcript:AT1G06467.1	0	4	0	0
transcript:AT1G06547.1	10	9	8	4
transcript:AT1G32385.1	5	4	3	7
transcript:AT1G06553.1	5	7	1	4
transcript:AT1G06667.1	2	1	0	0
transcript:AT1G06673.1	2	0	0	0
transcript:AT1G07393.1	0	0	0	0
transcript:AT1G07487.1	0	0	0	0
transcript:AT1G07593.1	0	1	0	0
transcript:AT1G07897.1	82	55	26	23
transcript:AT1G07903.1	32	37	18	11
transcript:AT1G07957.1	3	2	1	0
transcript:AT1G08107.1	4	6	0	0
transcript:AT1G08113.1	1	2	0	0
transcript:AT1G08117.1	1	1	0	0
transcript:AT1G08123.1	0	1	1	0
transcript:AT1G08327.1	0	1	1	0
transcript:AT1G08347.1	0	0	0	0
transcript:AT1G08353.1	0	0	0	0
transcript:AT1G08643.1	17	38	7	7
transcript:AT1G08937.1	3	2	0	5
transcript:AT1G09027.1	33	68	59	89
transcript:AT1G09083.1	14	13	9	13
transcript:AT1G09087.1	11	6	5	4
transcript:AT1G09333.1	62	48	123	151
transcript:AT1G74453.1	42	33	43	38
transcript:AT1G74456.1	33	34	39	42
transcript:AT1G09467.1	30	22	35	38
transcript:AT1G09533.1	12	3	14	8
transcript:AT1G75163.1	16	3	9	3
transcript:AT1G75166.1	13	15	21	24
transcript:AT1G09787.1	6	4	2	4
transcript:AT1G09867.1	9	13	12	10
transcript:AT1G09873.1	2	4	3	0
transcript:AT1G09877.1	8	5	7	4
transcript:AT1G09883.1	8	8	8	9
transcript:AT2G05765.1	21	37	18	17
transcript:AT2G04955.1	56	75	28	43
transcript:AT2G04965.1	25	33	18	15
transcript:AT2G05525.1	0	0	0	0
transcript:AT2G05565.1	0	0	0	0
transcript:AT2G06855.1	1	1	0	3
transcript:AT2G06865.1	1	4	5	4
